,pnl,actual_loss,VaR_DN_full,VaR_DN_nodrift,mu_deltaV,sigma_deltaV,portfolio_value_linear,exception
2018-08-24,12865.853058943141,-12865.853058943141,13791.826614068994,14081.82759670305,290.0009826340564,6053.190820615779,1929945.5688866503,0
2018-08-27,9020.849483050264,-9020.849483050264,13948.70018151088,14271.129768519684,322.42958700880365,6134.563935070849,1942811.4219455938,0
2018-08-28,-4176.0632349411335,4176.0632349411335,14023.119175584294,14376.226572644724,353.10739706042966,6179.74067123219,1951832.271428644,0
2018-08-29,6448.606620470103,-6448.606620470103,14003.146087882666,14346.02241991179,342.87633202912383,6166.757164736891,1947656.2081937029,0
2018-08-30,-4451.575148203214,4451.575148203214,14070.446747902048,14426.122982605671,355.6762347036244,6201.189058430738,1954104.8148141732,0
2018-08-31,-1438.7249251603691,1438.7249251603691,13999.98030988197,14359.190992052532,359.21068217056285,6172.417785097108,1949653.2396659697,0
2018-09-03,-1321.3807388497728,1321.3807388497728,13999.06639343513,14350.404219072723,351.3378256375933,6168.64071758375,1948214.5147408093,0
2018-09-04,-4692.004362186793,4692.004362186793,13984.903146086113,14341.15088336095,356.2477372748367,6164.663094196023,1946893.1340019596,0
2018-09-05,-792.0859036121756,792.0859036121756,13666.279066688201,14063.071961831121,396.79289514291986,6045.128554829472,1942201.1296397727,0
2018-09-06,721.0998221977002,-721.0998221977002,13666.523559043108,14057.245971305607,390.72241226249935,6042.6242043019665,1941409.0437361607,0
2018-09-07,-5143.361821393337,5143.361821393337,13632.915902943863,14034.353087092,401.4371841481362,6032.783507444432,1942130.1435583583,0
2018-09-10,-76.05964117326653,76.05964117326653,13613.3743963683,14009.722872003065,396.3484756347659,6022.196004447233,1936986.781736965,0
2018-09-11,1905.4178081389882,-1905.4178081389882,13620.374189150616,14005.986581873602,385.612392722985,6020.589929031275,1936910.7220957917,0
2018-09-12,5159.662415728413,-5159.662415728413,13543.943162946818,13961.843716369633,417.90055342281386,6001.614750814573,1938816.1399039307,0
2018-09-13,3067.596344760559,-3067.596344760559,13586.875537063808,14014.509874741665,427.63433767785733,6024.253737425183,1943975.802319659,0
2018-09-14,-2859.2651908991456,2859.2651908991456,13606.266882807793,14045.910575433913,439.6436926261198,6037.751590021797,1947043.3986644198,0
2018-09-17,-2361.6388231526453,2361.6388231526453,13576.192869601831,14016.995765938917,440.8028963370846,6025.32231845083,1944184.1334735206,0
2018-09-18,2252.568645769933,-2252.568645769933,13561.388254643442,13998.337099284925,436.94884464148333,6017.301735260242,1941822.494650368,0
