,VaR_MC_GARCH_T_COPULA,actual_loss,exception
2021-05-14,30093.78039612198,-14354.86902403616,0
2021-05-17,35111.300590399,-8766.482475622934,0
2021-05-18,32144.862899625707,6415.810020179846,0
2021-05-19,31701.525226111196,-1597.2293914641596,0
2021-05-20,29788.025948467654,-7713.836041666844,0
2021-05-21,29829.35704836288,1203.11771347812,0
2021-05-24,29507.134254335335,-7865.264893130858,0
2021-05-25,33261.93284721388,-1306.3474529798068,0
2021-05-26,29778.923605678436,-405.84827391639374,0
2021-05-27,29377.45008412131,54.22277172438021,0
2021-05-28,27661.065259872674,-1073.8039600690072,0
2021-06-01,28709.87659354291,78.99385081805303,0
2021-06-02,27276.969449917706,-1418.8498282899363,0
2021-06-03,28373.293169916466,-11029.381514000212,0
2021-06-04,29905.497824194452,-10163.89559322188,0
2021-06-07,23439.026276660083,-2838.86927073727,0
2021-06-08,21118.49393053965,3606.588451167904,0
2021-06-09,19983.194524254235,4314.211299279975,0
2021-06-10,19757.687821242318,-2328.9802560364624,0
2021-06-11,19676.440489789635,7638.203364886707,0
2021-06-14,19293.753472896977,2.5630222301324466,0
2021-06-15,19466.946106326373,4794.328994969079,0
2021-06-16,19014.78769776744,17249.97674058992,0
2021-06-17,22235.386579194295,32529.592210438605,1
2021-06-18,29588.85082609013,21701.56019125609,0
2021-06-21,31791.055337719903,-23027.7780305608,0
2021-06-22,35830.83554550782,-680.9566555402171,0
2021-06-23,37394.42383737654,1956.3135887603169,0
2021-06-24,34422.71670719352,-5366.119056135525,0
2021-06-25,34898.36974919449,-10547.488674395116,0
2021-06-28,34695.41389812265,624.6863810325767,0
2021-06-29,33464.2136563026,7837.279811754243,0
2021-06-30,31638.64984332041,-415.2938337282194,0
2021-07-01,30220.155093997888,-12600.685358870423,0
2021-07-02,32641.663646601548,-15552.148404485944,0
2021-07-06,34841.85597310134,3438.519113789138,0
2021-07-07,33779.290948405236,-5547.615479291589,0
2021-07-08,33548.500243682196,17130.03666842623,0
2021-07-09,33635.800736239005,-26412.292521966425,0
2021-07-12,39700.85271800044,-7047.228982519803,0
2021-07-13,41098.950681934395,3544.47246890491,0
2021-07-14,38269.34667646618,-6689.385436016075,0
2021-07-15,37246.859271595735,9408.186563390744,0
2021-07-16,39542.06923875093,9022.40344606302,0
2021-07-19,41713.23258589807,15411.473341949488,0
2021-07-20,28226.245631585167,-11130.020724381471,0
2021-07-21,33942.39608662069,-6318.7097390806375,0
2021-07-22,35176.79461379124,-1427.3987484562622,0
2021-07-23,34576.72436200777,-11808.563876230832,0
2021-07-26,38794.011005884335,-377.7455570392449,0
2021-07-27,34261.77538931266,3865.836874394673,0
2021-07-28,30476.385832376196,-2495.2295152821134,0
2021-07-29,30456.212549081214,-13933.214994240583,0
2021-07-30,29381.789936002868,14882.283013044016,0
2021-08-02,30970.94328226432,5021.295055145104,0
2021-08-03,28880.156836981674,-7201.001200123172,0
2021-08-04,32498.289071907162,8253.052124228698,0
2021-08-05,32229.302606250367,-6019.766431639629,0
2021-08-06,31894.761704424283,14415.439853281874,0
2021-08-09,31191.094322098677,15927.603033470325,0
2021-08-10,31419.85550604879,-3393.514953366199,0
2021-08-11,29845.60584372687,-12439.810913937834,0
2021-08-12,31136.12482979591,-5016.598761635145,0
2021-08-13,29983.14796963801,-9327.851905921558,0
2021-08-16,30436.87391390634,-7367.604034600197,0
2021-08-17,29466.594194156158,13009.883382641872,0
2021-08-18,32828.98594081886,15937.413198916647,0
2021-08-19,34740.0426082225,3402.5518524938107,0
2021-08-20,34365.80235255149,-11223.646280342264,0
2021-08-23,36986.05250972152,-24339.56656260626,0
2021-08-24,44116.81093013436,-6040.7022440743895,0
2021-08-25,39931.621735337496,-2751.5268260960856,0
2021-08-26,40137.90225592232,11817.966694846444,0
2021-08-27,40739.22526440294,-30878.10322359294,0
2021-08-30,44071.07880781472,-417.71557004824535,0
2021-08-31,22735.794019768065,313.2091995555579,0
2021-09-01,20864.296825154393,-767.8257602476169,0
2021-09-02,21259.351815236307,-1122.7028493816842,0
2021-09-03,20733.332331310146,-11071.90097078203,0
2021-09-07,21131.07620712947,14774.35660977324,0
2021-09-08,22110.92823270843,6952.513158515954,0
2021-09-09,22687.226202354897,5055.985972947421,0
2021-09-10,21170.95294321228,6290.439694126932,0
2021-09-13,21160.55952595768,101.92151080552684,0
2021-09-14,21130.255870936082,4695.296857961635,0
2021-09-15,20440.21911821816,-3359.9323614076666,0
2021-09-16,22472.910312081534,18015.142676353604,0
2021-09-17,22744.95630542694,8718.408384103212,0
2021-09-20,23808.529227875653,8108.528482854865,0
2021-09-21,21563.424632242823,-3106.132518448084,0
2021-09-22,21735.492931306297,1059.4724989872047,0
2021-09-23,21368.77108221043,-1891.5385105455864,0
2021-09-24,23285.77124997691,-3957.178004703144,0
2021-09-27,22735.057923496406,1798.6691143647213,0
2021-09-28,20818.772390906706,17369.603689146323,0
2021-09-29,23097.029314331,2720.003371803451,0
2021-09-30,20911.084738839552,-1144.2949028619369,0
2021-10-01,20492.509592580853,-4023.476028724468,0
2021-10-04,20238.989869590936,2404.966681441605,0
2021-10-05,18683.585926563574,-3703.0837674879767,0
2021-10-06,18201.19605681162,-1822.2566475660387,0
2021-10-07,17445.435249100792,-880.4728080007044,0
2021-10-08,17478.78721748067,-502.7718655202452,0
2021-10-11,15173.400921333427,-13183.24758230615,0
2021-10-12,15893.05727497778,477.11721486966326,0
2021-10-13,19759.721024669743,-12324.154965990228,0
2021-10-14,21373.785858162537,-18206.08136283305,0
2021-10-15,28533.143459916755,-1301.4536197987363,0
2021-10-18,29545.173390400007,-1532.6031203424818,0
2021-10-19,28488.135002778632,-18038.413054797173,0
2021-10-20,30882.816384969163,-12957.951120821115,0
2021-10-21,30459.238807431168,-4963.146607809922,0
2021-10-22,28019.78070158603,-1677.0106449280047,0
2021-10-25,25798.391269474007,-13556.269717571584,0
2021-10-26,26982.59260851825,4860.927210733121,0
2021-10-27,24909.93370808267,11906.835091873863,0
2021-10-28,26852.49210642908,-18513.264390908676,0
2021-10-29,33473.200065060184,3424.7816930104964,0
2021-11-01,30021.473893245606,-7503.75171546415,0
2021-11-02,28602.518009219442,-6025.20845852258,0
2021-11-03,28757.244126469195,-7412.102662144721,0
2021-11-04,30065.410324335353,-15163.283070664354,0
2021-11-05,30816.680200684805,-11166.055695091534,0
2021-11-08,29770.87541644305,-8697.278615307374,0
2021-11-09,30246.799956099265,5328.934401847099,0
2021-11-10,29025.141625520268,2573.2728345181717,0
2021-11-11,31886.39633467068,-963.7417834008784,0
2021-11-12,29931.89847319989,-19618.192603820207,0
2021-11-15,32299.499819499906,-2142.232890077292,0
2021-11-16,30859.397915255722,-466.6229766849228,0
2021-11-17,27866.22909640115,-89.44772346775608,0
2021-11-18,28057.721208386607,-3910.0357648041786,0
2021-11-19,27225.88801549946,12744.227158800271,0
2021-11-22,26981.786067243484,36526.95264114385,1
2021-11-23,32440.707200753688,4273.297768306542,0
2021-11-24,19916.797668401203,1189.8117717316743,0
2021-11-26,19500.35931382895,16236.93771873993,0
2021-11-29,18480.28154784454,-4180.646705973653,0
2021-11-30,19686.97987064171,25505.702119319045,1
2021-12-01,24769.330022992046,-144.24698115980027,0
2021-12-02,23760.891681496134,-3599.727433704549,0
2021-12-03,26211.179160676646,4936.2734315030175,0
2021-12-06,25235.50512768825,-8018.005377170593,0
2021-12-07,26525.281504382412,-18455.429255181203,0
2021-12-08,31695.06124447939,-1158.3019934241274,0
2021-12-09,32880.49385955644,11776.874119852531,0
2021-12-10,29008.523639385912,-7584.468220453553,0
2021-12-13,30502.705804761354,11169.970609667678,0
2021-12-14,27634.856083677685,13561.075585193072,0
2021-12-15,26874.497554772162,-19272.64909604682,0
2021-12-16,34427.431153662794,2268.731300035295,0
2021-12-17,32741.19801920817,14838.501279238126,0
2021-12-20,29200.751906430363,13881.30452626394,0
2021-12-21,26753.821419284406,-17775.832801583765,0
2021-12-22,36314.711015555265,-14008.197869238693,0
2021-12-23,35376.46275396729,-12264.22717747408,0
2021-12-27,36852.386810666016,-21984.94695186785,0
2021-12-28,46368.758789486295,5129.905240919212,0
2021-12-29,43097.28558609296,-3736.246374839808,0
2021-12-30,40949.77270357214,859.2458411453936,0
2021-12-31,36082.72997186711,1989.9203813633403,0
2022-01-03,33268.4158930896,-5189.822758467388,0
2022-01-04,36374.82161704098,-5822.011485635114,0
2022-01-05,35743.816050197085,-1092.1243138180398,0
2022-01-06,29438.07545134283,10736.711332138431,0
2022-01-07,27818.632272144798,3352.4898266567698,0
2022-01-10,25255.103304384535,-4524.650810307653,0
2022-01-11,23116.592397454006,-15981.307849205245,0
2022-01-12,26797.66368889501,-3118.6697669888035,0
2022-01-13,24363.42099858114,16339.864215899755,0
2022-01-14,25439.190024463194,467.4337726901485,0
2022-01-18,23011.113972803978,9805.45906636965,0
2022-01-19,22314.090093889794,734.971746269488,0
2022-01-20,21790.179442666893,8422.840516023827,0
2022-01-21,21736.57627349176,19516.57451161938,0
2022-01-24,24069.437078836036,-8023.023107034407,0
2022-01-25,22556.21823166401,3688.551293004321,0
2022-01-26,21896.44657019127,12161.954804151654,0
2022-01-27,21605.914919632407,18809.52422240336,0
2022-01-28,21455.96467759073,-5753.750289577361,0
2022-01-31,26221.36018901544,-14577.249876400918,0
2022-02-01,28369.661194459237,-4317.9579409340895,0
2022-02-02,26844.072611624117,-9253.89242473564,0
2022-02-03,25775.591624112974,16120.472433551253,0
2022-02-04,26324.812281875762,-11864.812583075902,0
2022-02-07,25956.81787996909,-2231.4845510197206,0
2022-02-08,22863.45365283454,-7524.68401290154,0
2022-02-09,22009.988744871014,-8904.894044772722,0
2022-02-10,25106.68742807325,9714.168703207277,0
2022-02-11,23930.345810788447,-430.6204612609581,0
2022-02-14,21341.891620827373,-3947.671957637647,0
2022-02-15,20590.68861892131,-1842.9942771379065,0
2022-02-16,20065.369804850092,-8812.293265641894,0
2022-02-17,18709.009805341007,-5490.916238834532,0
2022-02-18,18428.51263064331,13622.265091307752,0
2022-02-22,27313.843901230834,7539.577537559015,0
2022-02-23,24536.025752051697,8601.408194302301,0
2022-02-24,23415.249431358498,-5041.516283008528,0
2022-02-25,26851.630094195807,-13943.86902441553,0
2022-02-28,32118.260380969165,-1531.9283492705872,0
2022-03-01,27925.166276548982,2594.9387330327627,0
2022-03-02,23221.169027362124,-10202.153534282092,0
2022-03-03,29870.94402614263,1192.4082173030963,0
2022-03-04,25790.229690786888,2116.6417691573133,0
2022-03-07,22459.724090716187,13604.135659856487,0
2022-03-08,24540.946099359382,-17953.457347192467,0
2022-03-09,23512.875570681303,2633.9984775975354,0
2022-03-10,29608.965629391252,1622.419503027305,0
2022-03-11,24273.849114036802,17874.438694940665,0
2022-03-14,23603.636569072944,13979.453579688678,0
2022-03-15,22537.536179343646,383.5987391555136,0
2022-03-16,25164.198616181387,-25898.60001442834,0
2022-03-17,33886.14826165561,-17783.40013377111,0
2022-03-18,38465.31165167062,-1568.2432726907518,0
2022-03-21,38664.25381518066,-13280.215955631076,0
2022-03-22,35998.51819526637,-12941.929925994827,0
2022-03-23,37792.46854584291,12430.435574241685,0
2022-03-24,34839.64214714716,-26926.38161393263,0
2022-03-25,43476.653015440745,-12010.85050608306,0
2022-03-28,45163.17796063721,3807.421321877171,0
2022-03-29,44223.498550733515,-23847.02934918808,0
2022-03-30,49074.531747519766,8000.154081337079,0
2022-03-31,46100.7741456416,32640.384802271783,0
2022-04-01,52389.80848510724,-15507.014256056364,0
2022-04-04,46996.72708059157,-14113.056924198158,0
2022-04-05,23241.993830310734,13431.22170030763,0
2022-04-06,21950.541859680514,5226.486026880863,0
2022-04-07,20595.530387659248,-10000.407799883798,0
2022-04-08,20584.34095284228,-2710.258623295404,0
2022-04-11,18173.919480961908,4151.835621759808,0
2022-04-12,18687.710208643395,2187.5274292466,0
2022-04-13,18055.70419724077,-8003.208603905874,0
2022-04-14,17628.100048348133,5634.833413097776,0
2022-04-18,17664.353770456153,-1534.5391713868262,0
2022-04-19,15758.225586763076,-3190.132781178016,0
2022-04-20,17642.63107094336,2467.3244458148747,0
2022-04-21,16664.861454368904,11484.87713000235,0
2022-04-22,15910.479270185075,23454.42594316019,1
2022-04-25,20035.532224789782,18920.57238870211,0
2022-04-26,23061.989434044834,14322.707221172835,0
2022-04-27,23635.443496589123,6961.76690429787,0
2022-04-28,23235.802514471645,-17501.652173438153,0
2022-04-29,26461.69767485004,20206.413711622583,0
2022-05-02,27501.100864459815,8041.5472736624415,0
2022-05-03,26391.427658114793,-501.4351366178844,0
2022-05-04,23078.344897878742,-20288.969373748834,0
2022-05-05,27474.938443488994,10957.526761211928,0
2022-05-06,26725.19302898861,-126.0072481052748,0
2022-05-09,25756.982951538193,25817.995605724573,1
2022-05-10,28798.35795255871,8984.629977343458,0
2022-05-11,25709.286174616675,3252.9649837127,0
2022-05-12,26538.516627338377,17662.238835969845,0
2022-05-13,26940.69389969997,-3886.351473886844,0
2022-05-16,25943.927153743727,38415.55634562718,1
2022-05-17,24441.633095099525,-21882.860637094287,0
2022-05-18,40753.19756204316,39826.99448700303,0
2022-05-19,42167.50569288238,2579.9228372725447,0
2022-05-20,35840.07981199373,753.2037970422716,0
2022-05-23,32331.988220480343,-23453.023580957808,0
