date,manual_linear,ref_linear,abs_err_linear,manual_irs,ref_irs,abs_err_irs,manual_straddle,ref_straddle,abs_err_straddle,manual_total,ref_total,abs_err_total
2021-01-25,6913.765499391014,6913.765499391014,0.0,-5202.80433067627,-5202.80433067627,0.0,12878.860283166126,12878.860283166126,0.0,14589.82145188087,14589.82145188087,0.0
2021-01-26,-4283.192898883513,-4283.192898883513,0.0,0.0,0.0,0.0,-1134.7077505449706,-1134.7077505449706,0.0,-5417.900649428484,-5417.900649428484,0.0
2021-01-27,-29240.292583872717,-29240.292583872717,0.0,-1043.824790346116,-1043.824790346116,0.0,26730.379248231773,26730.379248231773,0.0,-3553.73812598706,-3553.73812598706,0.0
2021-01-28,6776.37954471897,6776.37954471897,0.0,3128.206653332105,3128.206653332105,0.0,-14550.425074462233,-14550.425074462233,0.0,-4645.838876411159,-4645.838876411159,0.0
2021-01-29,-21114.30942325785,-21114.30942325785,0.0,4155.728249877546,4155.728249877546,0.0,6331.474204584993,6331.474204584993,0.0,-10627.106968795313,-10627.106968795313,0.0
2021-02-01,24791.63105671924,24791.63105671924,0.0,-2075.694911169063,-2075.694911169063,0.0,-8044.957494797585,-8044.957494797585,0.0,14670.978650752593,14670.978650752593,0.0
2021-02-02,1749.9975786641116,1749.9975786641116,0.0,3111.918604653707,3111.918604653707,0.0,-10000.656701409978,-10000.656701409978,0.0,-5138.74051809216,-5138.74051809216,0.0
2021-02-03,-2316.478768879422,-2316.478768879422,0.0,3102.1911052352516,3102.1911052352516,0.0,-5494.426906512221,-5494.426906512221,0.0,-4708.714570156391,-4708.714570156391,0.0
2021-02-04,-5940.488864656314,-5940.488864656314,0.0,0.0,0.0,0.0,-2556.5168353166955,-2556.5168353166955,0.0,-8497.00569997301,-8497.00569997301,0.0
2021-02-05,9195.078885770303,9195.078885770303,0.0,4121.1816106454935,4121.1816106454935,0.0,-1969.572827893273,-1969.572827893273,0.0,11346.687668522523,11346.687668522523,0.0
2021-02-08,17443.544872567247,17443.544872567247,0.0,0.0,0.0,0.0,791.8417055911341,791.8417055911341,0.0,18235.38657815838,18235.38657815838,0.0
2021-02-09,2438.175268357543,2438.175268357543,0.0,-1028.684165369632,-1028.684165369632,0.0,-369.38684551080223,-369.38684551080223,0.0,1040.1042574771086,1040.1042574771086,0.0
2021-02-10,5212.291341058657,5212.291341058657,0.0,-3092.4974452758615,-3092.4974452758615,0.0,-427.9417793449611,-427.9417793449611,0.0,1691.8521164378344,1691.8521164378344,0.0
2021-02-11,-5749.379816680387,-5749.379816680387,0.0,1031.9078877114516,1031.9078877114516,0.0,-1690.2730082779235,-1690.2730082779235,0.0,-6407.744937246859,-6407.744937246859,0.0
2021-02-12,1198.4786295235122,1198.4786295235122,0.0,4116.885807070561,4116.885807070561,0.0,-1511.5950495262805,-1511.5950495262805,0.0,3803.769387067792,3803.769387067792,0.0
2021-02-16,-16167.905647360094,-16167.905647360094,0.0,10217.429232730734,10217.429232730734,0.0,859.9759032760521,859.9759032760521,0.0,-5090.500511353308,-5090.500511353308,0.0
2021-02-17,-9221.904214769509,-9221.904214769509,0.0,-1016.959421864769,-1016.959421864769,0.0,-845.7949927168884,-845.7949927168884,0.0,-11084.658629351166,-11084.658629351166,0.0
2021-02-18,-5470.841184173795,-5470.841184173795,0.0,0.0,0.0,0.0,-763.6104004709814,-763.6104004709814,0.0,-6234.451584644777,-6234.451584644777,0.0
2021-02-19,247.68478071085292,247.68478071085292,0.0,5074.224510570464,5074.224510570464,0.0,-1972.7847758719,-1972.7847758719,0.0,3349.1245154094177,3349.1245154094177,0.0
2021-02-22,3640.0427922415593,3640.0427922415593,0.0,3031.881845438911,3031.881845438911,0.0,-651.0885286356279,-651.0885286356279,0.0,6020.8361090448425,6020.8361090448425,0.0
2021-02-23,655.5563104041033,655.5563104041033,0.0,0.0,0.0,0.0,-1540.681004109727,-1540.681004109727,0.0,-885.1246937056236,-885.1246937056236,0.0
2021-02-24,9819.103752348381,9819.103752348381,0.0,1008.5257940108422,1008.5257940108422,0.0,-933.7997534677816,-933.7997534677816,0.0,9893.829792891442,9893.829792891442,0.0
2021-02-25,-46582.41440708499,-46582.41440708499,0.0,15994.609311865293,15994.609311865293,0.0,3525.8697998351636,3525.8697998351636,0.0,-27061.93529538453,-27061.93529538453,0.0
2021-02-26,-19818.964883233544,-19818.964883233544,0.0,-9965.435146903765,-9965.435146903765,0.0,-2358.723437010951,-2358.723437010951,0.0,-32143.12346714826,-32143.12346714826,0.0
2021-03-01,21237.700874096732,21237.700874096732,0.0,1001.2102246328432,1001.2102246328432,0.0,-4877.957699103237,-4877.957699103237,0.0,17360.953399626338,17360.953399626338,0.0
2021-03-02,-3843.352182386174,-3843.352182386174,0.0,-3006.7562424393254,-3006.7562424393254,0.0,-2475.4445991766515,-2475.4445991766515,0.0,-9325.55302400215,-9325.55302400215,0.0
2021-03-03,-24104.010730918355,-24104.010730918355,0.0,5006.057148374879,5006.057148374879,0.0,-137.11883217826107,-137.11883217826107,0.0,-19235.072414721737,-19235.072414721737,0.0
2021-03-04,-23265.285468522303,-23265.285468522303,0.0,6964.924016335368,6964.924016335368,0.0,1548.3257721617192,1548.3257721617192,0.0,-14752.035680025216,-14752.035680025216,0.0
2021-03-05,16533.018961817368,16533.018961817368,0.0,1980.6951407722372,1980.6951407722372,0.0,-8559.177653489485,-8559.177653489485,0.0,9954.53644910012,9954.53644910012,0.0
