refit_idx,date,t,mu,omega,alpha1,beta,alpha_plus_beta,raw_mu,raw_omega,raw_alpha1,raw_beta,raw_alpha_plus_beta,nu,loglikelihood,convergence_flag,optimizer_warning_count,stationarity_fallback_used
10,2010-01-08,1000,0.0006157321641125583,4.769047128536415e-07,0.07335636735731077,0.9251163636014376,0.9984727309587483,0.0006157321641125583,4.769047128536415e-07,0.07335636735731077,0.9251163636014376,0.9984727309587483,8.42880640908949,-1216.0966186875035,0,0,0
11,2010-03-23,1050,0.0005989209831785415,4.999816638370678e-07,0.07191679164168235,0.9256742564810155,0.9975910481226979,0.0005989209831785415,4.999816638370678e-07,0.07191679164168235,0.9256742564810155,0.9975910481226979,8.158813203574296,-1286.308295975871,0,0,0
12,2010-06-03,1100,0.0005917024299045412,4.940571690626813e-07,0.069115395428355,0.9281692374063628,0.9972846328347178,0.0005917024299045412,4.940571690626813e-07,0.069115395428355,0.9281692374063628,0.9972846328347178,8.214002540943149,-1345.8140750003795,0,0,0
13,2010-08-13,1150,0.0005526313950555354,4.890636659268865e-07,0.06777739709779876,0.9293032896841723,0.997080686781971,0.0005526313950555354,4.890636659268865e-07,0.06777739709779876,0.9293032896841723,0.997080686781971,8.671666070751835,-1407.99138761212,0,0,0
14,2010-10-25,1200,0.0006186557062589066,4.974315276713164e-07,0.06537634289988621,0.9315734845492709,0.9969498274491572,0.0006186557062589066,4.974315276713164e-07,0.06537634289988621,0.9315734845492709,0.9969498274491572,8.168171961896673,-1462.8929562573956,0,0,0
15,2011-01-05,1250,0.0006534416969977066,4.802767383822783e-07,0.062258864222762236,0.9348173099448146,0.9970761741675769,0.0006534416969977066,4.802767383822783e-07,0.062258864222762236,0.9348173099448146,0.9970761741675769,7.905442391810077,-1526.9855611591597,0,0,0
16,2011-03-18,1300,0.0006569559393494473,4.806948639717552e-07,0.060254341798848615,0.9363378401137366,0.9965921819125851,0.0006569559393494473,4.806948639717552e-07,0.060254341798848615,0.9363378401137366,0.9965921819125851,7.940288666138904,-1584.0361365822782,0,0,0
17,2011-05-31,1350,0.0006908399078520942,4.948660035336213e-07,0.060250298390631896,0.9364824538333967,0.9967327522240286,0.0006908399078520942,4.948660035336213e-07,0.060250298390631896,0.9364824538333967,0.9967327522240286,7.761613794176255,-1647.936147356833,0,0,0
18,2011-08-10,1400,0.0006792671302742196,4.955377532664856e-07,0.058880077198067794,0.9374180521399791,0.9962981293380468,0.0006792671302742196,4.955377532664856e-07,0.058880077198067794,0.9374180521399791,0.9962981293380468,8.062995612945262,-1708.2445029604478,0,0,0
19,2011-10-20,1450,0.0006743372751370159,4.881562492112577e-07,0.06653484268411236,0.9321955941738637,0.998730436857976,0.0006743372751370159,4.881562492112577e-07,0.06653484268411236,0.9321955941738637,0.998730436857976,7.998020698672337,-1812.772348343697,0,0,0
20,2012-01-03,1500,0.0006743372751370159,4.881562492112577e-07,0.06653484268411236,0.9321955941738637,0.998730436857976,0.0006593952547833953,4.311333463396572e-07,0.06504271614875637,0.9345173064358654,0.9995600225846217,8.291119420607833,-1914.1534819034246,0,0,1
21,2012-03-15,1550,0.0006895627257689412,5.029748799378327e-07,0.06518153754335694,0.9331319714375036,0.9983135089808606,0.0006895627257689412,5.029748799378327e-07,0.06518153754335694,0.9331319714375036,0.9983135089808606,7.746720459209481,-1991.1108106512029,0,0,0
22,2012-05-25,1600,0.0006306785944251589,5.184452896298535e-07,0.06441014801726316,0.9331102509696968,0.99752039898696,0.0006306785944251589,5.184452896298535e-07,0.06441014801726316,0.9331102509696968,0.99752039898696,8.052562700147606,-2058.9157072519174,0,0,0
23,2012-08-07,1650,0.0006279811203377686,5.105022862778215e-07,0.06417121624054098,0.9339315583685945,0.9981027746091355,0.0006279811203377686,5.105022862778215e-07,0.06417121624054098,0.9339315583685945,0.9981027746091355,7.833123835850882,-2132.847540533648,0,0,0
24,2012-10-17,1700,0.0006522000415500874,5.393157926609022e-07,0.06307064951569456,0.9340839197356925,0.997154569251387,0.0006522000415500874,5.393157926609022e-07,0.06307064951569456,0.9340839197356925,0.997154569251387,7.702289739025389,-2193.3607964163502,0,0,0
25,2013-01-02,1750,0.0006180938642158584,5.395023689592839e-07,0.06238221475334254,0.934416298875967,0.9967985136293095,0.0006180938642158584,5.395023689592839e-07,0.06238221475334254,0.934416298875967,0.9967985136293095,7.785551612419051,-2251.808508320513,0,0,0
