,VaR,VaR_nodrift,ES,ES_nodrift,actual_loss,exception,mu_deltaV,sigma_deltaV
2021-01-26,11157.55845190643,11651.7806419595,12854.809485660646,13349.031675713715,5417.90064942832,0,494.22219005307,5008.614907503273
2021-01-27,11164.011895054451,11645.906493445476,12860.407273785264,13342.30187217629,3553.73812598722,0,481.89459839102506,5006.089855863502
2021-01-28,11195.869753536828,11668.599056214784,12895.57063352983,13368.299936207784,4645.838876411159,0,472.72930267795516,5015.8444428805715
2021-01-29,11195.267981750823,11668.575024654703,12894.965361198163,13368.272404102043,10627.10696879514,0,473.3070429038801,5015.834112714414
2021-02-01,11223.938801633367,11683.24894315526,12925.773650374851,13385.083791896745,-14670.97865075242,0,459.3101415218939,5022.14181873908
2021-02-02,11220.476629021648,11698.313163828267,12924.505800235862,13402.34233504248,5138.74051809216,0,477.836534806619,5028.617299401755
2021-02-03,11218.044038822929,11697.110631251731,12921.89804370666,13400.964636135463,4708.714570156391,0,479.0665924288032,5028.100380762908
2021-02-04,11224.367384753412,11698.637671765056,12928.443825260456,13402.714112272102,8497.00569997301,0,474.27028701164545,5028.756791839843
2021-02-05,11228.12381166561,11700.721042723379,12932.503725403172,13405.100956460941,-11346.687668522523,0,472.59723105776914,5029.6523461898905
2021-02-08,11228.875169114674,11699.369191916156,12933.058166153362,13403.552188954844,-18235.38657815838,0,470.49402280148195,5029.07124186654
2021-02-09,11232.232613549455,11714.112647135194,12938.563208915004,13420.443242500744,-1040.1042574771086,0,481.88003358574036,5035.408838828524
2021-02-10,11231.39341404509,11714.209180025595,12937.738070827776,13420.553836808282,-1691.8521164378344,0,482.8157659805057,5035.4503342950775
2021-02-11,11229.572478440665,11708.751588895837,12935.122157831363,13414.301268286536,6407.744937246859,0,479.1791104551719,5033.104343314684
2021-02-12,11236.773993521661,11702.17181814135,12941.365233764036,13406.763058383725,-3803.769387067792,0,465.39782461969,5030.275974080698
2021-02-16,11238.6159171421,11702.31552754932,12943.2280907464,13406.92770115362,4894.938539656647,0,463.6996104072204,5030.337748766064
2021-02-17,11245.822900124944,11707.45898027005,12951.184292300686,13412.820372445793,11084.658629351166,0,461.6360801451064,5032.548704736202
2021-02-18,11262.717332697508,11711.238359185056,12968.629246288607,13417.150272776154,6234.451584644777,0,448.52102648754794,5034.17330222533
2021-02-19,11268.682316264096,11713.793104395094,12974.966365589804,13420.077153720802,-3349.1245154094177,0,445.11078813099755,5035.271480721567
2021-02-22,11270.212171711082,11713.241684265071,12976.415898688261,13419.44541124225,-6020.8361090448425,0,443.0295125539882,5035.034448188223
2021-02-23,11259.60709995701,11711.22564463274,12965.517161488948,13417.135706164678,885.1246937056236,0,451.6185446757304,5034.167836769171
2021-02-24,11247.606077537737,11706.342467560304,12952.804833425596,13411.541223448163,-9893.829792891442,0,458.7363900225657,5032.06876245319
2021-02-25,11229.286993665455,11699.267132905004,12933.455124327278,13403.435263566827,27061.93529538453,1,469.980139239549,5029.0273709509775
2021-02-26,11348.671903112736,11792.525228930615,13066.424429563422,13510.277755381301,32143.12346714826,1,443.85332581787964,5069.115139881091
2021-03-01,11373.11103498278,11807.592220547776,13093.058287534446,13527.539473099443,-17360.953399626338,0,434.48118556499725,5075.591811657178
2021-03-02,11365.140685022498,11810.67997741162,13085.537714195452,13531.077006584575,9325.55302400215,0,445.5392923891228,5076.919109650011
2021-03-03,11363.858850880324,11810.142050206887,13084.177523145234,13530.460722471797,19235.072414721737,1,446.2831993265627,5076.687877162928
2021-03-04,11400.871585020299,11833.66566360924,13124.616813138913,13557.410891727854,14752.035680025216,1,432.79407858894126,5086.79969821293
2021-03-05,11448.004681559461,11859.818616406978,13175.559466992589,13587.373401840105,-9954.53644910012,0,411.81393484751607,5098.04176269072
2021-03-08,11447.410997367893,11857.02723135599,13174.55917703758,13584.175411025677,15369.822027196871,1,409.61623398809786,5096.841862588876
2021-03-09,11478.14313251387,11868.476415586634,13206.959052108312,13597.292335181077,-64877.746368533655,0,390.33328307276463,5101.763389742404
2021-03-10,11482.079069752923,11894.193494473056,13214.641055297829,13626.755480017962,-7026.625818548191,0,412.1144247201336,5112.818090190859
2021-03-11,11483.412354568121,11898.84704106533,13216.652196743447,13632.086883240656,-10521.599976438129,0,415.4346864972091,5114.818455933318
2021-03-12,11482.19530123763,11901.317121540282,13215.794946499575,13634.916766802226,-5995.59282912257,0,419.1218203026508,5115.8802405883625
2021-03-15,11484.718615633885,11901.404972874712,13218.331057718286,13635.017414959113,-6912.568441374791,0,416.686357240828,5115.9180042158105
2021-03-16,11484.74921366857,11899.69343431563,13218.11234531039,13633.05656595745,2616.0040328474806,0,414.94422064705856,5115.182285118
2021-03-17,11489.3257267993,11896.430288752686,13222.213533909171,13629.318095862558,-7979.655601891842,0,407.10456195338645,5113.779594832788
2021-03-18,11472.176886014953,11889.881715798625,13204.110798389125,13621.815628172797,13268.222995289603,1,417.7048297836725,5110.964636233029
2021-03-19,11496.634605760015,11903.149043191166,13230.501097009817,13637.015534440969,-431.2549555629853,0,406.5144374311519,5116.667707360347
2021-03-22,11500.88679275764,11903.866845467192,13234.857842331397,13637.83789504095,-368.6771202092969,0,402.98005270955287,5116.9762606442455
2021-03-23,11487.954322076022,11899.93630230846,13221.352830967428,13633.334811199866,16070.31489721044,1,411.9819802324374,5115.286683946542
2021-03-24,11480.865908496786,11896.005791027843,13213.691881349348,13628.831763880406,4826.834608650643,0,415.13988253105776,5113.597120951911
2021-03-25,11489.37639897594,11898.617685939937,13222.58283224703,13631.824119211025,-378.0182489785443,0,409.2412869639959,5114.719865723336
2021-03-26,11490.65739599959,11898.879630734138,13223.901985333378,13632.124220067926,-21949.987908395626,0,408.2222347345489,5114.832464873757
2021-03-29,11489.692510562532,11901.976269200448,13223.388170251968,13635.671928889884,3755.5939890577447,0,412.28375863791564,5116.163580697346
2021-03-30,11502.732564622047,11909.140459510267,13237.471792653783,13643.879687542003,19569.86179197876,1,406.4078948882194,5119.2431675423595
2021-03-31,11532.96763305464,11923.22810498242,13269.758931201279,13660.019403129058,-15026.647070919536,0,390.26047192777935,5125.2988592251695
2021-04-01,11531.450438742886,11927.354795115913,13268.842849226796,13664.747205599822,-20223.65814524148,0,395.9043563730258,5127.072751332856
2021-04-05,11538.79643197124,11947.315440964547,13279.096400350549,13687.615409343856,-25383.06658273881,0,408.51900899330724,5135.653001118956
2021-04-06,11538.00423507986,11948.973312454977,13278.545696513958,13689.514773889076,-2389.1758618373715,0,410.96907737511754,5136.36565098054
2021-04-07,11539.045476499445,11953.405913326316,13280.23261061159,13694.593047438462,-872.4465562735811,0,414.3604368268718,5138.2710413655295
