,VaR_MC_GARCH_COPULA,actual_loss,exception
2012-01-04,24416.588850883596,-7645.142766110159,0
2012-01-05,23737.809796737714,-4736.216484967563,0
2012-01-06,22519.37655544897,9277.747248136562,0
2012-01-09,22991.278134352702,4789.31199905623,0
2012-01-10,22176.414979715544,-15856.164765849546,0
2012-01-11,22356.40857106765,-135.87385861911025,0
2012-01-12,22109.173413344153,-3349.1211128706022,0
2012-01-13,20467.247635915075,8223.979185413355,0
2012-01-17,21154.241295817203,-6433.70882744943,0
2012-01-18,21188.41084324632,-13953.708000579363,0
2012-01-19,22080.501034007342,-8594.34465717831,0
2012-01-20,22042.880705687105,-9543.09295918238,0
2012-01-23,22996.949585980194,-5170.378694825298,0
2012-01-24,21526.32719335252,3545.0533237979485,0
2012-01-25,21304.50214129825,-19828.564841458443,0
2012-01-26,21787.402822980224,-287.13790738067473,0
2012-01-27,20667.36694152976,-5686.795201315164,0
2012-01-30,19779.217073033746,7973.253893668176,0
2012-01-31,20410.081848753827,-1926.5121634035825,0
2012-02-01,15338.756699700101,-6155.621340392987,0
2012-02-02,15399.320757143312,-9174.92002247043,0
2012-02-03,15400.389529481234,2521.220314830027,0
2012-02-06,15371.4930499821,5453.059922060362,0
2012-02-07,15566.010219068017,-17104.712898344766,0
2012-02-08,16036.849630695446,382.2189178485478,0
2012-02-09,15692.60311931329,-300.11635563296204,0
2012-02-10,15208.860108353088,12683.243782697831,0
2012-02-13,16312.65580671543,-7232.186188840649,0
2012-02-14,15752.923296076982,13734.176508690614,0
2012-02-15,15845.364823963626,-4695.200889851392,0
2012-02-16,15879.2823832984,-4005.680795956349,0
2012-02-17,16597.464534258677,239.4715460759085,0
2012-02-21,16263.162654793043,-19343.27910589195,0
2012-02-22,17160.42542674071,-6317.598382671802,0
2012-02-23,16662.841524790678,97.54957302047433,0
2012-02-24,16895.30774574484,1071.3557252630644,0
2012-02-27,15811.596053077898,4112.576224744408,0
2012-02-28,15706.830750405801,-10020.37880289747,0
2012-02-29,16005.842810674534,41018.24585683757,1
2012-03-01,16919.88084073679,-12296.333206985331,0
2012-03-02,17261.43408524377,4780.117300723144,0
2012-03-05,16292.452001864089,7304.2642806372705,0
2012-03-06,15832.879537242685,19056.119628862,1
2012-03-07,17802.126734649133,-4542.652083430904,0
2012-03-08,17911.411227502806,-14397.849149689886,0
2012-03-09,19681.627372500265,-9541.39744377014,0
2012-03-12,19744.72450099852,10072.663785502811,0
2012-03-13,19981.82132885405,-1907.696325951832,0
2012-03-14,21736.284153913253,5816.990978746919,0
2012-03-15,16349.87339490126,-8493.851558104561,0
2012-03-16,16292.707727260084,-4425.499128779645,0
2012-03-19,15436.93951110568,-10327.008940385122,0
2012-03-20,16136.764883609994,8080.02759556034,0
2012-03-21,15967.574011324628,4844.131010198913,0
2012-03-22,15216.578870223775,8565.176014650342,0
2012-03-23,16201.372388425478,-8256.830363771493,0
2012-03-26,15641.185565422684,-23020.88175253655,0
2012-03-27,16307.935650310204,8956.60042609362,0
