,VaR_MC,actual_loss,exception
2012-07-05,20712.909800836864,13717.83743961101,False
2012-07-06,20218.07792381137,19359.070080292844,False
2012-07-09,20168.442607744262,4025.2388343195007,False
2012-07-10,19352.56446653918,10614.9535429386,False
2012-07-11,20223.95079232111,-2759.482140901017,False
2012-07-12,19567.29271724378,6715.86935730796,False
2012-07-13,21094.29156596923,-12645.317610846956,False
2012-07-16,21090.402352504934,545.6293126343598,False
2012-07-17,22018.722207342296,-1055.483767164791,False
2012-07-18,22029.309564516047,-819.8768674448338,False
2012-07-19,23368.049041383638,-3375.202955833084,False
2012-07-20,23186.73979435619,5988.177810182824,False
2012-07-23,21810.92823666737,10958.123366004498,False
2012-07-24,17027.697181841722,2666.952449146089,False
2012-07-25,17052.32051799609,-7415.942944737773,False
2012-07-26,18280.71215353459,-12798.056223337057,False
2012-07-27,19874.452589322267,-24634.347136807035,False
2012-07-30,18920.996978319712,3678.405474300231,False
2012-07-31,18640.79780642076,10222.919996426794,False
2012-08-01,18838.758306484855,2817.127854928904,False
2012-08-02,18843.02541050313,13554.28020627881,False
2012-08-03,20396.63459878393,-22337.99233147635,False
2012-08-06,19723.931936923647,-8935.379671632609,False
2012-08-07,20313.12681415789,-5367.664718413413,False
2012-08-08,20181.90678807368,-2133.5994503636857,False
2012-08-09,20609.39449485542,-2907.404773205514,False
2012-08-10,20593.564411220512,3375.596360597792,False
2012-08-13,21313.631566573258,7116.473009950671,False
2012-08-14,20620.104932161394,-3314.480689019397,False
2012-08-15,21153.438868289293,-7195.359155286058,False
2012-08-16,21077.000022840908,-8008.524445204235,False
2012-08-17,22411.148917868533,-735.1144430566092,False
2012-08-20,21810.051850003176,-3333.6340132559576,False
2012-08-21,22383.497315559376,-5290.235841426924,False
2012-08-22,21698.780348880035,-5035.269889475456,False
2012-08-23,21784.679067332167,-2433.994253730316,False
2012-08-24,22166.61251681867,-2442.1355711481237,False
2012-08-27,21862.76559648593,5584.337615665391,False
2012-08-28,21819.358427790223,123.5322324141664,False
2012-08-29,22260.642241389476,1500.430624854759,False
2012-08-30,22288.91812592921,6012.429264590693,False
2012-08-31,22108.19862881798,-15039.00186607568,False
2012-09-04,22000.95682454805,-1991.497106422838,False
2012-09-05,16675.912154044156,1753.0554927487528,False
2012-09-06,18048.3853014777,-17030.960478134184,False
2012-09-07,19104.197816711785,-18508.19840064674,False
2012-09-10,18224.28513161318,3642.273949412333,False
2012-09-11,17849.707759778397,-4564.626415421377,False
2012-09-12,17931.514285176523,-8305.558227176647,False
2012-09-13,19470.942952706275,-24498.992021567818,False
2012-09-14,19881.27244396978,-15367.215200341969,False
2012-09-17,19635.665977171764,8013.256719708645,False
2012-09-18,19783.55623725447,-1731.732737974704,False
2012-09-19,20218.08328191255,3330.1058051368127,False
2012-09-20,20375.356130155356,-158.12252692827678,False
2012-09-21,20680.547121436433,1836.8053655844385,False
2012-09-24,19954.234074388853,6958.456287914658,False
2012-09-25,19008.15678276232,7037.323982328469,False
2012-09-26,18081.04975360047,10560.581503201134,False
2012-09-27,19795.214169645707,-14070.70244621926,False
2012-09-28,18904.66321576879,3513.055051154747,False
2012-10-01,19494.71799023335,-382.923924033998,False
2012-10-02,19617.42380792845,-285.7289090077038,False
2012-10-03,20291.77117406311,-3374.1131047157974,False
2012-10-04,20696.02947867264,-11761.242902630434,False
2012-10-05,20860.58276836378,-23.751387142813652,False
2012-10-08,20938.955485836123,2406.101998748506,False
2012-10-09,20314.231312861717,10314.911369540796,False
2012-10-10,19467.802694501133,6099.911430680491,False
2012-10-11,19993.847092601638,-342.7975333441959,False
2012-10-12,19408.00469000674,6121.540952953551,False
2012-10-15,21566.55210431494,5235.987586987856,False
2012-10-16,22740.419565189404,-11174.503765378797,False
2012-10-17,17445.628577667907,-9809.546059372213,False
2012-10-18,17056.84627041181,2399.8267483707514,False
2012-10-19,15451.728109215775,18983.714333797223,True
2012-10-22,15916.57405817438,-4010.146933582308,False
2012-10-23,15933.781898486308,13502.617947395414,False
2012-10-24,15338.308802792038,5256.905708137167,False
2012-10-25,15366.870857448499,-9765.616778560074,False
2012-10-26,15448.894887686663,6318.4575000467885,False
2012-10-31,15633.980696227844,-1166.9523038054413,False
2012-11-01,15792.11799608505,-5207.240898437289,False
2012-11-02,15402.181384092735,18823.50572147843,True
2012-11-05,15269.668418070965,522.9054630705177,False
2012-11-06,15708.61900674376,-19722.510962413784,False
2012-11-07,14712.589990626042,11511.267279057476,False
2012-11-08,15074.136511874867,1437.703230733623,False
2012-11-09,14570.52337626067,1969.0703921303732,False
2012-11-12,14535.578285973088,2790.5327768331754,False
2012-11-13,14616.03240194743,4310.13731579802,False
2012-11-14,14453.163676767366,1904.536006798588,False
2012-11-15,14595.888405598706,6037.907733636583,False
2012-11-16,14308.385277428975,-576.8893754233579,False
2012-11-19,14589.150184283628,-14197.083156080342,False
2012-11-20,14028.052379688892,-1017.1982497079916,False
2012-11-21,14261.4702661821,-4384.908956446222,False
2012-11-23,14693.837743414602,-13704.665451831246,False
2012-11-26,14459.841645484361,2830.6092211730293,False
2012-11-27,14036.572420975934,5320.909654748797,False
2012-11-28,14062.828493526087,9935.663468670102,False
2012-11-29,14682.43185282498,-3640.024462774806,False
2012-11-30,14564.189330056268,4883.100600573497,False
2012-12-03,17403.03647430968,-236.75346902526812,False
2012-12-04,16657.044456565713,8843.74111798426,False
2012-12-05,17240.661385410185,958.1374585948638,False
2012-12-06,17488.48332001741,-1041.4374151045868,False
2012-12-07,17247.91164788169,-4956.297835097535,False
2012-12-10,17419.00818045208,-958.8423707460393,False
2012-12-11,17669.923499159584,-3817.341829458814,False
2012-12-12,17969.483258968663,-5934.489111791767,False
2012-12-13,17354.65033595303,7145.845181158764,False
2012-12-14,17246.63923041907,-5500.7967984402085,False
2012-12-17,17745.143486270394,-10489.807162736204,False
2012-12-18,18937.231194043008,3148.864620429531,False
2012-12-19,17794.08535674661,3993.134740446301,False
2012-12-20,19065.481015835587,7994.262952035888,False
2012-12-21,17938.767332239055,3134.3197960841426,False
2012-12-24,17690.09680313889,-383.8824707827314,False
2012-12-26,16965.044428263565,1171.456472777278,False
2012-12-27,17556.98576951822,43.26307307518846,False
2012-12-28,16418.109110776186,4522.624228264673,False
2012-12-31,17313.048918040873,-12189.624585364005,False
2013-01-02,20798.81744537098,-20265.750196848945,False
2013-01-03,20700.648215767502,7212.756151141388,False
2013-01-04,21049.605151006275,3749.880264612517,False
2013-01-07,21261.783383364564,6257.486774538975,False
2013-01-08,21325.80387613114,-3039.012161372705,False
2013-01-09,21766.38636661825,776.8298016164738,False
2013-01-10,22251.06373357315,-12046.114304460856,False
2013-01-11,22482.39585527846,563.0918396402685,False
2013-01-14,22818.671111667514,-3516.5107964132208,False
2013-01-15,22266.4458487459,-3524.421076795802,False
2013-01-16,16123.085566009353,2579.244561484278,False
2013-01-17,16744.9481695892,-9382.450711841344,False
2013-01-18,17232.43836744486,-890.6071614514358,False
2013-01-22,17600.856883151577,-4999.530421730942,False
2013-01-23,17171.3799547237,1013.3631368922051,False
2013-01-24,17901.194258568,7168.081041498954,False
2013-01-25,18486.435776541457,-7702.777294361633,False
2013-01-28,17998.79459742413,-656.1223678548045,False
2013-01-29,18682.424804024253,-7376.071898201088,False
2013-01-30,18298.776746829833,351.6962889085953,False
2013-01-31,17552.259586754055,4716.633346332543,False
2013-02-01,19128.823920709445,-5321.43795641673,False
2013-02-04,17724.193126540507,1269.5146151840113,False
2013-02-05,18997.099246203143,-2185.778685893047,False
2013-02-06,18629.90191408229,-853.2669674109547,False
2013-02-07,19024.43865410726,5162.171517547888,False
2013-02-08,19666.920381223783,1982.0264177196905,False
2013-02-11,19974.42126771445,9944.231573713696,False
2013-02-12,20310.415726557225,-4418.3643684284425,False
2013-02-13,20289.19539505531,1153.1800653585829,False
2013-02-14,20580.786058641643,6378.175073142056,False
2013-02-15,21084.021640699993,14301.026809203584,False
2013-02-19,20988.27486022179,-2464.4498539262177,False
2013-02-20,19803.769789488768,22003.453584264083,True
2013-02-21,19072.48470174328,1334.7034409973694,False
2013-02-22,20881.708530850417,-1742.468492747742,False
2013-02-25,18364.86868444296,4186.633965624098,False
2013-02-26,19555.14060235847,-6436.985658055625,False
2013-02-27,22263.386690413845,1352.4682632938966,False
2013-02-28,21092.8604747408,7779.612422725982,False
2013-03-01,16546.194005232923,5307.55780231868,False
2013-03-04,16666.240503080528,-1224.7471285963595,False
2013-03-05,17160.691846784135,-6595.732952449089,False
2013-03-06,17671.749184288812,-8341.120798188203,False
2013-03-07,17731.340602734912,-54.668093750568914,False
2013-03-08,17972.32702290835,-8859.872591764093,False
2013-03-11,19243.56580219657,-2119.72762205662,False
2013-03-12,18118.62598298625,-2542.1944690539194,False
2013-03-13,18640.284850847576,1133.6836256958811,False
2013-03-14,19557.462421155098,904.2029525444946,False
2013-03-15,18926.33457545994,-589.0304867766495,False
2013-03-18,17922.86307188245,107.38510807148076,False
2013-03-19,17450.596500049873,-1564.0115702513704,False
2013-03-20,18954.701810698374,1654.849200182705,False
2013-03-21,17961.302748824666,-3633.0637674092513,False
2013-03-22,18630.862546181226,3537.8252563200444,False
2013-03-25,18110.019124887192,195.53704142528204,False
2013-03-26,18887.41171391342,4344.611510927409,False
2013-03-27,19736.83028637095,-65.78519073131429,False
2013-03-28,19636.121654209674,6006.598795675633,False
2013-04-01,19527.54243703381,260.86486094265297,False
2013-04-02,20810.289644410277,7234.044035395107,False
2013-04-03,18862.653078738538,14905.892798450312,False
2013-04-04,19536.45654638597,3598.676062955202,False
2013-04-05,20072.836222130292,-7195.771211444424,False
2013-04-08,20864.2522693489,-2625.1791360086254,False
2013-04-09,22030.702371062544,-9368.979742461384,False
2013-04-10,22049.73993033007,2054.003058113405,False
2013-04-11,22673.67007375236,-846.1659107133319,False
2013-04-12,22865.799589598082,38152.408839938726,True
