,pnl,actual_loss,VaR_HistSim,ES_HistSim,tail_scenarios,snapshot_date,current_portfolio_value,exception
2017-01-03,8561.793503100518,-8561.793503100518,25691.29134905222,29786.38076019138,5,2016-12-30,1680495.832361267,0
2017-01-04,4602.1216445302125,-4602.1216445302125,19111.515117410105,21429.09702439527,5,2017-01-03,1689057.6258643675,0
2017-01-05,3537.641807773616,-3537.641807773616,18485.787388592027,20235.001619752125,5,2017-01-04,1693659.7475088977,0
2017-01-06,2405.4153606367763,-2405.4153606367763,18554.48511485546,20272.7626706745,5,2017-01-05,1697197.3893166713,0
2017-01-09,-1148.6196715645492,1148.6196715645492,19077.89891098137,20730.986729949247,5,2017-01-06,1699602.804677308,0
2017-01-10,2942.5850746585056,-2942.5850746585056,18706.54347200808,20308.679951163846,5,2017-01-09,1698454.1850057435,0
2017-01-11,2616.6145652316045,-2616.6145652316045,18781.424726105994,20339.141785920317,5,2017-01-10,1701396.770080402,0
2017-01-12,-158.6868241012562,158.6868241012562,19279.440361940535,20750.541660637315,5,2017-01-11,1704013.3846456336,0
2017-01-13,5342.451224970166,-5342.451224970166,18912.720688630827,20419.02055753139,5,2017-01-12,1703854.6978215324,0
2017-01-17,1505.1524987251032,-1505.1524987251032,19277.649864144158,20751.83360062586,5,2017-01-13,1709197.1490465025,0
2017-01-18,4030.356407224899,-4030.356407224899,18747.039229902904,20377.19673080989,5,2017-01-17,1710702.3015452276,0
2017-01-19,-1162.0589185929857,1162.0589185929857,18997.05195779144,20589.03342560432,5,2017-01-18,1714732.6579524525,0
2017-01-20,3842.962948770495,-3842.962948770495,18446.76466260408,20091.92459897655,5,2017-01-19,1713570.5990338596,0
2017-01-23,-1040.5678935705218,1040.5678935705218,18960.029199136887,20554.85679906565,5,2017-01-20,1717413.56198263,0
2017-01-24,5292.78048287495,-5292.78048287495,18822.05359497224,20303.024762637167,5,2017-01-23,1716372.9940890595,0
2017-01-25,3572.8890529419295,-3572.8890529419295,19502.184900047025,21208.346847688685,5,2017-01-24,1721665.7745719345,0
2017-01-26,-6861.908586111851,6861.908586111851,21240.399983048905,23106.423966488663,5,2017-01-25,1725238.6636248764,0
2017-01-27,-3042.0008876677603,3042.0008876677603,21056.140176112065,22876.897470385768,5,2017-01-26,1718376.7550387646,0
2017-01-30,-809.813052469166,809.813052469166,20644.238036994822,22487.092734848477,5,2017-01-27,1715334.7541510968,0
2017-01-31,4882.129216868896,-4882.129216868896,19483.39234206779,21130.59511427358,5,2017-01-30,1714524.9410986276,0
2017-02-01,2000.736547532957,-2000.736547532957,19641.34121360001,21254.847236250713,5,2017-01-31,1719407.0703154965,0
2017-02-02,2560.2304243389517,-2560.2304243389517,19754.07002997957,21331.893547666677,5,2017-02-01,1721407.8068630295,0
2017-02-03,6418.225923538208,-6418.225923538208,19937.9189613231,21518.838653952163,5,2017-02-02,1723968.0372873684,0
2017-02-06,2087.3618594338186,-2087.3618594338186,21208.208243288333,23251.04578405046,5,2017-02-03,1730386.2632109066,0
2017-02-07,-3358.3955454702955,3358.3955454702955,20885.85482987715,22901.377577752155,5,2017-02-06,1732473.6250703405,0
2017-02-08,-936.6440219022334,936.6440219022334,20967.397889210144,23004.489867113018,5,2017-02-07,1729115.2295248702,0
2017-02-09,3313.2936207582243,-3313.2936207582243,21312.48137343093,23522.079988009995,5,2017-02-08,1728178.585502968,0
2017-02-10,4707.450817821082,-4707.450817821082,23072.07262589922,25846.536938906786,5,2017-02-09,1731491.8791237262,0
2017-02-13,1625.5903921555728,-1625.5903921555728,24490.949104951695,27766.571434804566,5,2017-02-10,1736199.3299415472,0
2017-02-14,6058.7653166158125,-6058.7653166158125,25916.098911160138,30119.41521896478,5,2017-02-13,1737824.9203337028,0
2017-02-15,9890.114410669776,-9890.114410669776,26817.09172164672,31868.28873015074,5,2017-02-14,1743883.6856503186,0
2017-02-16,-1907.302247590851,1907.302247590851,20497.047036500415,23183.991113080923,5,2017-02-15,1753773.8000609884,0
2017-02-17,-1642.7560655695852,1642.7560655695852,19507.0023514668,21042.292734064024,5,2017-02-16,1751866.4978133976,0
2017-02-21,3449.657285241876,-3449.657285241876,19499.843707309105,21192.632826186717,5,2017-02-17,1750223.741747828,0
2017-02-22,-1502.5054158917628,1502.5054158917628,20107.705695733894,21998.126302879024,5,2017-02-21,1753673.3990330698,0
2017-02-23,2804.9575837447774,-2804.9575837447774,19988.77946540597,21846.842185377795,5,2017-02-22,1752170.893617178,0
2017-02-24,217.9922712633852,-217.9922712633852,20240.44179984159,22042.586180659757,5,2017-02-23,1754975.8512009229,0
2017-02-27,1063.4514993771445,-1063.4514993771445,20514.555121403886,22367.127243240502,5,2017-02-24,1755193.8434721862,0
2017-02-28,-355.3892198491376,355.3892198491376,20612.61172324838,22584.32039822573,5,2017-02-27,1756257.2949715634,0
2017-03-01,14534.44049319555,-14534.44049319555,20155.827157550724,22052.737671881587,5,2017-02-28,1755901.9057517143,0
2017-03-02,-11911.052067862125,11911.052067862125,22625.96455931221,24860.9413359473,5,2017-03-01,1770436.3462449098,0
2017-03-03,-905.2806154792197,905.2806154792197,21812.01604256546,23689.002594312748,5,2017-03-02,1758525.2941770477,0
2017-03-06,-3776.2818345078267,3776.2818345078267,22021.091002651257,24063.36310568843,5,2017-03-03,1757620.0135615685,0
2017-03-07,-5464.370131048374,5464.370131048374,21501.224480273202,23328.843710021487,5,2017-03-06,1753843.7317270606,0
2017-03-08,-1790.8359553099144,1790.8359553099144,20858.813229630934,22566.038333438988,5,2017-03-07,1748379.3615960123,0
2017-03-09,-837.8508473439142,837.8508473439142,20439.47844864847,22067.89639132344,5,2017-03-08,1746588.5256407023,0
2017-03-10,2707.53052305826,-2707.53052305826,20706.763341240818,22327.174636287196,5,2017-03-09,1745750.6747933584,0
2017-03-13,4787.344247293426,-4787.344247293426,21429.86673038802,23318.643453708897,5,2017-03-10,1748458.2053164167,0
2017-03-14,-7537.143086369382,7537.143086369382,21573.849111092277,23544.54241655902,5,2017-03-13,1753245.54956371,0
2017-03-15,10779.060269219102,-10779.060269219102,20718.540276366984,22459.544804581674,5,2017-03-14,1745708.4064773407,0
2017-03-16,3354.9124174565077,-3354.9124174565077,22681.05665128492,25079.08334103632,5,2017-03-15,1756487.4667465598,0
2017-03-17,-1232.3556430933531,1232.3556430933531,22343.133647747803,24709.857198929974,5,2017-03-16,1759842.3791640163,0
2017-03-20,-1047.1878289377782,1047.1878289377782,21956.639287862927,24265.6086437969,5,2017-03-17,1758610.023520923,0
2017-03-21,-6196.675865819445,6196.675865819445,21673.744008305017,24005.724279097376,5,2017-03-20,1757562.8356919852,0
2017-03-22,2185.302072609309,-2185.302072609309,19691.972726071952,20973.364815412555,5,2017-03-21,1751366.1598261658,0
2017-03-23,-1786.270023755962,1786.270023755962,20145.420382310636,21520.035433342215,5,2017-03-22,1753551.461898775,0
2017-03-24,-983.9716674946249,983.9716674946249,20026.577518549748,21278.054473614648,5,2017-03-23,1751765.191875019,0
2017-03-27,2346.8785374611616,-2346.8785374611616,19930.6169114355,21066.936389668517,5,2017-03-24,1750781.2202075245,0
2017-03-28,3945.5338125310373,-3945.5338125310373,19733.41947470489,20773.7645467564,5,2017-03-27,1753128.0987449856,0
2017-03-29,-925.6700612467248,925.6700612467248,21482.72923403373,22779.567068209035,5,2017-03-28,1757073.6325575167,0
2017-03-30,-1492.566058721859,1492.566058721859,22091.71755614644,23284.269799132504,5,2017-03-29,1756147.96249627,0
2017-03-31,6596.825405214215,-6596.825405214215,11467.384380962467,14083.199614739604,5,2017-03-30,1754655.396437548,0
2017-04-03,-1107.7122808210552,1107.7122808210552,19637.71966030798,21190.944337162375,5,2017-03-31,1761252.2218427623,0
2017-04-04,1097.2989371125586,-1097.2989371125586,19504.877086287364,21046.386565142264,5,2017-04-03,1760144.5095619413,0
2017-04-05,-1606.1636001861189,1606.1636001861189,19427.156230967492,21100.721192064277,5,2017-04-04,1761241.8084990538,0
2017-04-06,-1645.3400968394708,1645.3400968394708,19140.665547684534,20817.13585310732,5,2017-04-05,1759635.6448988677,0
2017-04-07,2699.4910606686026,-2699.4910606686026,19442.010842117248,21055.137597395013,5,2017-04-06,1757990.3048020282,0
2017-04-10,-157.0307043765206,157.0307043765206,19269.549064014805,20959.906666868694,5,2017-04-07,1760689.7958626968,0
2017-04-11,5922.153679537587,-5922.153679537587,19510.104115385795,21065.7586038942,5,2017-04-10,1760532.7651583203,0
2017-04-12,-267.4836703988258,267.4836703988258,19454.808993531624,21131.132208090137,5,2017-04-11,1766454.918837858,0
2017-04-13,-1998.47091698437,1998.47091698437,18895.892761764117,20797.72135617817,5,2017-04-12,1766187.435167459,0
2017-04-17,1377.7191246042494,-1377.7191246042494,18238.828476761933,20289.45083640106,5,2017-04-13,1764188.9642504747,0
2017-04-18,-3636.9795211800374,3636.9795211800374,18896.824295439757,20950.238716244698,5,2017-04-17,1765566.683375079,0
2017-04-19,-2622.7646044518333,2622.7646044518333,18801.936181182507,20742.47128954879,5,2017-04-18,1761929.703853899,0
2017-04-20,6057.6886907359585,-6057.6886907359585,18611.905078460928,20481.60777137354,5,2017-04-19,1759306.939249447,0
2017-04-21,57.09856311278418,-57.09856311278418,19344.33771055774,21268.61828473676,5,2017-04-20,1765364.627940183,0
2017-04-24,5530.747843868332,-5530.747843868332,19103.198838749668,20982.54023389481,5,2017-04-21,1765421.7265032958,0
2017-04-25,2023.445723667508,-2023.445723667508,20564.468921362888,22364.72113441578,5,2017-04-24,1770952.4743471642,0
2017-04-26,1805.2387711114716,-1805.2387711114716,21494.349455442745,23685.502883540747,5,2017-04-25,1772975.9200708317,0
2017-04-27,-4012.648137780372,4012.648137780372,21385.40258558793,23575.10981555898,5,2017-04-26,1774781.1588419431,0
2017-04-28,-1285.0646650050767,1285.0646650050767,21663.765457786154,23924.48295273143,5,2017-04-27,1770768.5107041628,0
2017-05-01,-318.03236261336133,318.03236261336133,21355.096143017057,23305.76525836829,5,2017-04-28,1769483.4460391577,0
2017-05-02,-2573.2176261260174,2573.2176261260174,21913.16342649958,24144.61236242363,5,2017-05-01,1769165.4136765443,0
2017-05-03,-5794.3557040637825,5794.3557040637825,22036.700769662624,24307.97090852363,5,2017-05-02,1766592.1960504183,0
2017-05-04,-4296.8274363207165,4296.8274363207165,21820.821144758957,23877.40768492194,5,2017-05-03,1760797.8403463545,0
2017-05-05,6150.967490830459,-6150.967490830459,22135.35387525428,24328.52539962963,5,2017-05-04,1756501.0129100338,0
2017-05-08,-521.8387877368368,521.8387877368368,23404.904503315454,26023.12151978421,5,2017-05-05,1762651.9804008643,0
2017-05-09,-2905.745678126812,2905.745678126812,23631.25029928377,26271.690778650995,5,2017-05-08,1762130.1416131274,0
2017-05-10,-471.2372504109517,471.2372504109517,23542.618476676987,26010.62203373881,5,2017-05-09,1759224.3959350006,0
2017-05-11,-1819.569985652808,1819.569985652808,24500.535900747404,27193.262057165568,5,2017-05-10,1758753.1586845897,0
2017-05-12,-3664.9189648160245,3664.9189648160245,24082.8193130577,26716.0510937823,5,2017-05-11,1756933.5886989369,0
2017-05-15,12940.79423349956,-12940.79423349956,14285.855694421334,16597.650993561932,5,2017-05-12,1753268.6697341208,0
2017-05-16,2680.9072942184284,-2680.9072942184284,19456.856083445717,21178.273712878115,5,2017-05-15,1766209.4639676204,0
2017-05-17,1136.9561171629466,-1136.9561171629466,19439.491050708806,21095.496487618937,5,2017-05-16,1768890.3712618388,0
2017-05-18,-1745.3240984131116,1745.3240984131116,18294.27038795431,19900.204041004647,5,2017-05-17,1770027.3273790018,0
2017-05-19,2192.427892817417,-2192.427892817417,18528.632941591786,20048.505687169592,5,2017-05-18,1768282.0032805887,0
2017-05-22,7082.527021527989,-7082.527021527989,18637.502670697635,20435.722599528402,5,2017-05-19,1770474.431173406,0
2017-05-23,539.748437336646,-539.748437336646,19182.725579496007,20964.60669932994,5,2017-05-22,1777556.958194934,0
2017-05-24,-349.9786461102776,349.9786461102776,19576.856142898323,21173.21325814463,5,2017-05-23,1778096.7066322707,0
2017-05-25,2717.2809382090345,-2717.2809382090345,19845.51246165973,21550.573202553158,5,2017-05-24,1777746.7279861604,0
2017-05-26,4322.34087525378,-4322.34087525378,20570.154932673322,22429.309601424447,5,2017-05-25,1780464.0089243695,0
2017-05-30,-6470.7714974444825,6470.7714974444825,20635.177857395494,22442.59400321259,5,2017-05-26,1784786.3497996232,0
2017-05-31,2962.178481445415,-2962.178481445415,20465.5241451147,22245.030919505236,5,2017-05-30,1778315.5783021788,0
2017-06-01,6837.038094192743,-6837.038094192743,20373.20244430611,22227.209241066266,5,2017-05-31,1781277.7567836242,0
2017-06-02,2322.0940811450128,-2322.0940811450128,22220.429137816187,24271.18137606317,5,2017-06-01,1788114.794877817,0
2017-06-05,3355.8583207831252,-3355.8583207831252,23028.93115758756,25360.168150937185,5,2017-06-02,1790436.888958962,0
2017-06-06,1096.041060579475,-1096.041060579475,22857.103225855622,25129.715036723996,5,2017-06-05,1793792.747279745,0
2017-06-07,1301.8525567268953,-1301.8525567268953,22044.80368084181,24228.580296286847,5,2017-06-06,1794888.7883403245,0
2017-06-08,-3876.816923484439,3876.816923484439,22509.211509213317,24799.760923490812,5,2017-06-07,1796190.6408970514,0
2017-06-09,-6415.016854449641,6415.016854449641,22673.9875016429,25026.413745340145,5,2017-06-08,1792313.823973567,0
2017-06-12,-584.1209331459831,584.1209331459831,22241.99379833066,24472.333634756786,5,2017-06-09,1785898.8071191174,0
2017-06-13,3828.508782440098,-3828.508782440098,22205.386319756042,24381.810837609646,5,2017-06-12,1785314.6861859714,0
2017-06-14,-7381.897037774092,7381.897037774092,23623.342043647775,26254.232426018734,5,2017-06-13,1789143.1949684115,0
2017-06-15,-3895.0793099412695,3895.0793099412695,23383.166260058293,25903.566579348175,5,2017-06-14,1781761.2979306374,0
2017-06-16,-1429.5804897514172,1429.5804897514172,22872.805848861113,25265.578629176132,5,2017-06-15,1777866.218620696,0
2017-06-19,5981.274643540848,-5981.274643540848,23019.99819597439,25519.909733455534,5,2017-06-16,1776436.6381309447,0
2017-06-20,-10720.576842058683,10720.576842058683,25730.488946779165,29006.52120825718,5,2017-06-19,1782417.9127744855,0
2017-06-21,838.4860079463106,-838.4860079463106,23814.144447224448,26407.152731203754,5,2017-06-20,1771697.3359324269,0
2017-06-22,1222.6074021020904,-1222.6074021020904,23962.385423714994,26568.16866772161,5,2017-06-21,1772535.8219403732,0
2017-06-23,3063.4171323254704,-3063.4171323254704,22886.48598066694,25849.597180052566,5,2017-06-22,1773758.4293424753,0
2017-06-26,-4014.8199820118025,4014.8199820118025,23314.157987306593,26820.2206036184,5,2017-06-23,1776821.8464748007,0
2017-06-27,6753.416803922504,-6753.416803922504,15614.423920057481,18833.086298913324,5,2017-06-26,1772807.026492789,0
2017-06-28,8842.460076766787,-8842.460076766787,19670.765183033654,21454.786591380882,5,2017-06-27,1779560.4432967114,0
2017-06-29,-3499.6090250036214,3499.6090250036214,20643.28771932074,22943.918005460593,5,2017-06-28,1788402.9033734782,0
2017-06-30,3132.39276437182,-3132.39276437182,19638.53783486737,21434.405638133037,5,2017-06-29,1784903.2943484746,0
2017-07-03,-6499.513525218004,6499.513525218004,19701.62466422841,21628.933347319857,5,2017-06-30,1788035.6871128464,0
2017-07-05,396.61697747115977,-396.61697747115977,19558.38213372766,21695.559977150988,5,2017-07-03,1781536.1735876284,0
2017-07-06,-2328.6932686292566,2328.6932686292566,20137.327563700732,22156.970781144686,5,2017-07-05,1781932.7905650996,0
2017-07-07,-429.164752604207,429.164752604207,19246.772674803622,20852.621742691892,5,2017-07-06,1779604.0972964703,0
2017-07-10,517.4394932971336,-517.4394932971336,19409.956591228023,21537.397907824907,5,2017-07-07,1779174.932543866,0
2017-07-11,-589.4329511139076,589.4329511139076,19753.760692657903,21748.63923147153,5,2017-07-10,1779692.3720371632,0
2017-07-12,5577.135587415891,-5577.135587415891,19506.59348279657,21591.013328613575,5,2017-07-11,1779102.9390860493,0
2017-07-13,-23.08392582880333,23.08392582880333,20636.09510215954,23294.272845091065,5,2017-07-12,1784680.0746734652,0
2017-07-14,6257.486676450819,-6257.486676450819,20814.25570320105,23736.06724866475,5,2017-07-13,1784656.9907476364,0
2017-07-17,2534.5869942000136,-2534.5869942000136,21399.957181876292,25077.001589113475,5,2017-07-14,1790914.4774240872,0
2017-07-18,2053.3477721048985,-2053.3477721048985,21456.06477732933,25070.48628906058,5,2017-07-17,1793449.0644182872,0
2017-07-19,5962.802650602767,-5962.802650602767,21639.098693756852,25306.964586356004,5,2017-07-18,1795502.4121903921,0
