,pnl,actual_loss,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,snapshot_date,current_portfolio_value,avg_vol_ratio,exception
2016-02-12,9851.667822051793,-9851.667822051793,18298.422755571082,20315.57553560664,5,2016-02-11,1581756.1653080713,1.1537103146305556,0
2016-02-16,-11655.5299135237,11655.5299135237,19144.173348656623,21142.061772487777,5,2016-02-12,1591607.833130123,1.169265133824647,0
2016-02-17,11053.390436522663,-11053.390436522663,20991.760950003983,22753.419042094007,5,2016-02-16,1579952.3032165994,1.1949023442783286,0
2016-02-18,5925.572330963565,-5925.572330963565,22992.594478989253,24664.144305630914,5,2016-02-17,1591005.693653122,1.1940754188959832,0
2016-02-19,-3963.2740126845893,3963.2740126845893,23095.29296570923,24911.143739199313,5,2016-02-18,1596931.2659840856,1.2019852725709688,0
2016-02-22,-1854.1434698454104,1854.1434698454104,23060.09931204794,24900.48175245207,5,2016-02-19,1592967.991971401,1.1985782913421341,0
2016-02-23,-3003.990393083077,3003.990393083077,25545.78710599686,27524.68483041576,5,2016-02-22,1591113.8485015556,1.2035184442984965,0
2016-02-24,4639.516957268119,-4639.516957268119,23853.854862345615,25709.94953032159,5,2016-02-23,1588109.8581084725,1.2109629792616645,0
2016-02-25,5017.800499649718,-5017.800499649718,24743.758032346144,26526.962996880196,5,2016-02-24,1592749.3750657407,1.2097340959233027,0
2016-02-26,-2690.962893505348,2690.962893505348,27323.95243458962,29568.666896257317,5,2016-02-25,1597767.1755653904,1.2104583796548989,0
2016-02-29,-1483.8058525261004,1483.8058525261004,27186.956279408187,29131.845125821746,5,2016-02-26,1595076.212671885,1.2149375647305727,0
2016-03-01,15933.647218891652,-15933.647218891652,25786.987783709308,27519.40790367769,5,2016-02-29,1593592.406819359,1.2126510536754378,0
2016-03-02,7655.75795530621,-7655.75795530621,31597.73300393345,35538.97533053313,5,2016-03-01,1609526.0540382506,1.229263516686989,0
2016-03-03,12212.673185095191,-12212.673185095191,32448.127458746778,37404.02780314446,5,2016-03-02,1617181.8119935568,1.1958080794690087,0
2016-03-04,6721.116396609461,-6721.116396609461,32918.08768566116,39063.68929821676,5,2016-03-03,1629394.485178652,1.1474789088983226,0
2016-03-07,5536.644983500009,-5536.644983500009,24217.19800064317,27064.92582507194,5,2016-03-04,1636115.6015752614,1.1464451011391816,0
2016-03-08,-11605.206128220307,11605.206128220307,22328.768720132066,24106.967967425986,5,2016-03-07,1641652.2465587615,1.1442674177608823,0
2016-03-09,1710.0649733047467,-1710.0649733047467,20989.594877977856,23091.576981751015,5,2016-03-08,1630047.0404305412,1.1485410628514239,0
2016-03-10,9842.612898668507,-9842.612898668507,21435.330137542915,23555.425605474134,5,2016-03-09,1631757.105403846,1.1487093880921206,0
2016-03-11,4268.757412132807,-4268.757412132807,21718.219875108916,23838.905666922637,5,2016-03-10,1641599.7183025144,1.12140706599957,0
2016-03-14,-8735.928306518355,8735.928306518355,23869.114861698123,25857.401708110003,5,2016-03-11,1645868.4757146472,1.1279399546733053,0
2016-03-15,-2282.871251219185,2282.871251219185,23599.40369750443,25579.672090377706,5,2016-03-14,1637132.5474081289,1.1247112859873585,0
2016-03-16,13490.788176791742,-13490.788176791742,23316.645170766395,25272.766148861265,5,2016-03-15,1634849.6761569097,1.1133556219736482,0
2016-03-17,952.8222825559787,-952.8222825559787,24146.45771941752,26182.181601229684,5,2016-03-16,1648340.4643337014,1.1071830150565705,0
2016-03-18,429.7377305701375,-429.7377305701375,24666.890696319984,27121.38331557005,5,2016-03-17,1649293.2866162574,1.1007138212826748,0
2016-03-21,-1603.385791292414,1603.385791292414,25362.85054176557,27998.9720198222,5,2016-03-18,1649723.0243468275,1.0999954424637242,0
2016-03-22,1366.41593374894,-1366.41593374894,25721.985662726685,28357.476224853097,5,2016-03-21,1648119.638555535,1.095990847966638,0
