refit_id,instrument,dist_name,aic,ks_pvalue,params,aic_normal
2013-12-30,EURUSD,logistic,-3832.1250218810237,0.955547101475644,"(np.float64(0.00012742182560994), np.float64(0.0029242425636379485))",-3813.948096738568
2013-12-30,GLD,t,-3129.8699788258473,0.9605613806917894,"(np.float64(3.1849376187200527), np.float64(-0.00010020645291384958), np.float64(0.007537100759231462))",-3014.3262859401175
2013-12-30,IEF,genlogistic,-4196.225396721746,0.5545070192159098,"(np.float64(0.662831866103349), np.float64(0.0012531329295681743), np.float64(0.0017209271517862614))",-4178.131981137163
2013-12-30,SPY,gennorm,-3488.7972622700736,0.9519620349095895,"(np.float64(1.3070055143311166), np.float64(0.0008150513454019698), np.float64(0.007654361245540876))",-3467.834489656725
2014-12-26,EURUSD,t,-4001.6872706324093,0.6689381792206247,"(np.float64(5.0967669694469295), np.float64(-3.884490397449536e-05), np.float64(0.0035846348554322777))",-3956.95870310024
2014-12-26,GLD,laplace,-3133.5516891871484,0.8268423289520654,"(np.float64(-0.0002420195268743), np.float64(0.00798094167778799))",-3023.5819449252517
2014-12-26,IEF,genlogistic,-4242.635210299326,0.9776082515456893,"(np.float64(0.7165427725020059), np.float64(0.0010569369895780142), np.float64(0.0017014573879040743))",-4222.7999342688445
2014-12-26,SPY,genlogistic,-3569.721429670185,0.9672370006326929,"(np.float64(0.644421239927705), np.float64(0.0033703294131189757), np.float64(0.003147429805469721))",-3534.31505388753
2015-12-23,EURUSD,laplace,-3729.169800470762,0.9059481113408385,"(np.float64(-0.00027245828173045), np.float64(0.0043992685917171705))",-3662.4233840322795
2015-12-23,GLD,gennorm,-3300.133584109815,0.9322746115895967,"(np.float64(1.2053555836284748), np.float64(-0.00037963488744985525), np.float64(0.008509324017786216))",-3269.155268120093
2015-12-23,IEF,norm,-4181.560740597159,0.6250973063732197,"(np.float64(0.0002079588509489899), np.float64(0.0036812633878564667))",-4181.560740597159
2015-12-23,SPY,laplace,-3396.3038355174813,0.9635071096690832,"(np.float64(0.00050626610394185), np.float64(0.006136805088892951))",-3346.1803401961765
2016-12-20,EURUSD,t,-3634.547577927426,0.9394722355234447,"(np.float64(4.338588772293354), np.float64(-0.0002705615224956458), np.float64(0.004986311701648717))",-3595.0447251463684
2016-12-20,GLD,logistic,-3245.6249589683316,0.8275262473905756,"(np.float64(-0.0002327312934384814), np.float64(0.0052225967265525095))",-3220.953650086243
2016-12-20,IEF,logistic,-4148.660895991743,0.4649537198075657,"(np.float64(0.00010756518961485523), np.float64(0.0021455921925073894))",-4147.61667297722
2016-12-20,SPY,laplace,-3338.569432063087,0.8866786016988777,"(np.float64(0.00014112412742298472), np.float64(0.006501537363251771))",-3283.180244230877
2017-12-18,EURUSD,genlogistic,-3913.3685079760053,0.9668572792160108,"(np.float64(1.3625084738509579), np.float64(-0.0011938774727966346), np.float64(0.0029552888488792836))",-3889.4794706449966
2017-12-18,GLD,t,-3393.142849465807,0.5642394932156038,"(np.float64(5.085725941535248), np.float64(0.00023608933416876477), np.float64(0.006584660138460475))",-3350.6995327904733
2017-12-18,IEF,t,-4379.036686630552,0.9376480284192523,"(np.float64(9.572627049255566), np.float64(7.097593204006744e-05), np.float64(0.0027095668231824454))",-4366.274749109294
2017-12-18,SPY,gennorm,-3717.0263959218605,0.26310639848742146,"(np.float64(0.8466154500331409), np.float64(0.0005008074575647574), np.float64(0.003399731901986241))",-3594.8810767010773
2018-12-17,EURUSD,genlogistic,-3975.5423417889433,0.7327324792036409,"(np.float64(1.3203342794216868), np.float64(-0.000988967439453392), np.float64(0.002779736380620112))",-3972.0786333936144
2018-12-17,GLD,logistic,-3674.9777542339953,0.5259038137531229,"(np.float64(0.00015344590462959033), np.float64(0.003424673310003331))",-3667.287694955858
2018-12-17,IEF,logistic,-4538.198850502858,0.8790427563439627,"(np.float64(2.46113411786875e-05), np.float64(0.001452559308358842))",-4536.79014931356
2018-12-17,SPY,gennorm,-3623.819325082359,0.4183687358599921,"(np.float64(0.772095931836833), np.float64(0.0004851772248049076), np.float64(0.0031222846822470457))",-3453.3787440422525
2019-12-13,EURUSD,logistic,-4143.481048042421,0.9204516402701329,"(np.float64(-4.466538565417878e-05), np.float64(0.002143620689521633))",-4130.810151120242
2019-12-13,GLD,logistic,-3593.724109081979,0.7334659348488118,"(np.float64(0.000286840622349866), np.float64(0.003680458509357654))",-3570.658180690809
2019-12-13,IEF,logistic,-4398.581073511697,0.8720150171907413,"(np.float64(0.00017494910306033434), np.float64(0.0016638731120684057))",-4391.367034324536
2019-12-13,SPY,laplace,-3335.442546076771,0.48645779956672064,"(np.float64(0.00062646760440515), np.float64(0.006521898746594411))",-3237.987154461195
2020-12-10,EURUSD,t,-4119.371964367908,0.8385338939370051,"(np.float64(5.795169926351772), np.float64(0.00011904507082046665), np.float64(0.0032686118954898657))",-4078.5641806957174
2020-12-10,GLD,t,-3257.920130305067,0.7763928757339948,"(np.float64(3.1912559888661587), np.float64(0.0012679038081812762), np.float64(0.006635703031652998))",-3166.51519717226
2020-12-10,IEF,t,-4225.065120072011,0.906993444967247,"(np.float64(3.5435551842619226), np.float64(0.00036661724364097487), np.float64(0.0026108181562165527))",-4097.804454011763
2020-12-10,SPY,t,-2979.4207900864512,0.7624886465025382,"(np.float64(1.9331963847267657), np.float64(0.0018353914526304698), np.float64(0.006976218449504716))",-2692.388588122494
2021-12-08,EURUSD,t,-4085.7757673523693,0.8587084849121157,"(np.float64(7.400896307492939), np.float64(7.500103507742065e-05), np.float64(0.0035176667692479744))",-4056.429430227829
2021-12-08,GLD,t,-3202.1066570846315,0.7794598474860552,"(np.float64(3.1393292790812692), np.float64(0.0010767891287547567), np.float64(0.006976558946851903))",-3119.6438777923054
2021-12-08,IEF,t,-4229.859147343621,0.36162488143945015,"(np.float64(2.0051883092935903), np.float64(-5.079047962730507e-05), np.float64(0.0022372959882182913))",-4105.408297061655
2021-12-08,SPY,t,-2991.968561249734,0.7791100743983768,"(np.float64(2.0608987394162854), np.float64(0.0018091207003637004), np.float64(0.007143550959346913))",-2709.4400932806693
2022-12-06,EURUSD,gennorm,-3900.896471124088,0.9385256634906697,"(np.float64(1.247960184171967), np.float64(-0.00013244494802921178), np.float64(0.004840968309629054))",-3874.1874160566003
2022-12-06,GLD,genlogistic,-3300.461190375005,0.8717768213387473,"(np.float64(0.8069646196531202), np.float64(0.0015741467076010257), np.float64(0.004548674176224571))",-3280.201370543877
2022-12-06,IEF,logistic,-3898.1616600517527,0.9996849731021816,"(np.float64(-0.0003617005775411064), np.float64(0.002717514402122463))",-3870.3286356837625
2022-12-06,SPY,gennorm,-3022.2376557658736,0.9996633119904956,"(np.float64(1.1896068695453648), np.float64(0.00035595387451857344), np.float64(0.011074385685110787))",-2989.2157725532606
2023-12-05,EURUSD,logistic,-3790.7777970501247,0.9868652711862633,"(np.float64(-4.316670502957314e-05), np.float64(0.0030444354254590272))",-3781.9020950636177
2023-12-05,GLD,logistic,-3307.029470858935,0.9993716751702215,"(np.float64(0.0001399013829604222), np.float64(0.0049227103466884855))",-3292.075687745441
2023-12-05,IEF,norm,-3674.229936257629,0.5354207398701551,"(np.float64(-0.0003247558812783559), np.float64(0.006114034153212384))",-3674.229936257629
2023-12-05,SPY,logistic,-2986.452224129854,0.8544893101435977,"(np.float64(4.826141676932577e-05), np.float64(0.006791028017148366))",-2970.326815807208
2024-12-03,EURUSD,logistic,-4050.9101718618704,0.9966122678717017,"(np.float64(-8.539308985375183e-06), np.float64(0.0023467422706423295))",-4035.56917489405
2024-12-03,GLD,logistic,-3308.591056365808,0.8789312924497118,"(np.float64(0.0008398411627882758), np.float64(0.004920172660399383))",-3292.7323166293186
2024-12-03,IEF,norm,-3835.871694147531,0.8742629851001369,"(np.float64(6.898601297416807e-05), np.float64(0.005201489628745321))",-3835.871694147531
2024-12-03,SPY,gennorm,-3391.716440010262,0.907010208857657,"(np.float64(1.4498182308651795), np.float64(0.0009575544708150139), np.float64(0.009253910351658106))",-3383.8457338870376
