,VaR_MC_GARCH_COPULA_V3,actual_loss,exception
2020-11-13,62886.58326824324,-21956.74073640977,0
2020-11-16,68485.39469848633,-19566.296470969875,0
2020-11-17,62349.28244990022,13971.438958834224,0
2020-11-18,60020.491399446015,20866.66816531537,0
2020-11-19,64320.92507058282,-1318.959689095872,0
2020-11-20,55308.1127449612,9354.34994275021,0
2020-11-23,58355.50794866898,6905.582272341533,0
2020-11-24,64213.14028106371,-11869.865085096331,0
2020-11-25,48201.8817187009,1817.0253463531812,0
2020-11-27,46528.773624833215,6724.401099208274,0
2020-11-30,44655.35251717661,11824.79718660736,0
2020-12-01,43354.18908743953,-39069.04793174104,0
2020-12-02,47640.103547837294,-14542.793671173566,0
2020-12-03,46466.86636458123,-4926.199098295494,0
2020-12-04,42520.14862050124,-15768.165003572212,0
2020-12-07,42980.256337695166,-6603.376352240661,0
2020-12-08,42100.13381531112,-5962.529704357519,0
2020-12-09,41180.07630396272,38154.41018232082,0
2020-12-10,62638.08565477771,4768.308334549945,0
2020-12-11,56683.281953947815,-1346.0886504962527,0
2020-12-14,51095.62553361986,7635.354822414425,0
2020-12-15,53378.483889003066,-22755.32000747671,0
2020-12-16,57924.524993331535,-4434.63708550449,0
2020-12-17,55484.878864530845,-15781.739212878696,0
2020-12-18,53490.21323602662,5293.388078745131,0
2020-12-21,51362.85333808232,2167.9404477898097,0
2020-12-22,47460.81877117727,11496.3380832338,0
2020-12-23,47266.24049443419,-5107.382961111876,0
2020-12-24,47746.64169758894,-2685.5388090251818,0
2020-12-28,50106.32024653837,-6647.864862482306,0
2020-12-29,48567.58053121696,-2068.916543012634,0
2020-12-30,47907.32032338701,-6590.153633508495,0
2020-12-31,49008.91655958535,-9623.154145020024,0
2021-01-04,42352.399670636005,-8559.597036820947,0
2021-01-05,44652.996004756315,-9014.561915457602,0
2021-01-06,44374.39067623054,1966.913311445864,0
2021-01-07,56964.02351185054,-17164.37073268051,0
2021-01-08,59007.218513472864,19704.340759536783,0
2021-01-11,46363.76106499382,11326.981215136731,0
2021-01-12,45849.44701081624,-3409.8541570305088,0
2021-01-13,44510.393683237555,3498.22605539333,0
2021-01-14,42790.667159145094,3080.486357569888,0
2021-01-15,42587.388206974065,24369.671826276404,0
2021-01-19,44390.69830323558,-16314.928265566245,0
2021-01-20,43123.5414869672,-36509.15857361403,0
2021-01-21,49319.37059230879,-1708.936213600908,0
2021-01-22,47149.00126829902,12944.961621039854,0
2021-01-25,44973.985842443544,-14589.82145188087,0
2021-01-26,43304.61782818608,5417.90064942832,0
2021-01-27,43339.412846134735,3553.73812598722,0
2021-01-28,59499.552139531304,4645.838876411159,0
2021-01-29,55700.59259568127,10627.10696879514,0
2021-02-01,62299.45453207365,-14670.97865075242,0
2021-02-02,63047.68614276257,5138.74051809216,0
2021-02-03,58013.48266518193,4708.714570156391,0
2021-02-04,57098.40336584918,8497.00569997301,0
2021-02-05,57984.16865991992,-11346.687668522523,0
2021-02-08,56667.411868444346,-18235.38657815838,0
2021-02-09,52071.21309611689,-1040.1042574771086,0
2021-02-10,50229.13776069717,-1691.8521164378344,0
2021-02-11,50249.21169190887,6407.744937246859,0
2021-02-12,50002.651438797635,-3803.769387067792,0
2021-02-16,47781.90010140312,4894.938539656647,0
2021-02-17,51344.30887611906,11084.658629351166,0
2021-02-18,51165.992909072746,6234.451584644777,0
2021-02-19,50463.890961378944,-3349.1245154094177,0
2021-02-22,46543.78571121577,-6020.8361090448425,0
2021-02-23,48253.94250866146,885.1246937056236,0
2021-02-24,41375.87170276828,-9893.829792891442,0
2021-02-25,30406.59448310852,27061.93529538453,0
2021-02-26,79054.43957618841,32143.12346714826,0
2021-03-01,74006.5073733523,-17360.953399626338,0
2021-03-02,77896.44596147853,9325.55302400215,0
2021-03-03,70576.835211761,19235.072414721737,0
2021-03-04,75463.48234903603,14752.035680025216,0
2021-03-05,76415.11297743765,-9954.53644910012,0
2021-03-08,69692.10674196169,15369.822027196871,0
2021-03-09,71158.19604034499,-64877.746368533655,0
2021-03-10,70857.25453102475,-7026.625818548191,0
2021-03-11,69288.55134247216,-10521.599976438129,0
2021-03-12,65439.97144739467,-5995.59282912257,0
2021-03-15,59514.55589110184,-6912.568441374791,0
2021-03-16,55347.38817915055,2616.0040328474806,0
2021-03-17,52271.736251701586,-7979.655601891842,0
2021-03-18,48598.35831455115,13268.222995289603,0
2021-03-19,55743.560228191796,-431.2549555629853,0
2021-03-22,53908.02460180316,-368.6771202092969,0
2021-03-23,51232.66948626007,16070.31489721044,0
2021-03-24,52808.53362120888,4826.834608650643,0
2021-03-25,49985.92154043982,-378.0182489785443,0
2021-03-26,48119.20437099667,-21949.987908395626,0
2021-03-29,53000.40956499234,3755.5939890577447,0
2021-03-30,51476.23725674846,19569.86179197876,0
2021-03-31,51626.28731493721,-15026.647070919536,0
2021-04-01,57449.38310277747,-20223.65814524148,0
2021-04-05,69213.94924476634,-25383.06658273881,0
2021-04-06,71282.55081358503,-2389.1758618373715,0
2021-04-07,68628.7819763874,-872.4465562735811,0
2021-04-08,48868.788655640215,-14095.516521065976,0
2021-04-09,45172.65132100886,-9658.010435306029,0
2021-04-12,45332.70723486038,2771.8887789231794,0
2021-04-13,46045.02506779521,-8272.94280260168,0
2021-04-14,45595.39764898266,9604.322619503106,0
2021-04-15,43850.4033931926,-28374.034191218183,0
2021-04-16,52907.9744379913,-12279.007547384106,0
