,VaR_full,VaR_diagonal,ES_full,ES_diagonal,diversif_benefit,sigma_full,sigma_diagonal
2016-03-04,7956.731542723688,8773.21061798316,9110.105960330307,10045.517068135303,816.4790752594727,3403.6263269667757,3754.5966544789962
2016-03-07,7956.044205458127,8772.172724415514,9109.605259755674,10044.614747643123,816.1285189573864,3404.1770948224807,3754.996732789944
2016-03-08,7950.534881986797,8769.938848935524,9102.610227790916,10041.372280228983,819.4039669487274,3399.7927453300476,3752.0203618839864
2016-03-09,7957.548768306295,8774.174968079089,9109.976312389392,10045.555975529316,816.6261997727943,3400.83208807629,3751.8656582853423
2016-03-10,7965.169087263974,8780.648184597114,9118.007472951318,10052.272941525383,815.4790973331401,3402.0444882119987,3752.584966887985
2016-03-11,7963.862132369443,8775.315290405159,9117.55825304553,10047.21134580707,811.4531580357152,3404.575677862715,3753.3855730166288
2016-03-14,7965.720520197842,8799.229449636263,9120.425703855484,10075.347311373194,833.5089294384206,3407.5534388370843,3765.8441909379835
2016-03-15,7915.853516370623,8776.667538021313,9064.712150955389,10050.916233834616,860.8140216506899,3390.300179147456,3760.3282524447945
2016-03-16,7918.859565184909,8776.021184397381,9067.926549335585,10049.946204328771,857.161619212472,3390.915022044014,3759.373079747823
2016-03-17,7950.924684370468,8778.574809405935,9107.112600330142,10055.321983514068,827.6501250354668,3411.929005541179,3767.7013017961867
2016-03-18,7923.198794873348,8754.327653928985,9077.839293176658,10030.034138501836,831.1288590556378,3407.362551323361,3764.63021035665
2016-03-21,7924.206528284575,8755.735213480906,9079.183059988123,10031.835971936838,831.528685196331,3408.354191254266,3765.7937188825967
2016-03-22,7923.483990926241,8752.924201359821,9078.38945860203,10028.649679114256,829.4402104335804,3408.144480173385,3764.686259538847
2016-03-23,7915.9935645779515,8748.495336849897,9070.305267920516,10024.073011206583,832.5017722719458,3406.3922721429917,3764.2500893515157
2016-03-24,7957.049092119479,8781.655718308608,9115.573669499863,10060.296224039042,824.6066261891292,3418.82453071266,3773.2885536521003
2016-03-28,7963.898760147171,8782.207030680802,9122.766835743776,10060.27358767443,818.308270533631,3419.8381994347496,3771.5948217632226
2016-03-29,7964.0154193984645,8780.847673734972,9122.84491492284,10058.660647465584,816.8322543365075,3419.7243490254414,3770.846493504065
2016-03-30,8007.970291151019,8780.77209669761,9175.401931593005,10060.773541159739,772.8018055465909,3445.1094160626617,3777.3047055849647
2016-03-31,8005.630669299128,8789.812920451655,9172.915358325476,10071.325140644132,784.182251152527,3444.675760088139,3781.763028893905
2016-04-01,8006.059903770418,8775.156225658382,9173.796302894501,10054.922671304297,769.0963218879642,3446.0087638008476,3776.6112203251387
2016-04-04,7986.7270186835485,8762.666353092158,9153.094574864615,10042.060739928878,775.9393344086093,3441.9692864141402,3775.5132688370322
2016-04-05,7988.927707676676,8773.168904730719,9153.75291505943,10052.230229606052,784.2411970540434,3437.4177904773783,3774.5303976696237
2016-04-06,7984.757950669473,8783.99579462213,9148.312999198195,10063.971440014748,799.2378439526565,3433.669531413345,3777.228572118804
2016-04-07,7978.233303717153,8764.807849749102,9141.496845183563,10042.647394866826,786.5745460319495,3432.809289416787,3770.9249060918105
2016-04-08,7973.290755448912,8768.655513010017,9136.903048503265,10048.124231658323,795.3647575611049,3433.838460922735,3775.7326232001783
2016-04-11,7975.8137466637545,8771.467628780732,9138.796488345422,10050.348911245992,795.6538821169779,3431.9806447673477,3773.999089642033
2016-04-12,7963.434801420984,8751.029136062876,9126.518168676826,10028.837053988349,787.5943346418926,3432.2775924438297,3770.8315737423573
2016-04-13,7963.0793739555,8752.06739125114,9125.924458167401,10029.84003624739,788.9880172956391,3431.574415375527,3770.727482764875
2016-04-14,7955.877248372221,8753.758130273342,9118.19115696627,10032.294974505463,797.8808819011201,3430.006907643806,3772.9826469149966
2016-04-15,7996.654197748649,8776.212358471834,9163.07678088728,10056.188906864008,779.5581607231852,3442.1316718447533,3777.231236884913
2016-04-18,7994.757186317698,8772.714951540633,9161.559426559439,10052.838036193645,777.9577652229345,3443.2520460195537,3777.6636677309843
2016-04-19,7993.821894903774,8771.38697549369,9160.924510811039,10051.753235593667,777.5650805899159,3444.1384594058336,3778.381282358746
2016-04-20,7999.39812477332,8774.956345541104,9167.96772591204,10056.49726259994,775.5582207677844,3448.4675562531593,3781.847713804853
2016-04-21,8003.271181518031,8775.993620197707,9171.98151333401,10057.26219509726,772.7224386796761,3448.882854729371,3781.0440277432185
2016-04-22,8008.878635815078,8780.549933573802,9177.969088311314,10062.045515215965,771.671297758724,3450.0045969277407,3781.7139282661965
2016-04-25,8027.688189028641,8796.839029477933,9197.960225273167,10079.149053664356,769.1508404492915,3453.491469440088,3784.1173612218213
