,VaR,actual_loss,exception,cvm_pvalue
2016-11-15,13384.052364240026,-2238.1207344420386,0,0.244
2016-11-16,13536.42563974657,3325.2724953411243,0,0.244
2016-11-17,13126.492314645317,-5742.771158153498,0,0.244
2016-11-18,13305.997770624908,2162.247574882404,0,0.244
2016-11-21,13371.59578192372,-631.3481429283897,0,0.244
2016-11-22,13355.764718892713,168.94538805642696,0,0.244
2016-11-23,13117.485643565089,1142.3578902226377,0,0.244
2016-11-25,13107.309826616434,336.1764739921474,0,0.244
2016-11-28,13272.416326959346,-35.202848181958416,0,0.244
2016-11-29,13771.262044610407,2543.2113495453577,0,0.244
2016-11-30,13516.752909054134,-1865.100658740344,0,0.244
2016-12-01,13204.271390110394,-4462.3868779263175,0,0.244
2016-12-02,13251.804964110926,878.6474244405424,0,0.244
2016-12-05,13432.380180614298,4546.037334199113,0,0.244
2016-12-06,13186.95132153105,-4479.911272051469,0,0.244
2016-12-07,13205.82155260339,-1287.786975755207,0,0.244
2016-12-08,13205.010198720092,-6476.479602932621,0,0.244
2016-12-09,12864.50942230822,-1953.169047450627,0,0.244
2016-12-12,13250.084951807747,-813.1025981917048,0,0.244
2016-12-13,13435.002203025506,-3894.865644487828,0,0.244
2016-12-14,13008.447736981077,4609.163131230624,0,0.244
2016-12-15,13398.959877471212,-719.5368148264251,0,0.244
2016-12-16,13055.787611336234,1819.7596770817208,0,0.244
2016-12-19,13316.796733524428,1890.624706035342,0,0.244
2016-12-20,13333.293552023815,-1502.6610986516253,0,0.352
2016-12-21,13673.195695500028,3640.7020216803953,0,0.352
2016-12-22,13977.655300835717,971.9656032691976,0,0.352
2016-12-23,13852.278342793064,-1943.659399822964,0,0.352
2016-12-27,13451.596672842057,-4514.089984062849,0,0.352
2016-12-28,13722.486315753946,9212.642120063356,0,0.352
2016-12-29,13477.687125217164,-644.0614919043084,0,0.352
2016-12-30,13383.129444001954,3314.7630839679896,0,0.352
2017-01-03,13695.607725071477,-4625.044773153817,0,0.352
2017-01-04,13835.197808100991,-4894.371942139081,0,0.352
2017-01-05,13957.85559732456,2087.644254737517,0,0.352
2017-01-06,13742.558610567356,-4961.017051702254,0,0.352
2017-01-09,13430.571490298667,3700.373084796542,0,0.352
2017-01-10,13815.99688378359,-1995.966314128971,0,0.352
2017-01-11,14058.41031317333,-635.5302291269089,0,0.352
2017-01-12,13933.390647807924,597.7455014338943,0,0.352
2017-01-13,13847.700787784566,-4684.037848088858,0,0.352
2017-01-17,13420.719184801805,3387.823265431275,0,0.352
2017-01-18,13516.472579125826,-8108.784660277723,0,0.352
2017-01-19,13806.702995188773,-1046.0860884785247,0,0.352
2017-01-20,13652.982917831236,-2159.6488137221368,0,0.352
2017-01-23,13586.086175472728,3527.0178189206217,0,0.352
2017-01-24,13856.515385142167,-6062.971881378509,0,0.352
2017-01-25,13705.982405446732,-4752.792209785102,0,0.352
2017-01-26,13605.991626530807,4237.356317779992,0,0.352
2017-01-27,13423.739769219314,3713.2901177509584,0,0.352
2017-01-30,13709.68954861488,50.78445800190954,0,0.352
2017-01-31,13522.12266542707,26.371546348264477,0,0.352
2017-02-01,13680.551014123514,-3599.522356510436,0,0.352
2017-02-02,13479.962743759123,-597.7018261306199,0,0.352
2017-02-03,13860.517001083634,-3558.4684610817403,0,0.352
2017-02-06,13613.899757901134,2749.530081362826,0,0.352
2017-02-07,13885.064545893129,3318.49131980313,0,0.352
2017-02-08,13625.036623416212,4556.666038701616,0,0.352
2017-02-09,13760.199827963223,-5321.360340256131,0,0.352
2017-02-10,13667.344077594424,-2704.5617046456364,0,0.352
2017-02-13,13665.46675689447,-2163.187318164538,0,0.352
2017-02-14,13784.749514566189,-5252.314016151424,0,0.352
2017-02-15,13634.64018278027,-7400.336421509899,0,0.352
2017-02-16,13717.183094661226,3494.8567027828794,0,0.352
2017-02-17,13555.059116366243,1651.908442644925,0,0.352
2017-02-21,13744.671192546833,-2417.1135465623074,0,0.352
2017-02-22,13485.191065784553,2191.6067843333103,0,0.352
2017-02-23,13622.561854938804,838.5172115703183,0,0.352
2017-02-24,13852.087246579174,3442.283113213278,0,0.352
2017-02-27,13976.14623692091,-2984.430016291115,0,0.352
2017-02-28,13583.685744348644,-431.9341314012074,0,0.352
2017-03-01,13771.431986926407,-12285.797093408208,0,0.352
2017-03-02,13729.174872773234,5297.257976829312,0,0.352
2017-03-03,13947.721673648748,1210.0828851123767,0,0.352
2017-03-06,13726.989640562539,388.51056887000425,0,0.352
2017-03-07,13503.852713668786,1671.0864843608545,0,0.352
2017-03-08,13910.67849397196,-1664.8648713058092,0,0.352
2017-03-09,13605.425088111017,-927.3436205333928,0,0.352
2017-03-10,13740.036993263746,-406.4910345794968,0,0.352
2017-03-13,13673.615708787665,-5649.223521016815,0,0.352
2017-03-14,13293.073189889892,5102.484718351755,0,0.352
2017-03-15,13551.52481475302,67.23207645831371,0,0.352
2017-03-16,13314.733820229183,-3779.1084983832575,0,0.352
2017-03-17,13398.193539843338,1930.978263688321,0,0.352
2017-03-20,13176.456596191401,2758.7149847261253,0,0.352
2017-03-21,13383.719390180011,5261.142266649477,0,0.352
2017-03-22,13748.822017821045,-273.70228594684386,0,0.352
2017-03-23,13468.90337986977,743.6869974157808,0,0.352
2017-03-24,13395.025291895134,1384.0213295499768,0,0.352
2017-03-27,13331.488574172372,-547.7911505998666,0,0.352
2017-03-28,13609.255384186727,-3549.871005879196,0,0.352
2017-03-29,13814.259234477344,2874.372362027873,0,0.352
