,VaR,VaR_raw,actual_loss,exception,sigma_hat,mu_hat,q_EVT,xi,xi_raw,xi_clamped,ks_pvalue,fallback_type,threshold_u,N_u,f_u_hat
2010-11-29,23310.416601026416,23310.416601026416,1760.4766822082263,0,0.009103013965573389,0.0006186557062589066,2.6286977475572906,-0.040294731817965584,-0.040294731817965584,False,0.44291507253943807,none,1.344959101002674,50,0.9
2010-11-30,22606.627319878233,22606.627319878233,-2524.5454104948567,0,0.008835280909613578,0.0006186557062589066,2.6286977475572906,-0.040294731817965584,-0.040294731817965584,False,0.44291507253943807,none,1.344959101002674,50,0.9
2010-12-01,21910.920465487616,21910.920465487616,-12721.470459156782,0,0.008570622542162584,0.0006186557062589066,2.6286977475572906,-0.040294731817965584,-0.040294731817965584,False,0.44291507253943807,none,1.344959101002674,50,0.9
2010-12-02,22672.095528448437,22672.095528448437,-9463.059580668429,0,0.00886018609646172,0.0006186557062589066,2.6286977475572906,-0.040294731817965584,-0.040294731817965584,False,0.44291507253943807,none,1.344959101002674,50,0.9
2010-12-03,22707.628798900358,22707.628798900358,-18287.245480897454,0,0.00887370353888542,0.0006186557062589066,2.6286977475572906,-0.040294731817965584,-0.040294731817965584,False,0.44291507253943807,none,1.344959101002674,50,0.9
2010-12-06,24717.490639676173,24717.490639676173,-6437.105373331995,0,0.009708815008604824,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-07,24209.874503264844,24209.874503264844,3796.3550386355,0,0.009514296430423695,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-08,23595.79796065878,23595.79796065878,1901.093766451244,0,0.009278982208920454,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-09,22885.233931071623,22885.233931071623,-1849.2686159890309,0,0.00900669396820553,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-10,22156.18857205145,22156.18857205145,-6396.582902867947,0,0.008727323679331888,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-13,21774.465990012133,21774.465990012133,-701.6235035620398,0,0.008581047529714473,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-14,21073.044980726838,21073.044980726838,-17700.277511292366,0,0.008312262895724846,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-15,23290.04910428203,23290.04910428203,7308.60321070956,0,0.009161819202158352,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-16,23127.443272469078,23127.443272469078,8450.878685045385,0,0.009099508623476148,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-17,23157.43206117948,23157.43206117948,6727.041218226604,0,0.009111000331723568,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-20,22919.221134544303,22919.221134544303,-5944.139452899547,0,0.00901971786957832,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-21,22449.403181878544,22449.403181878544,-2044.0342213428655,0,0.008839683560971433,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-22,21742.364811183328,21742.364811183328,1281.925856080397,0,0.008568746353262791,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-23,21079.193664198083,21079.193664198083,-1212.2484516476784,0,0.008314619072135957,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-27,20408.1387490488,20408.1387490488,1747.0318261600155,0,0.008057470729888374,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-28,19820.328890868954,19820.328890868954,-20831.097721833223,0,0.007832221905723052,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-29,23348.89467292113,23348.89467292113,8290.135364523729,0,0.009184368832721442,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-30,23336.697945328964,23336.697945328964,-717.7017049454157,0,0.009179695044913073,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2010-12-31,22575.8196578939,22575.8196578939,-4619.725184615792,0,0.00888812637318584,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
