,VaR_MC_T_COPULA,actual_loss,exception
2009-06-05,37476.79279624014,10030.374035933066,0
2009-06-08,37181.63414265833,-529.2991758671697,0
2009-06-09,34990.14547930699,-2781.4089513687777,0
2009-06-10,33751.77665099205,-5154.9473519412095,0
2009-06-11,35876.54152405039,2893.253219546128,0
2009-06-12,39316.884575762226,12782.038931100817,0
2009-06-15,37767.84771776963,17855.315709216105,0
2009-06-16,37429.150893896316,3594.128718872643,0
2009-06-17,39643.601986089816,-3411.14997525681,0
2009-06-18,38150.11184313854,-7509.028867701763,0
2009-06-19,35398.43098685445,1867.649624322823,0
2009-06-22,38371.2261586379,18165.802111016957,0
2009-06-23,37199.08948004346,-1174.6985739351048,0
2009-06-24,34628.84478297823,-5143.479173348431,0
2009-06-25,38797.84536032054,616.4927263571017,0
2009-06-26,34957.32086781624,1787.849786299781,0
2009-06-29,36629.17608958256,-1566.078816250512,0
2009-06-30,37663.97739178532,6880.532998529727,0
2009-07-01,36452.705376237835,-10088.800229031134,0
2009-07-02,36140.13416312013,10086.010066303465,0
2009-07-06,37125.27279344532,754.2807197590284,0
2009-07-07,34829.570390728106,7528.290289933516,0
2009-07-08,33428.67744916882,15545.475122943028,0
2009-07-09,35253.88567782503,-11022.588454524292,0
2009-07-10,33697.02380685546,10355.889801971818,0
2009-07-13,35682.125571689045,-11267.216935438812,0
2009-07-14,35207.82410193455,-10805.050296193363,0
2009-07-15,34796.1544226957,-22736.574889954794,0
2009-07-16,38708.750027212685,2473.443766076239,0
2009-07-17,40269.337568643845,-5792.059795384413,0
2009-07-20,36408.32485436122,-7792.5302118582385,0
2009-07-21,37067.56130964405,5237.25876272015,0
2009-07-22,39815.04974991256,-5960.543679747687,0
2009-07-23,39179.39842252162,-13288.162675651409,0
2009-07-24,39470.1285720976,-2044.5136830216188,0
2009-07-27,39741.0395724004,-5670.037378388178,0
2009-07-28,42262.49608476582,13000.977126968968,0
2009-07-29,45076.09492364803,10062.28088951561,0
2009-07-30,40277.462706308135,-6525.093525618424,0
2009-07-31,40330.485437559444,-3308.115415782484,0
2009-08-03,39826.68576674244,-19250.63622085049,0
2009-08-04,41007.756994034324,-7151.052957416943,0
2009-08-05,41741.83581870713,-5382.192037414488,0
2009-08-06,43947.01250806953,4333.7662304701125,0
