,VaR_MC_COPULA,actual_loss,exception
2008-06-20,18124.39712615078,649.4010333459391,0
2008-06-23,20236.89453491047,9112.561012005475,0
2008-06-24,18605.824772270997,2940.0879372895683,0
2008-06-25,19853.256543902233,-3705.6925007171785,0
2008-06-26,19843.17544861667,-11878.582512202936,0
2008-06-27,19703.620630941998,1144.6544293381512,0
2008-06-30,18938.189827538874,-111.07917295818127,0
2008-07-01,19521.516251768717,-6953.919149268036,0
2008-07-02,18606.291999722154,-2869.3355658383507,0
2008-07-03,19529.302282452343,8709.811035865656,0
2008-07-07,19402.201794211982,13402.052066699112,0
2008-07-08,20011.285217845463,8513.666397855477,0
2008-07-09,20365.8868388036,-3257.856244820463,0
2008-07-10,17930.515436552978,-10169.622732369497,0
2008-07-11,18479.832363623475,-15998.773241795656,0
2008-07-14,18497.70973533342,2798.621148623967,0
2008-07-15,19020.04963836009,3279.808184852048,0
2008-07-16,18304.75684169745,766.042325276665,0
2008-07-17,19234.31347452671,-8308.994771364858,0
2008-07-18,18820.024957522182,-2887.933442223669,0
2008-07-21,20504.441848449576,-4374.752786501054,0
2008-07-22,18361.559148360662,6901.653135478582,0
2008-07-23,20016.73993487965,11117.522643126204,0
2008-07-24,19473.22509158182,9875.618940202194,0
2008-07-25,19520.915827138146,-6802.403817155821,0
2008-07-28,19470.39130102176,5701.325868428416,0
2008-07-29,19096.473359353753,2396.940653478693,0
2008-07-30,18272.617709478505,1095.697006983968,0
2008-07-31,20670.70098877285,4995.835056446263,0
2008-08-01,18329.43889904305,5822.7728410999325,0
2008-08-04,17349.11646459699,8834.272220883664,0
2008-08-05,20049.35563866911,-840.7484060908755,0
2008-08-08,21009.67988719831,21473.78002626597,1
2008-08-11,20182.94672616532,9128.409497987042,0
2008-08-12,20045.081410016974,11466.733133812042,0
2008-08-13,20252.32592754986,-3976.7730995031934,0
2008-08-26,20141.18482715575,21839.277275282097,1
2008-08-27,20049.69617149433,-4508.512128043467,0
2008-08-28,20999.345657747053,-9898.763519215883,0
2008-08-29,20700.985036637343,5274.5665171398405,0
2008-09-02,18912.74254213637,14477.525570710552,0
2008-09-03,19842.655294191693,4426.787217958928,0
2008-09-04,19477.256045685488,17409.013628068176,0
2008-09-05,20077.197899501556,-3963.547398094368,0
2008-09-08,20092.04405052398,-20045.9356532015,0
2008-09-09,18463.7046178983,37551.86676697621,1
2008-09-10,19220.103227228938,12241.511479487825,0
2008-09-11,20630.43557225301,3574.1461359275063,0
2008-09-12,18799.799769882356,-24549.45091089557,0
2008-09-15,20982.79411464025,13635.733721838473,0
2008-09-16,19824.42005329153,4240.502636485358,0
2008-09-17,18395.10437273063,-36028.133743891805,0
2008-09-18,19256.60088618103,2780.3853232583333,0
2008-09-19,19605.79027501248,-37920.90807063224,0
2008-09-22,20607.801527093834,-21779.95593869157,0
2008-09-23,18105.409890346116,8286.336706096481,0
2008-09-24,19376.48476612077,11900.895096765264,0
2008-09-25,18365.18675928175,-5904.548271070531,0
2008-09-26,19763.333969944615,2297.3151701179586,0
2008-09-29,19046.46163040381,14060.68518815441,0
2008-09-30,18951.499456808066,9108.503405742042,0
2008-10-01,19071.658055085994,1752.1428836713822,0
2008-10-02,19975.291334471545,31917.42811170976,1
2008-10-03,20882.51889194738,1804.471274085306,0
2008-10-06,18681.074298422667,11238.335958469528,0
2008-10-07,18328.531747756664,-14200.814112771292,0
2008-10-08,18267.194928269862,-50744.92809300834,0
2008-10-09,18597.985934718083,23789.72476372135,1
2008-10-10,18200.6008576531,36527.00099963302,1
2008-10-13,19306.57328336434,-4956.442400550179,0
2008-10-14,19820.414864247945,4564.583955673235,0
2008-10-15,18575.467391452523,13494.095495258978,0
2008-10-16,20833.647306992076,15895.664087617006,0
2008-10-17,20711.148325169626,10649.123075803316,0
2008-10-20,21088.06922572475,-3219.397761781249,0
2008-10-21,19603.725917724634,31799.37384188148,1
2008-10-22,19672.928281770375,36280.39124866703,1
2008-10-23,19305.763754475323,2718.2995051387124,0
2008-10-24,19496.552524140574,-4971.103812372303,0
2008-10-27,19344.461955914496,6188.687685610659,0
2008-10-28,21077.445212952378,-31866.11984901796,0
2008-10-29,18566.98577553491,-6797.677401562441,0
2008-10-30,18522.44316779732,1405.6378463689416,0
2008-10-31,18831.636078397805,10085.459313847346,0
2008-11-03,18498.020209850347,7974.936623281428,0
2008-11-04,19450.634951951324,-24762.13888023124,0
2008-11-05,18950.959001855972,25882.12642650639,1
2008-11-06,18201.22938413048,13806.895741112849,0
2008-11-07,18430.87130210783,-9416.902565447492,0
2008-11-10,18970.014234549813,-3689.4454268711233,0
2008-11-11,18863.27816114726,15068.316823549463,0
2008-11-12,18728.926905660705,18686.033714020785,0
2008-11-13,20847.17532384875,-26623.85403146053,0
2008-11-14,20703.380228316295,9765.967256465014,0
2008-11-17,19436.297266266087,5168.214552978544,0
2008-11-18,19104.668128074034,9499.200557892853,0
2008-11-19,20717.278302208124,17068.64788005515,0
2008-11-20,18713.895183922654,16769.213484878524,0
2008-11-21,18728.92269708521,-36650.05987999242,0
2008-11-24,19429.392370095076,-29479.270628386235,0
2008-11-25,20327.491712521678,11867.334525814636,0
2008-11-26,20335.947901137362,8024.835211856235,0
2008-11-28,21029.750243376428,6354.952660758323,0
2008-12-01,21055.866763860813,51961.95995214784,1
2008-12-02,19275.02781547125,-11151.647764283734,0
2008-12-03,20743.879295571784,583.3727864326834,0
2008-12-04,20152.633205513805,14494.623552187586,0
2008-12-05,20946.98672310613,-5873.2966716391065,0
2008-12-08,20322.292907709485,-67992.32392345589,0
2008-12-09,20701.988355427227,50889.521396446056,1
2008-12-10,21582.039071133633,-19653.309825902004,0
2008-12-11,22885.033115396924,-2619.79036036214,0
2008-12-12,21848.532147861424,-369.4746320251561,0
2008-12-15,20890.96247250883,-7223.4832928010655,0
2008-12-16,23340.908415823815,-16185.177625580907,0
2008-12-17,21599.36352622402,4935.484180323743,0
2008-12-18,21458.252127032963,24070.42871153536,1
2008-12-19,22821.617526475304,11781.69507646757,0
2008-12-22,22518.595969778748,-3204.619864346936,0
2008-12-23,22396.680134362698,5123.652359134356,0
2008-12-24,21088.268533721257,-7498.038368971511,0
2008-12-26,19916.625129304546,-9038.707013329087,0
2008-12-29,20215.34016105,-741.678537777168,0
2008-12-30,21151.473405734207,-3289.239058751152,0
2008-12-31,20404.28769504609,-12083.861292059157,0
2009-01-02,21465.954777514224,-20040.50412510497,0
2009-01-05,20987.95274126685,12396.539379808451,0
2009-01-06,22348.81130745528,-3888.1051234166216,0
2009-01-07,20427.03540915406,17971.215131168436,0
2009-01-08,21004.08002808507,-7391.691941494153,0
2009-01-09,20598.55747422957,7358.185447830472,0
2009-01-12,39858.300672227524,26678.978918767087,0
2009-01-13,37372.696120074215,4211.400818654192,0
2009-01-14,38402.375488760095,14813.68988783754,0
2009-01-15,37874.5054795765,-747.9762661602374,0
