,VaR_MC_COPULA
2019-11-13,15808.325470766076
2019-11-14,17183.626900526866
2019-11-15,18250.368149571477
2019-11-18,18864.47019688941
2019-11-19,18405.049334688247
2019-11-20,16826.25803677836
2019-11-21,18022.07186620788
2019-11-22,18135.742422766412
2019-11-25,20539.648020500303
2019-11-26,22086.397478396957
2019-11-27,22373.50294292318
2019-11-29,20114.974750444973
2019-12-02,18469.795600474576
2019-12-03,17568.530219041346
2019-12-04,18631.47675384957
2019-12-05,18728.117474234423
2019-12-06,23453.7475298235
2019-12-09,21484.035352924442
2019-12-10,22302.53217182527
2019-12-11,25408.00939034861
2019-12-12,25711.749408866024
2019-12-13,19329.11824368301
2019-12-16,18452.906785676532
2019-12-17,16888.65940659433
2019-12-18,17454.691420762665
2019-12-19,18567.547410672443
2019-12-20,18611.43577586599
2019-12-23,19822.14569296407
2019-12-24,19363.625698594074
2019-12-26,20744.86083784743
2019-12-27,21144.96612117906
2019-12-30,18280.361419086537
2019-12-31,18819.73908288779
2020-01-02,22421.303876939674
2020-01-03,20317.296109288887
2020-01-06,19951.205599394387
2020-01-07,20893.710535401446
2020-01-08,20909.35298906789
2020-01-09,22977.841185069687
2020-01-10,23207.007466535964
2020-01-13,26357.80093606516
2020-01-14,23963.144392806847
2020-01-15,27055.079444397474
2020-01-16,30107.303502755483
2020-01-17,30728.52926200606
2020-01-21,30705.659722593668
2020-01-22,29847.080721692226
2020-01-23,29803.319259548174
2020-01-24,30216.492515197733
2020-01-27,24964.439461742775
2020-01-28,30469.546561794614
2020-01-29,18021.343825923283
2020-01-30,19101.99837009324
2020-01-31,16674.976943029484
2020-02-03,16128.640559405681
2020-02-04,17215.82038903541
2020-02-05,18933.20671922905
2020-02-06,20362.371206014042
2020-02-07,19385.341896055186
2020-02-10,19734.66506302865
2020-02-11,21770.12436403979
2020-02-12,23539.038328805313
2020-02-13,22111.521267927077
2020-02-14,24618.61053777649
2020-02-18,22101.478567068803
2020-02-19,22863.6470993929
2020-02-20,24513.747751239905
2020-02-21,20203.2902525024
2020-02-24,16136.866920520395
2020-02-25,15833.403752843224
2020-02-26,17580.447241954185
2020-02-27,18420.087689785254
2020-02-28,15951.74953328925
2020-03-02,16151.582844962937
2020-03-03,16249.410719511867
2020-03-04,17215.114693388627
2020-03-05,17239.516780523438
