,VaR_MC_GARCH_COPULA
2012-08-30,17746.852092661175
2012-08-31,18477.262226966788
2012-09-04,17713.37220655402
2012-09-05,13370.606368965668
2012-09-06,14256.01657529097
2012-09-07,17608.32999886247
2012-09-10,17013.085401620923
2012-09-11,16630.619944122984
2012-09-12,16410.57610549729
2012-09-13,18209.96333092365
2012-09-14,19670.606519262696
2012-09-17,20656.489946008445
2012-09-18,19767.2133015616
2012-09-19,20191.152814616475
2012-09-20,19358.549271359607
2012-09-21,18323.46724851638
2012-09-24,18359.034557751762
2012-09-25,17901.156096198327
2012-09-26,17603.71578273716
2012-09-27,18954.282323328123
2012-09-28,19380.456166471125
2012-10-01,18606.048666534403
2012-10-02,18552.443362841037
2012-10-03,18443.575432397232
2012-10-04,18880.420469063352
2012-10-05,19987.982223258776
2012-10-08,19304.694586915277
2012-10-09,18857.802014445453
2012-10-10,18315.826940923766
2012-10-11,18945.337183845313
2012-10-12,18303.01871103782
2012-10-15,19021.176228417844
2012-10-16,18793.498542242884
2012-10-17,15781.877305138647
2012-10-18,17230.511395695343
2012-10-19,15794.87130874263
2012-10-22,17564.511852555865
2012-10-23,16882.583693375218
2012-10-24,16482.13725377417
2012-10-25,16924.133822867396
2012-10-26,17146.81104221804
2012-10-31,17251.183149729095
2012-11-01,16865.55696874063
2012-11-02,16389.95539699542
2012-11-05,16513.285503045747
2012-11-06,16046.773431264704
2012-11-07,16485.81374285826
2012-11-08,17040.03004260719
2012-11-09,16734.181282458445
2012-11-12,16181.196898737617
2012-11-13,15397.461343313096
2012-11-14,15274.916944051845
2012-11-15,15151.359655462305
2012-11-16,14495.474537397518
2012-11-19,14404.166482891114
2012-11-20,14615.845885669854
2012-11-21,14279.915677645891
2012-11-23,14469.096034228261
2012-11-26,14612.368521483491
2012-11-27,13497.742913199783
2012-11-28,13898.228800029598
2012-11-29,13055.54379010143
2012-11-30,13363.900384464838
2012-12-03,16346.127815751699
2012-12-04,15651.689476984702
2012-12-05,15507.628218972159
2012-12-06,15318.778647677578
2012-12-07,15468.512439913133
2012-12-10,14714.093567783264
2012-12-11,14671.985789314693
2012-12-12,15209.596250532564
2012-12-13,14965.783467748639
2012-12-14,14549.653888412951
2012-12-17,15294.156938510552
2012-12-18,17495.41091755135
2012-12-19,17078.35800920532
2012-12-20,16820.518493046817
2012-12-21,16159.63506660444
2012-12-24,15437.68466866219
2012-12-26,14947.1604096822
2012-12-27,15098.649771628297
2012-12-28,13670.82290048468
2012-12-31,14814.093944685177
2013-01-02,16908.306717517968
2013-01-03,20228.56003154914
2013-01-04,20164.550908905025
2013-01-07,19419.437373735724
2013-01-08,19025.29817242829
2013-01-09,20063.60953455819
2013-01-10,20167.061474312508
2013-01-11,20219.21523351362
2013-01-14,19088.585710827378
2013-01-15,18976.535230816942
2013-01-16,12693.546518705642
2013-01-17,12863.672326858554
