,snapshot_date,current_portfolio_value,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,quantile_method,historical_window_mean_loss,historical_window_vol_loss,avg_vol_ratio,realised_loss,realised_pnl,exception
2021-07-02,2021-07-01,2582724.237660513,40630.28446974419,50987.921942760426,5,empirical_order_statistic,-1306.3266130225109,14076.457525923628,0.7726743629546787,-15552.148404486012,15552.148404486012,0
2021-07-06,2021-07-02,2598276.386064999,44703.92071854323,55825.584873936044,5,empirical_order_statistic,-1436.675700198411,15168.54155433859,0.772333295282245,3231.3413157598116,-3231.3413157598116,0
2021-07-07,2021-07-06,2595045.044749239,43187.91746335151,54530.8440501947,5,empirical_order_statistic,-1318.630594563378,14875.213853499876,0.7766322466150983,-5547.615479291417,5547.615479291417,0
2021-07-08,2021-07-07,2600592.6602285304,46469.0512289051,57491.6505004785,5,empirical_order_statistic,-1377.6276074560246,15480.721369060875,0.7781277189227732,17130.03666842589,-17130.03666842589,0
2021-07-09,2021-07-08,2583462.6235601045,41340.59896545764,52828.600022106155,5,empirical_order_statistic,-1028.9409921643687,14591.634241244315,0.7819551024442823,-26412.29252196662,26412.29252196662,0
2021-07-12,2021-07-09,2609874.916082071,51438.143980178516,62042.48324880898,5,empirical_order_statistic,-1507.6810126705943,16517.997177202484,0.7976731262225708,-7047.228982519824,7047.228982519824,0
2021-07-13,2021-07-12,2616922.145064591,54248.56427286565,63970.41107931333,5,empirical_order_statistic,-1497.2250210443744,16656.08209436159,0.7821162025204639,3544.4724689046852,-3544.4724689046852,0
2021-07-14,2021-07-13,2613377.6725956863,54339.88068527635,64002.82623516433,5,empirical_order_statistic,-1432.3813210580256,16660.14571704996,0.7832192779640975,-6689.385436015669,6689.385436015669,0
2021-07-15,2021-07-14,2620067.058031702,57595.25534554571,66801.12062846962,5,empirical_order_statistic,-1477.4779951398307,16921.88501022262,0.7923723696186505,9408.186563390307,-9408.186563390307,0
2021-07-16,2021-07-15,2610658.8714683116,28731.983887196984,34307.487463340534,5,empirical_order_statistic,-6817.237542539693,9802.691127224401,0.7921170249532844,9022.403446062934,-9022.403446062934,0
2021-07-19,2021-07-16,2601636.4680222487,30257.450376723893,37035.7962009429,5,empirical_order_statistic,-801.4708063014708,9551.934759596284,0.792920618468092,15411.473341949284,-15411.473341949284,0
2021-07-20,2021-07-19,2586224.9946802994,28475.720200986136,35250.08244189294,5,empirical_order_statistic,-524.1160677434634,8782.210964575155,0.8204270011915611,-11130.02072438132,11130.02072438132,0
2021-07-21,2021-07-20,2597355.0154046807,31593.809862402268,37649.92395380549,5,empirical_order_statistic,-779.8240485788816,9696.101991670126,0.8249467553057112,-6318.709739080165,6318.709739080165,0
2021-07-22,2021-07-21,2603673.725143761,34796.128868033644,40244.651210272685,5,empirical_order_statistic,-959.2002940989603,10488.907682870415,0.8325068251721159,-1427.3987484565005,1427.3987484565005,0
2021-07-23,2021-07-22,2605101.1238922174,35650.26862642681,40928.824006395975,5,empirical_order_statistic,-987.7752160608247,10712.59874731391,0.828575759937637,-11808.563876230735,11808.563876230735,0
2021-07-26,2021-07-23,2616909.687768448,39876.944774352945,44467.50881745554,5,empirical_order_statistic,-1195.876965787746,11837.767388825163,0.8312978945837631,-377.7455570390448,377.7455570390448,0
2021-07-27,2021-07-26,2617287.433325487,40327.36084697163,45037.10180507125,5,empirical_order_statistic,-1237.3978499976397,11955.081043319246,0.8279709909434291,3865.8368743946776,-3865.8368743946776,0
2021-07-28,2021-07-27,2613421.5964510925,38058.58881384181,43056.49370724727,5,empirical_order_statistic,-1037.8767876447262,11273.301493954968,0.8321366059611478,-2495.229515282437,2495.229515282437,0
2021-07-29,2021-07-28,2615916.825966375,38590.72626824491,43294.300204599,5,empirical_order_statistic,-1121.7678558901744,11389.56028472104,0.8244761643146008,-13933.214994240552,13933.214994240552,0
2021-07-30,2021-07-29,2629850.0409606155,40549.216989219654,45076.108068485,5,empirical_order_statistic,-1282.8742142643184,11937.938467563923,0.8257538296565313,14882.28301304439,-14882.28301304439,0
2021-08-02,2021-07-30,2614967.757947571,38997.7103089313,43730.86411992563,5,empirical_order_statistic,-1094.3656056818506,11513.867483597813,0.8291348941149757,5021.295055144932,-5021.295055144932,0
2021-08-03,2021-08-02,2609946.462892426,37513.91570244543,42194.82898519896,5,empirical_order_statistic,-916.7977598796198,11035.285007187898,0.8273375851421182,-7201.001200122759,7201.001200122759,0
2021-08-04,2021-08-03,2617147.464092549,39536.485869789496,45278.257136697226,5,empirical_order_statistic,-1108.680742388295,12035.660078589566,0.8221912943194253,8253.052124228328,-8253.052124228328,0
2021-08-05,2021-08-04,2608894.4119683206,39405.64967854228,43720.60704979589,5,empirical_order_statistic,-980.0895280180415,11552.624457867389,0.8060040798658954,-6019.766431639902,6019.766431639902,0
2021-08-06,2021-08-05,2614914.1783999605,39692.670445354655,46123.94346347265,5,empirical_order_statistic,-1152.2003176386413,12320.003444825608,0.8062798984650713,14415.439853281714,-14415.439853281714,0
2021-08-09,2021-08-06,2600498.738546679,40933.15203739051,46051.937699650414,5,empirical_order_statistic,-1039.8457172380454,12150.387826861575,0.80072489705213,15927.603033471387,-15927.603033471387,0
2021-08-10,2021-08-09,2584571.1355132074,41275.5182294189,45640.05581853585,5,empirical_order_statistic,-952.1683984076698,11929.034026860936,0.7999040341268624,-3393.5149533664808,3393.5149533664808,0
2021-08-11,2021-08-10,2587964.650466574,40894.53133095708,45335.61497798013,5,empirical_order_statistic,-877.7474782019341,11795.09845629444,0.786224629516425,-12439.810913938098,12439.810913938098,0
2021-08-12,2021-08-11,2600404.461380512,41731.42924471153,47089.68010637416,5,empirical_order_statistic,-984.4891532763485,12309.69371696099,0.7820886293757883,-5016.598761634901,5016.598761634901,0
2021-08-13,2021-08-12,2605421.060142147,41758.575633730274,48255.64028164884,5,empirical_order_statistic,-1054.4231446571816,12633.937200306862,0.7797356350260537,-9327.851905921474,9327.851905921474,0
2021-08-16,2021-08-13,2614748.9120480684,43317.01399207488,50084.6425488526,5,empirical_order_statistic,-1146.5354677522098,13088.268111752848,0.7821373258427733,-7367.604034600779,7367.604034600779,0
2021-08-17,2021-08-16,2622116.516082669,43425.7209038334,50543.21268595476,5,empirical_order_statistic,-1110.9737905471911,13146.172746427525,0.7800686185546306,13009.88338264171,-13009.88338264171,0
2021-08-18,2021-08-17,2609106.6327000274,43470.97836587997,48354.17660396975,5,empirical_order_statistic,-810.7252422115514,12579.388039812036,0.7815624075612235,15937.413198916707,-15937.413198916707,0
2021-08-19,2021-08-18,2593169.2195011107,38863.92829699814,44189.02243378861,5,empirical_order_statistic,-114.34185556469858,11313.459283379183,0.7912546611592054,3402.551852494478,-3402.551852494478,0
2021-08-20,2021-08-19,2589766.6676486162,40230.96246983623,45038.109937338995,5,empirical_order_statistic,-60.12111556488276,11581.840798200059,0.7866227577633377,-11223.646280342713,11223.646280342713,0
2021-08-23,2021-08-20,2600990.313928959,43459.73013524525,50026.6775938428,5,empirical_order_statistic,-780.3515664748112,13214.371107269139,0.7904484057548681,-24339.56656260602,24339.56656260602,0
2021-08-24,2021-08-23,2625329.880491565,44400.40987582086,56082.757656991016,5,empirical_order_statistic,-1309.0514142769193,14776.59024515214,0.7930425773739893,-6040.7022440745495,6040.7022440745495,0
2021-08-25,2021-08-24,2631370.5827356395,47254.84641836304,58556.73959209844,5,empirical_order_statistic,-1373.7650428944519,15141.849720364557,0.797442851583526,-2751.5268260957673,2751.5268260957673,0
2021-08-26,2021-08-25,2634122.1095617353,50826.6000492461,61428.47519571567,5,empirical_order_statistic,-1441.0504333705026,15443.698615910416,0.7995626869631646,11817.966694846284,-11817.966694846284,0
2021-08-27,2021-08-26,2622304.142866889,16200.260655921418,23145.06884235842,5,empirical_order_statistic,-16533.301782302384,9468.914220098288,0.8030405709508387,-30878.10322359344,30878.10322359344,0
2021-08-30,2021-08-27,2653182.2460904825,31309.055392615963,37941.559539178576,5,empirical_order_statistic,-820.8365657031061,9639.404265595527,0.8049922157588637,-417.7155700479634,417.7155700479634,0
2021-08-31,2021-08-30,2653599.9616605304,31628.545915058814,38193.67435896173,5,empirical_order_statistic,-850.6570889006657,9780.295851510937,0.7932201387309851,313.20919955614954,-313.20919955614954,0
2021-09-01,2021-08-31,2653286.7524609743,31193.70721634617,37871.95624720808,5,empirical_order_statistic,-828.45523369982,9681.0146891654,0.7924904410582868,-767.8257602481171,767.8257602481171,0
2021-09-02,2021-09-01,2654054.5782212224,31466.4094846854,38112.418505024536,5,empirical_order_statistic,-839.9741718378393,9762.90551425325,0.7904156084880518,-1122.702849382069,1122.702849382069,0
2021-09-03,2021-09-02,2655177.2810706045,32485.68775595026,38847.256946027745,5,empirical_order_statistic,-855.088998874912,9944.503557046579,0.7899665412741799,-11071.900970781222,11071.900970781222,0
2021-09-07,2021-09-03,2666249.1820413857,32431.21564365318,39253.757422651535,5,empirical_order_statistic,-846.4522568059024,10070.185237814674,0.789758259342397,14577.853483703919,-14577.853483703919,0
2021-09-08,2021-09-07,2651671.3285576818,31840.10311665479,38611.46559052337,5,empirical_order_statistic,-677.7947262853319,9812.701234019016,0.7997096310203236,6952.513158515561,-6952.513158515561,0
2021-09-09,2021-09-08,2644718.815399166,31650.252947029192,38404.775639759566,5,empirical_order_statistic,-644.453607917983,9766.639206979511,0.7960830415715007,5055.985972946975,-5055.985972946975,0
2021-09-10,2021-09-09,2639662.829426219,31894.23868997628,38127.05951978629,5,empirical_order_statistic,-531.8374393162653,9565.380401579881,0.7995977906694766,6290.439694127999,-6290.439694127999,0
2021-09-13,2021-09-10,2633372.389732091,30355.416871293448,36422.73585947799,5,empirical_order_statistic,-329.42064415688907,8972.39575340417,0.7923665757755716,101.92151080491021,-101.92151080491021,0
2021-09-14,2021-09-13,2633270.4682212863,28400.31932128826,34146.55879296232,5,empirical_order_statistic,-361.80071016990115,8596.371462851583,0.7617519894406372,4695.296857961919,-4695.296857961919,0
2021-09-15,2021-09-14,2628575.1713633244,27041.304313928355,33060.56046129288,5,empirical_order_statistic,-237.02768495937343,8207.368466525219,0.7444087381900836,-3359.932361407671,3359.932361407671,0
2021-09-16,2021-09-15,2631935.103724732,28277.990541591775,33738.39377422249,5,empirical_order_statistic,-300.2933000122644,8491.657899108946,0.7331475984733542,18015.142676353455,-18015.142676353455,0
2021-09-17,2021-09-16,2613919.9610483786,28324.538076274563,34275.26495546456,5,empirical_order_statistic,-209.55938503594788,8632.050282219581,0.7418485507370685,8718.408384103328,-8718.408384103328,0
2021-09-20,2021-09-17,2605201.5526642753,27936.94009031169,33433.389553290326,5,empirical_order_statistic,-24.717535648236982,8208.526218758721,0.7494652361236085,8108.528482854366,-8108.528482854366,0
2021-09-21,2021-09-20,2597093.024181421,27728.619624633342,32922.56065343255,5,empirical_order_statistic,205.98158898008708,7835.63224804429,0.7711472947023176,-3106.13251844747,3106.13251844747,0
2021-09-22,2021-09-21,2600199.1566998684,28264.07010035962,32981.31879232395,5,empirical_order_statistic,152.63039838726166,7833.192900312016,0.7702149162943082,1059.47249898687,-1059.47249898687,0
2021-09-23,2021-09-22,2599139.6842008815,28708.13729051035,33558.37834276622,5,empirical_order_statistic,-11.470451615158469,8159.696641412888,0.7748258658648933,-1891.5385105456226,1891.5385105456226,0
2021-09-24,2021-09-23,2601031.222711427,29104.666527332738,34840.89041083213,5,empirical_order_statistic,-210.95100690966845,8897.300271257365,0.7982758788214633,-3957.178004703019,3957.178004703019,0
2021-09-27,2021-09-24,2604988.40071613,29097.746004003566,34904.02300351644,5,empirical_order_statistic,-261.2358207327845,9015.611478251785,0.8034921743297256,1798.669114364311,-1798.669114364311,0
2021-09-28,2021-09-27,2603189.731601766,29046.426590131596,34530.17912264075,5,empirical_order_statistic,-114.75750382419582,8770.171435761098,0.802658049024252,17369.603689146694,-17369.603689146694,0
2021-09-29,2021-09-28,2585820.127912619,28457.39328604564,32904.94522348782,5,empirical_order_statistic,184.8014824590292,7941.057996443356,0.8199396355379133,2720.0033718035556,-2720.0033718035556,0
2021-09-30,2021-09-29,2583100.1245408156,28541.82116693724,32669.549623424933,5,empirical_order_statistic,211.91335664578153,7906.573120374097,0.8116227255119348,-1144.2949028620496,1144.2949028620496,0
2021-10-01,2021-09-30,2584244.4194436776,29316.82157625258,32976.975341131445,5,empirical_order_statistic,42.60358086769935,7827.449079707409,0.8229856148078407,-4023.476028724108,4023.476028724108,0
2021-10-04,2021-10-01,2588267.8954724018,29581.925753629766,33680.20342627065,5,empirical_order_statistic,81.37769577187485,8130.161350096759,0.8232775840939611,2404.966681441292,-2404.966681441292,0
2021-10-05,2021-10-04,2585862.9287909605,29056.93981762277,32723.04981804127,5,empirical_order_statistic,-54.10101651078183,7776.276894883649,0.8126405244135682,-3703.083767488133,3703.083767488133,0
2021-10-06,2021-10-05,2589566.0125584486,29148.232904380187,32978.82931594364,5,empirical_order_statistic,2.451165387772024,7901.735484032674,0.8181384408124682,-1822.2566475663334,1822.2566475663334,0
2021-10-07,2021-10-06,2591388.269206015,29178.544324785937,32955.6268733507,5,empirical_order_statistic,33.307951781554145,7890.215542992994,0.8164671795099819,-880.472808000166,880.472808000166,0
2021-10-08,2021-10-07,2592268.742014015,28763.662471258547,32592.4099096057,5,empirical_order_statistic,118.46158395687677,7856.791044974209,0.8102023941619164,-502.7718655206263,502.7718655206263,0
2021-10-11,2021-10-08,2592771.5138795357,13644.453556733672,19956.656510282868,5,empirical_order_statistic,-23128.125183642922,10329.292458043048,0.8021764732600172,-13183.247582305688,13183.247582305688,0
2021-10-12,2021-10-11,2605954.7614618414,32001.606344237458,38745.53798190122,5,empirical_order_statistic,-825.3057508496894,10056.436367206554,0.800888041315304,477.1172148701735,-477.1172148701735,0
2021-10-13,2021-10-12,2605477.6442469712,30554.42169978516,37476.53944916064,5,empirical_order_statistic,-721.9378781630415,9758.486366697663,0.77122344345968,-12324.154965990689,12324.154965990689,0
2021-10-14,2021-10-13,2617801.799212962,31968.228259383235,38908.07445323486,5,empirical_order_statistic,-806.442117022451,10179.276086932603,0.7720370687347589,-18206.08136283327,18206.08136283327,0
2021-10-15,2021-10-14,2636007.880575795,38598.8307136246,44570.26406960729,5,empirical_order_statistic,-1189.8059579825076,11980.017133765768,0.7755805273067993,-1301.4536197986454,1301.4536197986454,0
2021-10-18,2021-10-15,2637309.334195594,42181.61232641293,47748.110804018754,5,empirical_order_statistic,-1357.0821191427167,12961.640876832125,0.7852371802338777,-1532.6031203423627,1532.6031203423627,0
2021-10-19,2021-10-18,2638841.937315936,42141.66779255029,48380.27535615219,5,empirical_order_statistic,-1366.637426181348,13146.74837236631,0.7832969838524227,-18038.413054797333,18038.413054797333,0
2021-10-20,2021-10-19,2656880.3503707335,42776.80006951187,51869.407238194995,5,empirical_order_statistic,-1552.1798063739277,14249.648945805891,0.78866395657241,-12957.951120820828,12957.951120820828,0
2021-10-21,2021-10-20,2669838.3014915544,43442.66272033006,53843.162690465804,5,empirical_order_statistic,-1624.2819372571473,14835.915937415517,0.7823265122249078,-4963.146607810166,4963.146607810166,0
2021-10-22,2021-10-21,2674801.4480993645,43483.528304548934,55353.85451807706,5,empirical_order_statistic,-1688.4001871392056,15321.180616242646,0.7829677498051834,-1677.010644927621,1677.010644927621,0
2021-10-25,2021-10-22,2676478.458744292,43401.39730997756,54868.85181271508,5,empirical_order_statistic,-1658.774004041818,15169.470295131705,0.7825088011906255,-13556.269717572257,13556.269717572257,0
2021-10-26,2021-10-25,2690034.7284618644,44751.76947438996,57395.54036555598,5,empirical_order_statistic,-1739.186158685333,15847.233828951636,0.7778545673868136,4860.92721073376,-4860.92721073376,0
2021-10-27,2021-10-26,2685173.8012511306,44739.72847107239,57369.47119872468,5,empirical_order_statistic,-1688.7798047719264,15813.960867949216,0.7740434206985976,11906.835091873538,-11906.835091873538,0
2021-10-28,2021-10-27,2673266.966159257,44292.496761708055,55530.95233529713,5,empirical_order_statistic,-1522.6075139641734,15247.300153787295,0.7858391779686672,-18513.264390909113,18513.264390909113,0
2021-10-29,2021-10-28,2691780.230550166,47767.1634005839,60311.45917407759,5,empirical_order_statistic,-1686.1463301526187,16479.26635772714,0.7880084605228966,3424.781693010591,-3424.781693010591,0
