forecast_date,exposure_date,portfolio_value_linear,mu_deltaV,sigma_deltaV,VaR_DN_full,VaR_DN_nodrift
2011-10-05,2011-10-04,1656085.0501294257,738.281742816888,9589.592424385195,21570.446206569763,22308.72794938665
2011-10-06,2011-10-05,1670438.5348788477,760.3350902121803,9714.689431095752,21839.412014784448,22599.74710499663
2011-10-07,2011-10-06,1677371.5312662695,769.9582330621615,9780.120279161827,21982.003786229667,22751.96201929183
2011-10-10,2011-10-07,1669321.5267303293,738.4823325616567,9718.798169552985,21870.823127409945,22609.3054599716
2011-10-11,2011-10-10,1692216.9742001921,771.8274491837706,9976.003791345829,22435.827762236968,23207.655211420737
2011-10-12,2011-10-11,1693423.0207634675,766.3656290802214,9930.478998429517,22335.383077123504,23101.748706203725
2011-10-13,2011-10-12,1700124.8876622939,762.5687733187235,9989.051642012253,22475.440277760652,23238.009051079374
2011-10-14,2011-10-13,1699634.4727743943,787.4713684587664,9922.831796069862,22296.487284793217,23083.958653251982
2011-10-17,2011-10-14,1706315.528838451,778.8213869455647,9974.863064197065,22426.180096297783,23205.001483243348
2011-10-18,2011-10-17,1702922.8527020982,727.2783881650112,9891.782238909957,22284.448193798115,23011.726581963125
2011-10-19,2011-10-18,1701250.9733826402,719.9827587820066,9860.933721894964,22219.97944120598,22939.962199987986
2011-10-20,2011-10-19,1689274.263514897,684.2449537363112,9768.553984162934,22040.809839774316,22725.054793510626
2011-10-21,2011-10-20,1680305.9129258823,666.3354807187227,9674.587878435683,21840.121462501414,22506.45694322014
2011-10-24,2011-10-21,1693252.7623432346,694.6998270159924,9793.70425159906,22088.86323767622,22783.563064692215
2011-10-25,2011-10-24,1704926.063280353,696.1215453377165,9877.707786253299,22282.862963609306,22978.984508947022
2011-10-26,2011-10-25,1725837.5279190782,741.6042485529669,10138.014348002036,22842.94387691711,23584.548125470075
2011-10-27,2011-10-26,1733937.9320555222,727.6288481630369,10210.95969827728,23026.61553784102,23754.244386004055
2011-10-28,2011-10-27,1748486.5812394898,771.9498283032439,10361.952448232914,23333.55622055568,24105.506048858926
2011-10-31,2011-10-28,1757184.481720378,816.1675760733648,10367.457075844435,23302.14415152701,24118.311727600372
2011-11-01,2011-10-31,1743957.7676826231,767.7400919191546,10248.187523981233,23073.109167266455,23840.84925918561
2011-11-02,2011-11-01,1735171.5268492028,722.4268032055121,10208.30896153197,23025.65104700645,23748.07785021196
2011-11-03,2011-11-02,1742324.0933002268,722.4884906110485,10290.465631010176,23216.714352979812,23939.20284359086
2011-11-04,2011-11-03,1758740.795580742,779.747538239041,10458.964169441095,23551.44152200958,24331.18906024862
2011-11-07,2011-11-04,1756998.2362810231,851.6710614681539,10259.488173944044,23015.467440733722,23867.138502201877
2011-11-08,2011-11-07,1777767.8711193423,918.9932313195782,10506.749420602719,23523.36094637939,24442.35417769897
2011-11-09,2011-11-08,1772182.381635847,943.3269854926407,10402.924174147985,23257.493550844596,24200.820536337236
2011-11-10,2011-11-09,1759641.5984986005,909.1010794997053,10319.701130730245,23098.11370671146,24007.214786211167
2011-11-11,2011-11-10,1749712.438932653,886.5761440040507,10277.482804752965,23022.424129324303,23909.000273328355
2011-11-14,2011-11-11,1768122.8083099227,963.9127678009157,10446.952285346413,23339.332471420814,24303.24523922173
2011-11-15,2011-11-14,1767977.349810056,940.9566881677711,10402.479568056817,23258.82953973449,24199.78622790226
2011-11-16,2011-11-15,1766201.6117070091,948.7534309458987,10404.563551999945,23255.880868571992,24204.63429951789
2011-11-17,2011-11-16,1752039.9354059624,891.8555580665044,10306.406744791593,23084.4318616796,23976.287419746106
2011-11-18,2011-11-17,1726322.895506035,890.1182780310354,10016.537704941029,22411.83291710845,23301.951195139485
2011-11-21,2011-11-18,1727384.6902807676,870.9423986397865,10030.588833243202,22463.696608953334,23334.63900759312
2011-11-22,2011-11-21,1705420.5939955777,843.3553960697581,9832.841497926918,22031.254518413087,22874.609914482844
2011-11-23,2011-11-22,1713139.1349832867,880.7651249260549,9916.918860692502,22189.437983681462,23070.20310860752
2011-11-24,2011-11-23,1707164.8929624967,856.8861396936196,9880.055900640402,22127.560900165845,22984.447039859464
2011-11-25,2011-11-24,1703635.1430232509,822.6306621359969,9857.34677098303,22108.987042223718,22931.617704359716
2011-11-28,2011-11-25,1693488.52532772,795.0955114613765,9794.18002620226,21989.57437046752,22784.669881928894
2011-11-29,2011-11-28,1715838.4282158248,853.0268319934191,10026.27298084737,22471.572001553985,23324.598833547403
2011-11-30,2011-11-29,1717099.0440777354,872.0061226504786,10033.572969122772,22469.575023101926,23341.581145752407
2011-12-01,2011-11-30,1741232.182651464,942.5449315818942,10285.240230892741,22984.501813554758,23927.046745136653
2011-12-02,2011-12-01,1741212.665467611,943.9327809911246,10264.312779038159,22934.42943101453,23878.362212005653
2011-12-05,2011-12-02,1744054.7863802828,948.5985255653372,10275.069725826232,22954.78808673192,23903.386612297258
2011-12-06,2011-12-05,1734087.3935964955,870.2111852036696,10115.580922292454,22662.14898805947,23532.36017326314
2011-12-07,2011-12-06,1736545.5695567192,877.0634009645122,10157.260971614327,22752.259066428483,23629.322467392994
2011-12-08,2011-12-07,1745607.5242303053,876.2754175122061,10217.40849994125,22892.971124532934,23769.24654204514
2011-12-09,2011-12-08,1725147.9418684535,832.2152304740873,10065.717485701529,22584.14524308338,23416.36047355747
