,pnl_linear,pnl_irs,pnl_straddle,pnl_total
2016-04-25,-1272.1858944392247,1983.8957933117053,571.8375224017791,1283.5474212742597
2016-04-26,1612.70894106835,2974.384084469304,-351.0110059971794,4236.082019540475
2016-04-27,3266.368145093125,-6942.954662274962,-396.7273686225212,-4073.3138858043585
2016-04-28,3928.5995984358246,-2978.4737891607656,1143.541300523765,2093.6671097988237
2016-04-29,3966.0785341540745,-993.2145893541601,447.64200177996827,3420.5059465798827
2016-05-02,2769.2196292058,4964.123173332773,-1523.016194139359,6210.326608399214
2016-05-03,73.16647558559993,-6951.137686245624,979.7738697201623,-5898.1973409398615
2016-05-04,-2929.37251161285,-1987.7953418795369,631.8454673174045,-4285.322386174982
2016-05-05,104.6257311375,-2983.158074244595,-335.20001044033165,-3213.732353547426
2016-05-06,687.5289058008998,2983.158074244595,-1506.106091853212,2164.5808881922826
2016-05-09,-4902.802770771,-1988.576631195363,-451.7639384914247,-7343.143340457787
2016-05-10,3727.02638763145,0.0,-1873.7638106143777,1853.262577017072
2016-05-11,80.07251259019976,-3979.49897354524,1080.4613104991176,-2818.9651504559224
2016-05-12,-1424.113002053425,1990.1405923228594,-494.09524708948993,71.93234317994461
2016-05-13,-1204.403321146725,-3981.0638571822637,1312.375051906301,-3873.0921264226877
2016-05-16,413.71413186394983,3981.0638571822637,-1880.4335890330321,2514.3444000131813
2016-05-17,-1843.2787545406932,994.7769381731487,1517.7953638705758,669.2935475030313
2016-05-18,-6326.04440946785,10929.656307551908,-179.11553196067587,4424.496366123382
2016-05-19,-3160.8480012547257,-1985.454234581106,534.0096270846857,-4612.292608751146
2016-05-20,1021.64351489105,0.0,-1983.0401556251616,-961.3966407341115
2016-05-23,-541.9174021367999,-993.0195545796596,165.53551896171825,-1369.4014377547412
2016-05-24,-1690.3168399523754,1985.8441318267578,-3029.478810492506,-2733.9515186181234
2016-05-25,-853.3760841148751,992.6296573340078,-1238.6861282510608,-1099.4325550319281
2016-05-26,461.57301451169997,-3971.6883785149257,-748.974656769235,-4259.090020772461
2016-05-27,-732.97303707155,1986.2341439338197,-782.5458674803656,470.715239381904
2016-05-31,1632.313877670525,-993.0195545796596,-487.65143995257176,151.64288313829366
2016-06-01,-109.84578856514993,993.0195545796596,-1040.9565764399815,-157.7828104254719
2016-06-02,2140.739406323075,-3973.24865684667,-688.7641004888962,-2521.2733510124917
2016-06-03,7576.177060022025,-9946.794211479544,-481.67499129851876,-2852.2921427560377
2016-06-06,5119.901073746625,1990.9232648594043,137.68196672006638,7248.506305326096
2016-06-07,827.976844797425,-995.36376950868,219.46960201859156,52.08267730733655
2016-06-08,4646.40779472775,-995.5594953507243,10.743098507703053,3661.591397884729
2016-06-09,2507.98354337165,-2987.8534185800527,128.35709005469198,-351.51278515371087
2016-06-10,-2521.27891105195,-3986.548225157807,1434.2178613354406,-5073.609274874316
2016-06-13,-1264.352226824575,-1994.4510112872813,3117.875641832171,-140.92759627968553
2016-06-14,837.7272169361,0.0,-715.0287065044836,122.69851043161646
2016-06-15,524.8535681864248,-1995.2362282209215,-612.0415502391552,-2082.4242102736516
2016-06-16,-524.8004798700748,-2994.3276387488004,-1104.0683889532943,-4623.196507572169
2016-06-17,1168.8897620317,4989.563866969722,-173.65458547007506,5984.799043531347
2016-06-20,1178.3112980403996,4984.65626013685,-1429.863062272517,4733.104495904732
2016-06-21,-5284.844577961426,3984.1963948882913,-359.42769815767406,-1660.0758812308086
2016-06-22,-1391.629964920475,-1991.7063991950708,1546.6416374220557,-1836.6947266934899
2016-06-23,2120.3006411512747,4977.797765434705,-2988.448024461519,4109.6503821244605
2016-06-24,6164.786104356374,-16944.507888234497,6738.013206584739,-4041.7085772933824
2016-06-27,-7462.422591098951,-10994.351038391731,1529.824083935992,-16926.94954555469
2016-06-28,1252.0638939887751,0.0,-6113.945537275584,-4861.881643286809
2016-06-29,5571.502922712325,4000.703036164574,-3863.595563982628,5708.610394894271
2016-06-30,6409.20486369065,-999.8801114623493,-1647.1600081186893,3762.1647441096115
2016-07-01,4495.255197576875,-3000.8229247022246,-884.9890559994265,609.4432168752237
2016-07-05,1954.2830661932248,-9013.125736254238,37.777648101979366,-7021.065021959034
2016-07-06,1177.9949915494,1002.2486762678891,-916.0985665594978,1264.145101257791
2016-07-07,-660.040800615825,2003.9043059817632,-619.8338611941665,724.0296441717717
2016-07-08,4926.6256415399,-3006.1529822496523,373.3422572582583,2293.8149165485065
2016-07-11,-3300.4107386829,6010.527701865678,477.15860756601813,3187.275570748796
2016-07-12,-3529.6024638659496,10001.759629963664,1831.3755975764288,8303.532763674144
2016-07-13,3009.003361410425,-4998.415841876325,-276.734420379567,-2266.1469008454674
2016-07-14,-864.8930630003752,4998.415841876325,1924.612370637538,6058.135149513489
2016-07-15,-2008.7056403436002,6989.517081565427,-437.83830976136073,4542.973131460467
2016-07-18,-196.03210146827504,-997.9127153844456,-298.06503354896563,-1492.0098504016862
2016-07-19,1172.5542683468252,-2994.9172474318475,-735.8795391427293,-2558.2425182277516
2016-07-20,-4396.655992279249,2994.9172474318475,-96.0610305736509,-1497.7997754210528
2016-07-21,3525.9366663459996,-1996.4149233643548,394.54639398712743,1924.0681369687723
2016-07-22,-651.1000023314499,0.0,-550.6443267603629,-1201.7443290918127
2016-07-25,-4047.3029646002997,998.3057297921914,294.09568915156115,-2754.901545656547
2016-07-26,1797.5700410258,-998.3057297921914,-63.14160542535774,736.1227058082509
2016-07-27,4721.5238000106,-4994.478724994726,-518.8131104250715,-791.7680354091972
2016-07-28,1639.4977077934748,0.0,-273.9321401946313,1365.5655675988435
2016-07-29,4174.064150436925,-5999.872313397005,-813.8768119795259,-2639.684974939606
2016-08-01,1268.2695806410497,5000.3861463243375,116.90856600387178,6385.564292969259
2016-08-02,-184.32662692982507,3996.7635915791034,112.49843989614305,3924.935404545421
2016-08-03,809.3414865340251,0.0,-580.4036750085118,228.93781152551333
2016-08-04,-219.91151371547514,-3996.7635915791034,-561.7169173252989,-4778.392022619877
2016-08-05,-4405.350390121175,7990.379815431748,-165.2464090687289,3419.783016241844
2016-08-08,-1515.6386556812251,0.0,-290.9808328994501,-1806.6194885806754
2016-08-09,1926.7815664170248,-3993.616223852645,-103.60984258963413,-2170.4445000252545
2016-08-10,1941.6718122048,-4996.446701738867,-408.7765039853224,-3463.5513935193894
2016-08-11,-198.5529516181498,6993.648002227157,171.97910544665262,6967.07415605566
2016-08-12,-915.5810618022251,-5993.9648920673935,-526.7291415942879,-7436.275095463907
2016-08-15,1471.167415967175,3996.7635915791034,352.24994625262696,5820.180953798905
2016-08-16,-105.32523133155009,1997.2013004882901,-905.0513365787936,986.8247325779464
2016-08-17,2976.8814610611753,-998.5023240674927,-275.25021810699,1703.1289188866926
2016-08-18,2698.1353311483,-2996.6871187491342,-179.2315060082359,-477.78329360907026
2016-08-19,-2315.491067216175,4993.495172608818,-719.8727102290832,1958.1313951635602
2016-08-22,-957.1625294402338,-2995.5070302804816,-160.41093551159236,-4113.080495232308
2016-08-23,907.9584906379014,0.0,100.4341722752713,1008.3926629131727
2016-08-24,-4572.57850913125,998.6989764207974,-1609.263008619962,-5183.142541330415
2016-08-25,-1612.642416661725,1996.8080538596842,-874.135524378346,-489.9698871803869
2016-08-26,-1198.66156919335,3991.2581371775304,-309.21069799299516,2483.3858699911852
2016-08-29,729.0318490405748,-4989.563866969722,-640.5738303060104,-4901.105848235157
2016-08-30,-3109.911903729761,0.0,-177.46426766314016,-3287.376171392901
2016-08-31,-2388.2638078563,998.3057297921914,-110.09841908520457,-1500.0564971493131
2016-09-01,1590.1732372071947,-998.3057297921914,-188.28908043784054,403.57842697716274
2016-09-02,3910.6393580764247,2994.3276387488004,-1341.3607813922397,5563.606215432986
2016-09-06,5914.136694055424,-4991.5289392370905,87.12849989427696,1009.7362547126108
2016-09-07,1495.5239534739283,-998.8956868750975,-314.2666266736569,182.3616399251739
2016-09-08,-3411.2030123700747,6988.14092131838,17.58504666318572,3594.522955611491
2016-09-09,-8223.376750811474,5982.176193151579,4043.1263485565123,1801.9257908966174
2016-09-12,2798.17187205615,996.3429763082386,-2796.5893742571666,997.9254741072218
2016-09-13,-6155.37020949025,4978.776683439457,2430.510910546616,1253.9173844958227
2016-09-14,770.5607989698001,-2986.6785437883373,-97.38959847845763,-2313.507343296995
2016-09-15,1580.7811272199003,995.755278928933,-2348.7339227571338,227.80248339169975
2016-09-16,-1347.9026911245496,-995.755278928933,-827.2831154805544,-3170.941085534037
2016-09-19,-1813.8175171165003,0.0,-235.1908770537534,-2049.0083941702537
2016-09-20,1130.838688162584,-995.9511202661379,-90.40652278568473,44.48104511076144
2016-09-21,6223.813210354875,-2989.0289867518295,-2496.4121320259665,738.3720915770791
2016-09-22,3776.711130693,-2990.79364029126,-885.0920075175566,-99.17451711581657
2016-09-23,-726.7295854410751,-997.3236287869804,-443.8645805655028,-2167.917794793558
2016-09-26,-865.8647298750253,-2993.148943605367,1162.484619103651,-2696.5290543767414
2016-09-27,377.735589351775,-2994.9172474318475,-1441.3452698293554,-4058.5269279094277
2016-09-28,-338.8154778630499,998.5023240674927,-694.4665008966524,-34.77965469220953
2016-09-29,-2292.62623328455,-998.5023240674927,464.3750718203421,-2826.753485531701
2016-09-30,279.6884998476749,3992.829962816293,-1000.8623423617564,3271.656120302212
2016-10-03,-1484.8229458694,2992.559857007902,-431.43899663522234,1076.2979145032796
2016-10-04,-11797.4669608986,5979.82262704309,-261.5850882665427,-6079.229422122054
2016-10-05,155.30056220949146,2987.265894545795,-1163.8477900118573,1978.7186667434294
2016-10-06,-2731.1710708185,2985.5043618315394,-819.4752104702161,-565.1419194571768
2016-10-07,-1754.9486483403002,-1990.1405923228594,-455.05437980123986,-4200.1436204644
2016-10-10,2690.832119682525,0.0,-180.82423812731463,2510.0078815552106
2016-10-11,-5774.238559884775,3979.49897354524,1680.1411052023525,-114.59848113718249
2016-10-12,-1051.460399058975,1988.576631195363,242.0078667209964,1179.1240988573843
2016-10-13,-828.84932537185,-3977.9350124177436,582.3565805645501,-4224.427757225043
2016-10-14,-1182.6739834334749,4971.930315741702,-833.8744825881008,2955.381849720126
2016-10-17,-1516.948911467775,-2982.571934519321,-6.433970158298052,-4505.954816145393
2016-10-18,4687.3034388065,-1989.3583812223806,-1419.151493786046,1278.7935637980731
2016-10-19,1327.649709941475,994.7769381731487,-1123.1489930754321,1199.2776550391916
2016-10-20,-1499.2302855690752,0.0,-782.9907907932068,-2282.221076362282
2016-10-21,-447.000660200525,-1989.7494291157782,-623.1624813930239,-3059.912570709327
2016-10-24,-933.3682820337749,2984.33087216501,-634.6474107016888,1416.3151794295463
2016-10-25,832.5723919296499,0.0,169.5126964269491,1002.085088356599
2016-10-26,-2177.172944746825,1988.576631195363,421.2066032160351,232.61028966457297
2016-10-27,-508.47697965605,5961.043998726207,705.3953674800368,6157.9623865501935
2016-10-28,213.23306946622498,992.8245772470982,509.5687505001081,1715.6263972134313
2016-10-31,2881.2899330659884,-1985.8441318267578,245.36648112464832,1140.812282363879
2016-11-01,-452.4512004223188,-993.2145893541601,1397.058630908134,-48.60715886834487
2016-11-02,2987.1695041489747,-1987.0145129128505,954.8788963966075,1955.0338876327319
2016-11-03,939.1365651098749,993.6048313195643,1823.138563930513,3755.8799603599523
2016-11-04,786.8343577641999,-2981.400173199101,-28.453486414164786,-2223.019301849066
2016-11-07,-159.27285326572525,3974.8098547923873,-5505.764193792828,-1690.2271922661662
2016-11-08,-1917.7986427800752,4964.123173332773,-838.5664787642781,2207.75805178842
2016-11-09,-2114.8122005518753,18819.313396823956,-3051.425562533069,13653.075633739012
2016-11-10,-6879.8647613459,7902.977144522971,-197.2527332285381,825.8596499485329
2016-11-11,-7393.2739918224,0.0,-913.1497813237957,-8306.423773146194
2016-11-14,-4870.271060448799,7890.608208367994,-406.1194439368023,2614.2177039823923
2016-11-15,2382.3155377844255,0.0,-144.194803342387,2238.1207344420386
2016-11-16,-1520.4550056772,-985.6505924535159,-819.1668972104083,-3325.2724953411243
2016-11-17,-1592.96493041485,6895.507092244225,440.22899632412305,5742.771158153498
2016-11-18,-5834.059211904,4919.586915946857,-1247.7752789252604,-2162.247574882404
2016-11-21,2111.0349390434503,-983.5327775475089,-496.1540185675517,631.3481429283897
2016-11-22,1924.216037844225,-1967.6423507813379,-125.51907511931404,-168.94538805642696
2016-11-23,-5887.521266918125,4917.664169486372,-172.50079279088482,-1142.3578902226375
2016-11-25,-307.536667022625,0.0,-28.639806969522397,-336.1764739921474
2016-11-28,3778.888970799675,-3933.74684269078,190.0607200730633,35.202848181958416
2016-11-29,-208.10538998815,-1968.0270127948315,-367.0789467623763,-2543.2113495453577
2016-11-30,-5020.451297196325,6884.730231728972,0.8217242076966613,1865.100658740344
2016-12-01,-3674.120402564475,7856.742970992047,279.764309498745,4462.3868779263175
2016-12-02,4257.5026006338,-4909.025744265491,-227.1242808088516,-878.6474244405424
2016-12-05,-1848.082831266175,-982.3804814923351,-1715.5740214406023,-4546.037334199113
2016-12-06,4746.7682782967,0.0,-266.8570062452318,4479.911272051469
2016-12-07,4116.254032724325,-4914.782162635107,2086.315105665989,1287.786975755207
2016-12-08,46.478612497025075,5897.162644127442,532.8383463081536,6476.479602932621
2016-12-09,-5704.8108256976,6871.294647213843,786.6852259343843,1953.169047450627
2016-12-12,-1036.3684709751997,1961.5030647580643,-112.03199559115973,813.1025981917048
2016-12-13,3195.03375379575,-980.6558306292209,1680.487721321299,3894.865644487828
2016-12-14,-8145.26364655705,5881.065891233862,-2344.9653759074354,-4609.163131230624
2016-12-15,-5841.016576052176,5874.187451595004,686.3659392835971,719.5368148264251
2016-12-16,-803.663774319525,0.0,-1016.0959027621957,-1819.7596770817208
2016-12-19,3691.166414078775,-5874.187451595004,292.3963314808873,-1890.624706035342
2016-12-20,-2473.10459103635,2937.952776316866,1037.812913371109,1502.6610986516253
2016-12-21,-518.0826424992,-1958.4441910192254,-1164.1751881619698,-3640.7020216803953
2016-12-22,-227.87833669772488,0.0,-744.0872665714728,-971.9656032691977
2016-12-23,1611.7380719545,0.0,331.9213278684643,1943.6593998229641
2016-12-27,1765.7078477809252,1958.4441910192254,789.9379452626985,4514.089984062849
2016-12-28,-343.0807041852253,-5877.625162101918,-2991.9362537762117,-9212.642120063356
2016-12-29,2887.9110198993,-1960.7376748195893,-283.1118531754022,644.0614919043084
2016-12-30,2049.3321223200996,-3923.771967706416,-1440.323238581673,-3314.7630839679896
2017-01-03,2144.931694723475,0.0,2480.1130784303423,4625.044773153817
2017-01-04,1689.58935298875,981.2302092773534,2223.5523798729773,4894.371942139081
2017-01-05,7200.981511576325,-8837.9731802694,-450.65258604444125,-2087.644254737517
2017-01-06,391.6588718159249,4911.902688550406,-342.5445086640764,4961.017051702254
2017-01-09,420.888083759675,-3929.1383334784914,-192.12283507772554,-3700.373084796542
2017-01-10,2288.0533884247498,0.0,-292.08707429577885,1995.966314128971
2017-01-11,905.8874861436499,0.0,-270.35725701674096,635.5302291269089
2017-01-12,1485.8964190515,-1965.7207313152758,-117.92118917011862,-597.7455014338943
2017-01-13,1136.4435790585749,3930.673602969917,-383.07933393963367,4684.037848088858
2017-01-17,3331.0683183873502,-6880.695421674951,161.80383785632557,-3387.823265431275
2017-01-18,-1146.6168401091,8844.880883498801,410.52061688802155,8108.784660277723
2017-01-19,-3716.181539706825,4907.1091853899925,-144.84155720464287,1046.0860884785247
2017-01-20,2395.5664278830495,980.8472341288434,-1216.7648482897562,2159.6488137221368
2017-01-23,3523.5563416192995,-6869.953252302563,-180.62090823735844,-3527.0178189206217
2017-01-24,616.9699708198751,5889.106018173719,-443.1041076150848,6062.971881378509
2017-01-25,-1902.6473297553748,5882.213472360912,773.2260671795643,4752.792209785102
2017-01-26,-1713.200597718375,-1959.9727327832588,-564.1829872783575,-4237.3563177799915
2017-01-27,-1185.3488583022001,-1960.7376748195893,-567.2035846291692,-3713.2901177509584
2017-01-30,153.15190282412496,0.0,-203.9363608260345,-50.78445800190954
2017-01-31,4152.408246475881,-3923.771967706416,-255.00782511772968,-26.371546348264474
2017-02-01,1073.9598598316502,2943.116137077195,-417.5536403984097,3599.5223565104357
2017-02-02,801.198974261925,0.0,-203.49714813130504,597.7018261306199
2017-02-03,2401.5555454243504,980.6558306292209,176.25708502816906,3558.4684610817403
2017-02-06,4592.468511839575,-6868.612250148057,-473.3863430543437,-2749.530081362826
2017-02-07,-971.6827853300416,-1964.1854618238503,-382.62307264923834,-3318.49131980313
2017-02-08,1372.3358840422,-5897.162644127442,-31.839278616374145,-4556.666038701616
2017-02-09,-1592.3294119232498,5897.162644127442,1016.527108051939,5321.360340256131
2017-02-10,690.9077491836001,982.1886290401235,1031.4653264219126,2704.5617046456364
2017-02-13,-1647.6036380418252,1963.801925484935,1846.9890307214278,2163.187318164538
2017-02-14,-126.75627346232505,3925.3040926887843,1453.766196924965,5252.314016151424
2017-02-15,1456.5955226586752,3922.2407395776536,2021.50015927357,7400.336421509899
2017-02-16,2813.0882438301496,-5884.509642526005,-423.43530408702355,-3494.8567027828794
2017-02-17,1736.22106596195,-2944.8402824416407,-443.28922616523414,-1651.908442644925
2017-02-21,1107.89515257895,981.8050927012082,327.4133012821494,2417.1135465623074
2017-02-22,-1070.3858184500998,-981.8050927012082,-139.41587318200277,-2191.6067843333103
2017-02-23,3292.2233099673,-3929.1383334784914,-201.60218805912677,-838.5172115703183
2017-02-24,3785.639099313475,-6883.384900801648,-344.53731172510516,-3442.283113213278
2017-02-27,-2471.49348436855,4917.664169486372,538.2593311732933,2984.430016291115
