,VaR_COPULA,mean_correlation,cvm_pvalue
2012-11-14,19216.65861435856,-0.05611057164669864,0.582
2012-11-15,18185.23798613587,-0.05611057164669864,0.582
2012-11-16,18265.310234864988,-0.05611057164669864,0.582
2012-11-19,19041.58826652468,-0.05611057164669864,0.582
2012-11-20,18570.290659160964,-0.05611057164669864,0.582
2012-11-21,18622.719201827473,-0.05611057164669864,0.582
2012-11-23,18845.208188824283,-0.05611057164669864,0.582
2012-11-26,18701.962273305682,-0.05611057164669864,0.582
2012-11-27,18861.675678227366,-0.05611057164669864,0.582
2012-11-28,19256.90082304756,-0.05611057164669864,0.582
2012-11-29,18724.04245297443,-0.05611057164669864,0.582
2012-11-30,18432.92011281323,-0.05611057164669864,0.582
2012-12-03,18371.54572799481,-0.05611057164669864,0.582
2012-12-04,18282.13831820755,-0.05611057164669864,0.582
2012-12-05,18882.084026371293,-0.05611057164669864,0.582
2012-12-06,18644.238696146687,-0.05611057164669864,0.582
2012-12-07,18280.945296825386,-0.05611057164669864,0.582
2012-12-10,19163.121249540043,-0.05611057164669864,0.582
2012-12-11,19454.92736761051,-0.05611057164669864,0.582
2012-12-12,18929.753126960015,-0.05611057164669864,0.582
2012-12-13,18831.865105889585,-0.05611057164669864,0.582
2012-12-14,18432.59250965992,-0.05611057164669864,0.582
2012-12-17,18443.82509703651,-0.05611057164669864,0.582
2012-12-18,19037.692525941286,-0.05611057164669864,0.582
2012-12-19,18467.471778707077,-0.05611057164669864,0.582
2012-12-20,18794.84650662148,-0.05611057164669864,0.582
2012-12-21,18612.01909523739,-0.05611057164669864,0.582
2012-12-24,18716.565103856807,-0.05611057164669864,0.582
2012-12-26,18144.386502733447,-0.05611057164669864,0.582
2012-12-27,18475.769934887925,-0.05611057164669864,0.582
2012-12-28,18910.28772436033,-0.05611057164669864,0.582
2012-12-31,17947.770271919642,-0.05611057164669864,0.582
2013-01-02,18074.999600085972,-0.07090547543180048,0.422
2013-01-03,17754.278343525548,-0.07090547543180048,0.422
2013-01-04,17899.256006445445,-0.07090547543180048,0.422
2013-01-07,17604.779425325836,-0.07090547543180048,0.422
2013-01-08,17780.875101835445,-0.07090547543180048,0.422
2013-01-09,17406.159035099947,-0.07090547543180048,0.422
2013-01-10,17953.752856696723,-0.07090547543180048,0.422
2013-01-11,17993.466395184943,-0.07090547543180048,0.422
2013-01-14,18092.568788519726,-0.07090547543180048,0.422
2013-01-15,18261.285326530106,-0.07090547543180048,0.422
2013-01-16,17525.564869054953,-0.07090547543180048,0.422
2013-01-17,18363.11297055213,-0.07090547543180048,0.422
2013-01-18,17907.99468080918,-0.07090547543180048,0.422
2013-01-22,18185.756070684733,-0.07090547543180048,0.422
2013-01-23,17902.964126765975,-0.07090547543180048,0.422
2013-01-24,17841.606638715726,-0.07090547543180048,0.422
2013-01-25,17729.731239065786,-0.07090547543180048,0.422
