,snapshot_date,current_portfolio_value,VaR_HistSim,ES_HistSim,tail_scenarios,quantile_method,historical_window_mean_loss,historical_window_vol_loss,realised_loss,realised_pnl,exception
2023-05-10,2023-05-09,2781753.17986762,36166.329298649915,39102.76673348108,5,empirical_order_statistic,-679.4898366247882,14460.699212813312,3777.855447035283,-3777.855447035283,0
2023-05-11,2023-05-10,2777975.324420585,37544.05097679375,40423.70405496452,5,empirical_order_statistic,-738.3041071894551,15063.873144044586,11445.243458222132,-11445.243458222132,0
2023-05-12,2023-05-11,2766530.0809623627,36710.96855109092,39512.65290348958,5,empirical_order_statistic,-682.8111318265833,14785.17738660613,1965.1496562552638,-1965.1496562552638,0
2023-05-15,2023-05-12,2764564.9313061074,36154.30554954102,38934.238261596765,5,empirical_order_statistic,-670.3257186689414,14596.766411082519,-6063.4426759639755,6063.4426759639755,0
2023-05-16,2023-05-15,2770628.3739820714,37400.8861916922,40203.81059437208,5,empirical_order_statistic,-701.4185848662723,15099.507891939411,15195.645761277992,-15195.645761277992,0
2023-05-17,2023-05-16,2755432.7282207934,34899.76187836705,37630.449394466916,5,empirical_order_statistic,-516.2933640755024,14091.121524266813,-8338.203858087305,8338.203858087305,0
2023-05-18,2023-05-17,2763770.9320788807,39224.80701318104,41956.253358014954,5,empirical_order_statistic,-743.8063683901886,15920.735222868305,-1774.4048589025624,1774.4048589025624,0
2023-05-19,2023-05-18,2765545.3369377833,43099.09862123523,46225.94982020762,5,empirical_order_statistic,-899.1237529251976,17654.809457112642,-7921.80909921322,7921.80909921322,0
2023-05-22,2023-05-19,2773467.1460369965,42664.73761764541,45642.128694461564,5,empirical_order_statistic,-820.6858147518318,17383.261493571412,-13.872149433474988,13.872149433474988,0
2023-05-23,2023-05-22,2773481.01818643,42788.41481062258,45804.042211482956,5,empirical_order_statistic,-784.2854354970949,17453.377035261463,12860.684763518628,-12860.684763518628,0
2023-05-24,2023-05-23,2760620.3334229114,37901.181522032246,40580.476138042846,5,empirical_order_statistic,-523.88923734204,15445.052181915105,13284.546843437012,-13284.546843437012,0
2023-05-25,2023-05-24,2747335.7865794743,35090.2749958178,37719.876405206975,5,empirical_order_statistic,-278.65456855734715,14248.355207371016,-3642.6768664768897,3642.6768664768897,0
2023-05-26,2023-05-25,2750978.463445951,38183.68609103188,40787.93569707731,5,empirical_order_statistic,-436.54141342487,15635.701869414017,-14736.160706608556,14736.160706608556,0
2023-05-30,2023-05-26,2765714.62415256,43943.53585790051,47176.18075425876,5,empirical_order_statistic,-723.4618020580159,18261.13653669847,1463.2424602140673,-1463.2424602140673,0
2023-05-31,2023-05-30,2764251.3816923457,44303.66728464281,47405.906961210814,5,empirical_order_statistic,-838.6213647971283,18544.10238465707,8508.515462686308,-8508.515462686308,0
2023-06-01,2023-05-31,2755742.8662296594,41529.92834095936,44013.37690101294,5,empirical_order_statistic,-689.1941598323835,17427.352173248502,-14517.70551218791,14517.70551218791,0
2023-06-02,2023-06-01,2770260.5717418473,46854.07034680946,50136.03657784862,5,empirical_order_statistic,-1119.675084159432,20156.2696249681,-14085.532866126858,14085.532866126858,0
2023-06-05,2023-06-02,2784346.104607974,57176.167016474064,62308.60535364905,5,empirical_order_statistic,-1121.0220249116496,23649.214229272377,378.94334854604676,-378.94334854604676,0
2023-06-06,2023-06-05,2783967.161259428,55910.2986391047,61273.010538598246,5,empirical_order_statistic,-1147.2754946672899,23601.52088993048,-5495.966771676671,5495.966771676671,0
2023-06-07,2023-06-06,2789463.128031105,59346.22573639173,64648.960067454915,5,empirical_order_statistic,-1078.8910914525716,24493.623412907877,13813.837970776483,-13813.837970776483,0
2023-06-08,2023-06-07,2775649.2900603283,56651.266571025364,61919.680048913324,5,empirical_order_statistic,-1119.6278857470265,24250.228210042205,-20922.53321724804,20922.53321724804,0
2023-06-09,2023-06-08,2796571.8232775764,64863.59873540932,70122.48731505396,5,empirical_order_statistic,-856.0924710103618,25622.14774810274,-2624.7945707156323,2624.7945707156323,0
2023-06-12,2023-06-09,2799196.617848292,68932.49497106345,74066.35826049866,5,empirical_order_statistic,-702.0814556664014,26112.561787698214,-15863.357927905861,15863.357927905861,0
2023-06-13,2023-06-12,2815059.975776198,45477.39610246243,50334.443130416796,5,empirical_order_statistic,178.89158488061372,15931.70136220922,-5881.233595195692,5881.233595195692,0
2023-06-14,2023-06-13,2820941.2093713935,41335.48109200457,44296.62809425611,5,empirical_order_statistic,-1147.912895854703,16595.74926102851,-145.28814017027617,145.28814017027617,0
2023-06-15,2023-06-14,2821086.497511564,41675.543835901655,44702.35243435148,5,empirical_order_statistic,-1284.3579587685763,16883.00099081556,-19761.384221430868,19761.384221430868,0
2023-06-16,2023-06-15,2840847.8817329947,46173.950874727685,50481.55844833255,5,empirical_order_statistic,-1306.71117166253,18829.293580289614,4698.45517451968,-4698.45517451968,0
2023-06-20,2023-06-16,2836149.426558475,45056.09798800433,48993.96099017355,5,empirical_order_statistic,-1383.0392639528661,18537.06484652526,17481.060170069337,-17481.060170069337,0
2023-06-21,2023-06-20,2818668.3663884057,42857.293219154235,46148.17599926107,5,empirical_order_statistic,-1284.0818605764164,17547.75534645743,11245.095928551164,-11245.095928551164,0
2023-06-22,2023-06-21,2807423.2704598545,40733.90808261512,43384.65883899135,5,empirical_order_statistic,-1298.4025946715512,16746.91205255925,-474.9815380880609,474.9815380880609,0
2023-06-23,2023-06-22,2807898.2519979426,41978.46582150087,45004.48103858372,5,empirical_order_statistic,-1357.9706155670463,17471.080624275473,10427.915448269341,-10427.915448269341,0
2023-06-26,2023-06-23,2797470.336549673,38572.05670239497,41145.28473857837,5,empirical_order_statistic,-1210.65138134157,15976.643644947908,3868.0721827559173,-3868.0721827559173,0
2023-06-27,2023-06-26,2793602.2643669173,36846.158331087325,39418.28914801963,5,empirical_order_statistic,-1087.3619437776208,15187.3326232331,-10306.972141624894,10306.972141624894,0
2023-06-28,2023-06-27,2803909.236508542,41555.92096992722,44402.535901337586,5,empirical_order_statistic,-1290.0542036272782,17261.218562264225,4485.687713661231,-4485.687713661231,0
2023-06-29,2023-06-28,2799423.548794881,41640.11961425841,44425.06986273853,5,empirical_order_statistic,-1320.2322121289885,17418.485226560337,-9641.352949100547,9641.352949100547,0
2023-06-30,2023-06-29,2809064.9017439815,43340.48660539836,46658.02843654864,5,empirical_order_statistic,-1337.854420703483,18260.624887292244,-19552.42455199221,19552.42455199221,0
2023-07-03,2023-06-30,2828617.3262959737,48931.83352494938,53899.54514285596,5,empirical_order_statistic,-1423.751077819409,20759.877687887467,-4995.881537960842,4995.881537960842,0
2023-07-05,2023-07-03,2833613.2078339346,49613.964913427364,54785.32800643714,5,empirical_order_statistic,-1433.635513593792,21114.28322770186,730.1853943476453,-730.1853943476453,0
2023-07-06,2023-07-05,2832883.022439587,48762.83546834905,53722.23973832624,5,empirical_order_statistic,-1395.8480502942352,20727.824465674945,9884.766223655082,-9884.766223655082,0
2023-07-07,2023-07-06,2822998.256215932,44874.53508004453,48709.88623048328,5,empirical_order_statistic,-1162.4127197556654,18884.46149446423,-1776.6741467979737,1776.6741467979737,0
2023-07-10,2023-07-07,2824774.93036273,43804.0220043757,47184.734762588705,5,empirical_order_statistic,-1240.0129391553057,18582.945576187696,-3863.7765079620294,3863.7765079620294,0
2023-07-11,2023-07-10,2828638.706870692,45051.134498444386,48715.601634744366,5,empirical_order_statistic,-1250.700261168519,19173.917180096392,-11899.364716714714,11899.364716714714,0
2023-07-12,2023-07-11,2840538.0715874066,48473.74074643524,53060.764721273255,5,empirical_order_statistic,-1328.9871583551028,20770.592538006873,-17263.295757037587,17263.295757037587,0
2023-07-13,2023-07-12,2857801.367344444,54473.86109500285,59898.623369639085,5,empirical_order_statistic,-1494.943718518435,23097.987628176117,-13391.019455797505,13391.019455797505,0
2023-07-14,2023-07-13,2871192.3868002417,61929.752343053,66845.48068666123,5,empirical_order_statistic,-1433.315382311294,24745.31038751814,-363.5825119432993,363.5825119432993,0
2023-07-17,2023-07-14,2871555.969312185,62145.95207297569,67143.09201689903,5,empirical_order_statistic,-1497.1926870563811,24906.471475393548,-6341.8812964567915,6341.8812964567915,0
