,VaR_MC_T_COPULA
2010-07-20,40425.40989726968
2010-07-21,38459.79298081072
2010-07-22,38887.02372791199
2010-07-23,41160.353920532136
2010-07-26,39906.17715980341
2010-07-27,36343.41057075316
2010-07-28,37566.97461361699
2010-07-29,40865.10692647818
2010-07-30,36594.505632833185
2010-08-02,41063.16554107151
2010-08-03,44198.166198001905
2010-08-04,44035.590967161545
2010-08-05,49291.48910513025
2010-08-06,39628.607799687285
2010-08-09,38689.5705700311
2010-08-10,44772.90482134157
2010-08-11,41689.62640115016
2010-08-12,38786.81799151569
2010-08-13,43041.16843325118
2010-08-16,44950.02689011383
2010-08-17,44017.63895262812
2010-08-18,44036.112484303485
2010-08-19,43948.860794022585
2010-08-20,41862.55811354204
2010-08-23,41961.83598361696
2010-08-24,40904.286026412075
2010-08-25,43533.94695270727
2010-08-26,42587.33415124118
2010-08-27,41906.078988313035
2010-08-30,40472.13767791884
2010-08-31,44320.32953678662
2010-09-01,41659.01927967665
2010-09-02,41840.21036168914
2010-09-03,40459.559671943956
2010-09-07,42407.03578458766
2010-09-08,43090.248421547214
2010-09-09,44639.212177668924
2010-09-10,41760.285649538804
2010-09-13,42260.24569357352
2010-09-14,43824.51301554135
2010-09-15,45352.32227467476
2010-09-16,42942.76381210217
2010-09-17,44358.48210941248
2010-09-20,44720.91907737855
2010-09-21,46389.77478594395
2010-09-22,45144.398801149124
2010-09-23,49840.123682909994
2010-09-24,44390.02265678929
2010-09-27,44068.25417556876
2010-09-28,41859.1013355162
2010-09-29,42515.159218920504
2010-09-30,43701.15927518524
2010-10-01,46117.100656079085
2010-10-04,44835.600355742434
2010-10-05,44962.26346987368
2010-10-06,46144.34441653579
2010-10-07,50174.27759905023
2010-10-08,49629.46845020891
2010-10-11,47118.565896410975
2010-10-12,45514.20124238371
2010-10-13,47039.67804025941
2010-10-14,52455.420229357194
2010-10-15,51510.12623671667
2010-10-18,49669.7641449438
2010-10-19,51969.84432143099
2010-10-20,54409.25569965804
2010-10-21,52818.013769265825
2010-10-22,53033.177293928085
2010-10-25,55292.61316747134
2010-10-26,43339.25229673768
2010-10-27,41754.382180407076
2010-10-28,45761.59140356157
2010-10-29,44042.12986269875
2010-11-01,46713.338148407645
2010-11-02,43896.7007945802
2010-11-03,47465.086270848595
2010-11-04,43595.488361332995
2010-11-05,51344.211249768494
2010-11-08,50247.37682442048
2010-11-09,48087.75930297873
2010-11-10,48650.6077213895
2010-11-11,48154.91585333109
2010-11-12,45194.45801723925
2010-11-15,47819.413805189375
2010-11-16,47096.34352070961
2010-11-17,42387.400595102175
2010-11-18,44339.96465810236
2010-11-19,40603.93723170702
2010-11-22,43026.95287699661
2010-11-23,45413.74221046635
2010-11-24,44481.52872110085
2010-11-26,44763.25830558727
2010-11-29,42668.22690700946
2010-11-30,43730.72798171981
2010-12-01,45940.26135800926
2010-12-02,48672.92426500388
2010-12-03,48317.019689753135
2010-12-06,49722.40204733675
2010-12-07,48578.56245968911
2010-12-08,42235.59015214141
2010-12-09,43497.22112052664
2010-12-10,45813.67887913521
2010-12-13,42260.21509275725
2010-12-14,44534.93484048518
2010-12-15,43647.17770990874
2010-12-16,43565.135905101764
2010-12-17,44823.55770279504
2010-12-20,46056.33288503276
2010-12-21,47122.84358656791
2010-12-22,46048.84114647421
2010-12-23,46348.06358582308
2010-12-27,46349.415509387836
2010-12-28,47391.78530450617
2010-12-29,45486.540413599854
2010-12-30,48379.90972351426
2010-12-31,46174.29815545903
2011-01-03,46032.24166647889
2011-01-04,45296.383185763916
2011-01-05,44534.24108103371
2011-01-06,48856.25128400687
2011-01-07,51055.181289780776
2011-01-10,48207.73659014625
2011-01-11,45683.659285911766
2011-01-12,47006.11448493014
2011-01-13,50640.61567629816
2011-01-14,49752.68368951091
2011-01-18,48786.73262144934
2011-01-19,50975.934000621615
2011-01-20,49686.12327805009
2011-01-21,43712.080828068916
2011-01-24,40118.980806066866
2011-01-25,42584.58399724516
2011-01-26,42251.0546096991
2011-01-27,44488.60607577011
2011-01-28,45326.501813979135
2011-01-31,41521.32620178098
2011-02-01,46240.49773447149
