,VaR_MC,mean_pnl_sim,std_pnl_sim
2022-02-22,12241.248603925475,-219.75380750572785,5414.995058210109
2022-02-23,13231.53078788891,-474.04676466255484,5665.084100307425
2022-02-24,12144.576172783263,-183.0286634391996,5342.142693827804
2022-02-25,11737.305293846204,25.18807261872052,5124.683494691788
2022-02-28,11624.858152698002,-137.68334263271976,5162.21338892852
2022-03-01,12742.117547828808,-543.4951179600793,5309.519658800444
2022-03-02,11657.542140757425,-236.09254207721207,5117.326182390857
2022-03-03,11739.699636318992,-320.2616431284858,4938.552128988273
2022-03-04,11836.944909004247,-635.4734511241363,4943.773101844306
2022-03-07,13890.731123029696,-1000.0290337600451,5759.28788797172
2022-03-08,14120.219551273087,-946.8016897228051,6026.512365343802
2022-03-09,12366.890257663963,-998.5228307067282,5090.58427131149
2022-03-10,12586.495411808519,-788.9231487709819,5439.834973373186
2022-03-11,14180.3088511875,-850.9075187167324,5951.2677105266575
2022-03-14,14653.220622136312,-811.6092604181189,6202.445807468049
2022-03-15,13680.940337583126,-784.2983785349816,5887.906194280092
2022-03-16,11740.208692082631,-1022.4621835432633,5207.188016061581
2022-03-17,11690.282837415827,-1305.1981247875578,4833.91570435553
2022-03-18,7208.170819108672,2977.1152818943424,5399.102514384609
2022-03-21,11152.847868861028,441.65692953482346,5216.065125986822
2022-03-22,11753.528625803156,679.2990682370938,5784.056622972113
2022-03-23,10919.313282950272,555.7692639699442,5029.853018838613
2022-03-24,11861.169463693972,797.3163120209279,5972.948988798955
2022-03-25,12264.258425421403,924.8650767713573,6328.052722052249
2022-03-28,14010.94915528354,1150.0435584323525,7220.126178711803
2022-03-29,16278.797756885206,1421.8515607969978,8648.955286235027
2022-03-30,14659.798745558975,1534.3660669184371,8119.1820850984805
2022-03-31,11467.10847862085,859.1856590260712,5918.760138189094
2022-04-01,12252.812856087054,1000.9043821871198,6487.861020724683
2022-04-04,13985.460270014657,1307.7376385370303,7719.9558960767035
2022-04-05,11623.566012000114,727.1761548104868,5898.010148652912
2022-04-06,10448.121850819356,456.46426285678297,5003.55448391327
2022-04-07,11106.320272699855,514.2001040466514,5530.728651042138
2022-04-08,10893.754081473237,481.8270203113522,5337.180051112399
2022-04-11,9817.309386510262,-66.26973733689957,4245.974039409576
2022-04-12,9892.350006706945,-107.03554460337318,4246.246517260356
2022-04-13,9959.85661472182,236.0143556439287,4679.500702383233
2022-04-14,9666.007102473632,-142.9732377657991,4094.3584574175106
2022-04-18,9677.895264097844,-71.73543965491983,4135.807876963927
2022-04-19,10586.574196711592,160.13321272628713,5007.029023357654
2022-04-20,9987.823619036082,400.66544367525006,4967.370467039934
2022-04-21,9534.802582449625,-385.89854027124096,4074.5000341363916
2022-04-22,11768.257728096381,-857.5332212389052,4928.892029140627
2022-04-25,11746.786470742092,-841.1230733884107,4817.329006239268
2022-04-26,13735.915346469892,-754.5949946754675,5795.439611272616
2022-04-27,14345.647028758176,-732.0011342759507,5898.521275642579
2022-04-28,13467.10969422591,-1334.6017895803702,5528.2185880664665
2022-04-29,14360.028632012221,-1.4882155151755259,6183.874304292849
2022-05-02,14811.739931806052,-118.45841432675267,6342.490162403637
2022-05-03,10741.154962676514,270.65776593174513,4845.825779999139
2022-05-04,11642.162746700127,652.1382513240372,5586.790857444186
