,VaR_MC_GARCH_COPULA_V3
2011-10-04,51074.77743377088
2011-10-05,51809.78305298735
2011-10-06,50741.27370068161
2011-10-07,48821.44235280678
2011-10-10,49953.05426895318
2011-10-11,51353.13323083985
2011-10-12,51321.82634917645
2011-10-13,49747.90571570675
2011-10-14,48855.907932761496
2011-10-17,46867.84142007301
2011-10-18,46617.21746587213
2011-10-19,46768.05755391481
2011-10-20,52337.71934066411
2011-10-21,49654.5205061399
2011-10-24,51911.40876344601
2011-10-25,54535.77421998979
2011-10-26,52956.789824236344
2011-10-27,52127.30456146797
2011-10-28,52223.1725840149
2011-10-31,48669.83417211933
2011-11-01,55761.11457388843
2011-11-02,53782.70807987077
2011-11-03,48736.32006883803
2011-11-04,48027.293805066256
2011-11-07,45185.45810100481
2011-11-08,46414.786477746864
2011-11-09,45437.68787819334
2011-11-10,49265.97291176124
2011-11-11,46328.8418487671
2011-11-14,46952.89648578492
2011-11-15,46042.48716803271
2011-11-16,45589.5672395859
2011-11-17,44023.03316062508
2011-11-18,50114.12955173747
2011-11-21,47387.915438050906
2011-11-22,48160.863357284565
2011-11-23,49257.47020719039
2011-11-25,47884.4633058472
2011-11-28,47790.92457756222
2011-11-29,49104.896773329936
2011-11-30,48467.29780909398
2011-12-01,53503.447757242975
2011-12-02,50750.412679031266
2011-12-05,48660.92507606589
2011-12-06,48677.35584655321
2011-12-07,48971.11037659941
2011-12-08,46856.1761984979
2011-12-09,51109.784712932975
2011-12-12,47200.27830922368
2011-12-13,48729.4812118669
2011-12-14,49486.55021991692
2011-12-15,53684.43481754342
2011-12-16,54353.229718679504
2011-12-19,55825.084377345105
2011-12-20,53802.93645465847
2011-12-21,54744.689670706575
2011-12-22,52672.526645832615
2011-12-23,49206.83719008086
2011-12-27,50247.36698529812
2011-12-28,46876.28374086256
2011-12-29,48193.26274420028
2011-12-30,49690.18571432782
2012-01-03,44493.12117189816
2012-01-04,50187.18710137109
2012-01-05,51982.06847625733
2012-01-06,48762.33072912114
2012-01-09,48311.990346779385
2012-01-10,47377.535255019415
2012-01-11,50028.613072823886
2012-01-12,49758.75248294526
2012-01-13,47491.06580154798
2012-01-17,46387.77861871452
2012-01-18,48454.39663571326
2012-01-19,48209.60893790828
2012-01-20,46915.4801583834
2012-01-23,45432.51431456861
2012-01-24,46222.63625435733
2012-01-25,45163.7782382518
2012-01-26,50075.347617185966
2012-01-27,51250.552982109184
2012-01-30,49592.49316687
2012-01-31,48785.87993697212
2012-02-01,40507.024892182875
2012-02-02,39421.604551091965
2012-02-03,39415.90262451319
2012-02-06,40134.08762752472
2012-02-07,41048.65568544679
2012-02-08,41294.1270568438
2012-02-09,40385.08739517561
2012-02-10,38848.689684153374
2012-02-13,38321.321066913464
2012-02-14,37053.285047720354
2012-02-15,38248.44846048564
2012-02-16,37355.5169043264
2012-02-17,37632.175107210314
2012-02-21,36140.012859951945
2012-02-22,39211.757297426506
2012-02-23,38895.55167142787
2012-02-24,39120.7025723161
2012-02-27,37656.03456386623
2012-02-28,38317.42132799947
2012-02-29,37303.30310681028
2012-03-01,55385.03310916776
2012-03-02,54676.33996364429
2012-03-05,54581.36031980141
2012-03-06,47593.93375585843
2012-03-07,52023.36370485746
2012-03-08,53557.02049927001
2012-03-09,54989.03456301035
2012-03-12,51093.5154867881
2012-03-13,53369.7653139576
2012-03-14,51862.54227987612
2012-03-15,61449.70762107146
2012-03-16,54672.65283514772
2012-03-19,53749.87839669808
2012-03-20,51627.851658238265
2012-03-21,50405.544741129735
2012-03-22,48130.32629752602
2012-03-23,46089.91870812232
2012-03-26,47572.07220412874
2012-03-27,47941.69438734396
2012-03-28,47166.338800586556
2012-03-29,45144.34010162317
2012-03-30,45662.122768191344
2012-04-02,46952.04223990354
2012-04-03,43968.49356565889
2012-04-04,47520.62852921266
2012-04-05,49828.29122125329
2012-04-09,49914.93863862734
2012-04-10,45265.99638406392
2012-04-11,44167.63633132949
2012-04-12,45049.97627439403
2012-04-13,43711.618048909935
2012-04-16,42073.26933833854
2012-04-17,42882.78628602414
2012-04-18,40797.78756913315
2012-04-19,40051.07344031542
2012-04-20,39035.610116415235
2012-04-23,38291.28949770597
2012-04-24,37906.332780752375
2012-04-25,38388.5649374494
2012-04-26,37632.766262349935
2012-04-27,39528.11813673861
2012-04-30,38343.60124609864
2012-05-01,36923.230024382116
2012-05-02,37255.30826677379
2012-05-03,35546.89940269254
2012-05-04,38435.57355358802
2012-05-07,38320.943139681505
2012-05-08,38085.30506616719
2012-05-09,37513.16729955069
2012-05-10,38091.28964860371
2012-05-11,36857.56800065145
2012-05-14,37799.05375216974
2012-05-15,36991.76405607788
2012-05-16,38140.12834218318
2012-05-17,37373.475070143475
2012-05-18,39162.0804823009
2012-05-21,38499.717540340615
2012-05-22,36534.2053648023
2012-05-23,37723.49136814363
2012-05-24,37055.55153747087
2012-05-25,34024.590938246605
2012-05-29,30690.863344293306
2012-05-30,31121.87529888605
2012-05-31,30825.182029132804
2012-06-01,30268.617772536916
2012-06-04,35943.93786014641
2012-06-05,35333.34291490806
2012-06-06,34149.11610179522
2012-06-07,32072.73231471838
2012-06-08,34062.21550104826
2012-06-11,33352.55147111816
2012-06-12,33820.97985458358
2012-06-13,33216.52262671484
2012-06-14,32545.82067342159
2012-06-15,33881.02666987824
2012-06-18,32064.323829953846
2012-06-19,31853.52824014166
2012-06-20,31546.31441945561
2012-06-21,31301.280476860768
2012-06-22,40815.001254786475
2012-06-25,39914.95402770214
2012-06-26,39019.49421252883
2012-06-27,37979.35806994189
2012-06-28,36795.251895513495
2012-06-29,39247.97593012588
2012-07-02,45162.79023335422
2012-07-03,44876.003607084785
2012-07-05,45083.1903524567
2012-07-06,44377.040472787376
2012-07-09,43992.419257521
2012-07-10,41450.004611965545
2012-07-11,41474.55656794857
2012-07-12,40557.89058763106
2012-07-13,40680.973932193694
2012-07-16,41609.53142333016
2012-07-17,41697.09293755189
2012-07-18,41856.83696970219
2012-07-19,39831.74441647006
2012-07-20,39864.22710923708
2012-07-23,38384.72630130755
2012-07-24,35793.57880011707
2012-07-25,34363.378031049244
2012-07-26,36003.87250925441
2012-07-27,36908.352312939955
2012-07-30,37571.089003383546
2012-07-31,35178.21785769004
2012-08-01,35590.1604571548
2012-08-02,35639.58884018317
2012-08-03,38365.68601884463
2012-08-06,39176.50333381252
2012-08-07,51283.04729470256
2012-08-08,39674.476953677295
2012-08-09,39904.57560554478
2012-08-10,37125.538233971274
2012-08-13,37281.102998210765
2012-08-14,38800.17720496066
2012-08-15,39724.36837876062
2012-08-16,38365.9712330313
2012-08-17,38220.68265538346
2012-08-20,38655.391426613714
2012-08-21,39039.60313077732
2012-08-22,35400.65717550344
2012-08-23,37451.5937294048
2012-08-24,38299.54504844779
2012-08-27,38145.40928084819
2012-08-28,37088.62899237709
2012-08-29,37318.28854057952
2012-08-30,36534.06628447916
2012-08-31,38277.449669201495
2012-09-04,42848.691828023235
2012-09-05,37206.90726125415
2012-09-06,37985.1732653831
2012-09-07,38769.96827393265
2012-09-10,40462.55246064059
2012-09-11,38535.89126269133
2012-09-12,38377.43896119904
2012-09-13,40885.124223682746
2012-09-14,45056.597726291526
2012-09-17,44756.899332233086
2012-09-18,44204.601643606344
2012-09-19,44370.8135525528
2012-09-20,41631.59425432582
2012-09-21,43730.74436474143
2012-09-24,41032.253249268164
2012-09-25,39691.14631929703
2012-09-26,38623.02655718971
2012-09-27,40857.456439366666
2012-09-28,38324.25192966954
2012-10-01,39692.1075074962
2012-10-02,39607.93190175002
