,VaR_MC,mean_pnl_sim,std_pnl_sim
2009-06-26,26385.79344982228,588.6843466023741,12038.640434697467
2009-06-29,26926.364335100152,463.6181228387432,12332.917249281094
2009-06-30,27875.08222846446,466.66563249949667,12266.542005443815
2009-07-01,27106.389740533057,361.7017748334489,12271.064823177674
2009-07-02,28044.48788269065,216.77359194698212,12569.52949599479
2009-07-06,24861.993925617036,927.2216368217572,11557.795719098716
2009-07-07,24569.888113515604,401.041397720556,10891.463003129255
2009-07-08,24113.33688969971,343.90819488178045,10617.734800327218
2009-07-09,24097.97476573721,122.7406074731435,10517.548885386326
2009-07-10,24489.774402156658,370.4252185291712,10726.039160849576
2009-07-13,24340.731778383117,257.5384594551156,10626.707959376108
2009-07-14,24539.28470047398,331.5570996499693,10891.102744206552
2009-07-15,24703.59621571115,293.9877796144055,11110.46572883955
2009-07-16,26972.602862215936,320.80405390739514,11686.08048444377
2009-07-17,25907.64768416894,394.3089970507057,11738.468340305819
2009-07-20,26555.297299891812,299.64429395258645,12008.84281143544
2009-07-21,27098.034997797804,475.9417161324437,12147.128702647671
2009-07-22,26934.123369567973,487.31000126424647,12211.4841614399
2009-07-23,28087.14336675032,626.8319054424258,12390.63934189358
2009-07-24,29018.568759048736,195.2540501552972,12733.24461824973
2009-07-27,29056.8436635194,380.4176805963398,12701.342335183
2009-07-28,28740.507195638827,476.7511522534394,12778.890444922463
2009-07-29,28497.952686223507,-39.17090037294134,12676.735742585399
2009-07-30,28226.004228053178,350.09926688077456,12567.041967014055
2009-07-31,29892.389091132904,293.1938251555462,12778.594511220223
2009-08-03,29068.392380496745,146.5175394235435,12992.890311223007
2009-08-04,30120.65266653758,109.61373506579241,13209.162113877379
2009-08-05,30036.511127545724,250.28399676857205,13321.85253940423
2009-08-06,29686.38193817235,236.75605704666367,12998.969848770168
2009-08-07,30038.11305996501,115.93022432977243,13111.680365177073
2009-08-10,30717.286731211585,162.34432038281298,13456.892392404323
2009-08-11,29545.063651097324,344.3799344012927,13235.08823249269
2009-08-12,29524.68187927592,286.32574819971757,13165.108308637284
2009-08-13,30287.82783348694,435.2292530036617,13284.750916180672
2009-08-14,30781.64798480303,317.7436299569579,13319.156043307434
2009-08-17,29443.18768851332,348.29493424614725,13165.571148069466
2009-08-18,25781.26107039539,261.3355088642233,11267.717039686266
2009-08-19,25332.196947930002,339.27766472936713,11134.104175636232
2009-08-20,25994.259487582076,268.6961357150529,11413.869190139636
2009-08-21,26529.958706781526,292.1195431642568,11874.535120871818
2009-08-24,28147.237404669846,449.97956669120697,12262.296113064644
2009-08-25,27465.3288468275,563.5871881232221,12236.782841455344
2009-08-26,27117.61409256373,427.012944944684,12285.454262328685
2009-08-27,27640.51976330427,342.0988766082132,12228.805742961662
2009-08-28,26728.027284701253,521.2951872298407,12459.601985701953
2009-08-31,27769.875054803368,534.5269117313361,12408.813873727795
2009-09-01,27010.516277190098,290.1488952181755,12148.296856491297
2009-09-02,26182.74574507592,454.2477514125148,11682.174900311275
2009-09-03,26609.091594002613,452.17142848159466,11720.724831774842
2009-09-04,26987.43639040196,472.3559683876253,12042.431033836792
2009-09-08,27903.1247663134,380.08880371711086,12487.462986765095
2009-09-09,28661.638969477688,446.8866287519998,12707.42676507581
2009-09-10,29039.5620158764,669.2582752249474,13007.436298901623
2009-09-11,29729.400519606424,378.6998526145584,13370.526455534291
2009-09-14,30000.612466221533,407.6606830478458,13485.755266492979
2009-09-15,29980.44134053032,463.83324681938103,13460.479599792141
2009-09-16,29844.997511377653,572.217170978093,13634.489071748232
2009-09-17,30979.137812012596,553.2149852907482,13949.232847490626
2009-09-18,31453.93228307618,364.734833721954,13856.611716181264
2009-09-21,30336.59750995111,496.17903313709274,13697.037568254695
2009-09-22,30443.590013348003,625.8928018903524,13899.174091735578
2009-09-23,32176.152744079478,411.41723016133653,14082.512781829342
2009-09-24,32016.149992964118,554.9442972984316,14109.68513065368
2009-09-25,31475.33773511291,151.07316827381229,13731.541849041336
2009-09-28,31751.140011435928,467.3198106064938,14055.96101686559
2009-09-29,31264.631141664075,449.41062288364645,13845.242021300026
2009-09-30,25846.602066719588,537.230687418343,11799.045115511626
2009-10-01,26235.648199570103,417.4094781626569,11799.465581073619
2009-10-02,25321.23075237782,370.15106968594614,11411.857570756052
2009-10-05,25163.594439154294,395.177824941167,11247.197300845382
2009-10-06,25882.148770454874,334.8155391574684,11645.092233599957
2009-10-07,26828.361340545274,492.79066572169717,12009.547045651727
2009-10-08,26337.432810361373,907.5874357274033,12116.565539086589
2009-10-09,28052.658893130265,582.0100919101495,12380.639282500688
2009-10-12,27447.944429728614,716.7358019082817,12532.12650247382
2009-10-13,27583.51784997516,787.0594288641681,12587.735503856966
2009-10-14,27531.653092738317,700.8106047190635,12565.333799675276
2009-10-15,28500.43328207836,739.587607071577,12948.361959350586
2009-10-16,28557.24389941514,752.0154010124065,13104.192574502782
2009-10-19,28027.06659000273,720.2220678324028,13009.657309344057
2009-10-20,27887.624290747503,722.9129433152009,13158.099307423256
2009-10-21,29538.7637148061,509.60571664811226,13275.349594138672
2009-10-22,28471.66388244566,792.7344597409772,12934.125853431477
2009-10-23,29381.41454743555,465.9583041648413,13244.034546934421
2009-10-26,28077.678517837423,586.6601032027146,12834.04963651378
2009-10-27,27804.88401333995,655.1726606662024,12244.55210794967
2009-10-28,27276.673472583283,683.7657168998409,12316.220580290605
2009-10-29,26046.74275861077,319.3674625537944,11633.398464765922
2009-10-30,27120.63588979068,775.6096007092884,12405.638833497364
2009-11-02,25652.089443098743,491.3534401278712,11609.909804597877
2009-11-03,27781.62145554984,413.35562173180574,11874.817890218346
2009-11-04,26252.878617224964,627.7678591381322,12050.187893757235
2009-11-05,26904.498720987132,500.77595312894357,12205.272490462667
2009-11-06,27904.156882670402,478.9206393632237,12842.164700321908
2009-11-09,28411.58200613657,877.6380646021641,13262.24325200422
2009-11-10,31156.556899322215,997.7090036097653,14369.410960319743
2009-11-11,27911.67129450956,772.5449602549787,12520.722816553392
2009-11-12,27595.62370197603,738.6752690109456,12763.720020154837
2009-11-13,27510.378295500806,715.7861241716823,12543.691849233172
2009-11-16,27766.46557204313,970.3019802953951,12682.743175615316
2009-11-17,29249.050478035424,724.9858219113942,13102.598512378661
2009-11-18,29803.516742407206,579.0729082633613,13144.517595840493
2009-11-19,29234.83255926321,788.2056268543822,13254.397959616854
2009-11-20,29041.447084349424,817.14338120929,13010.783383771417
2009-11-23,27941.191126036847,784.0006647687546,12802.513918110608
2009-11-24,29659.727095302394,638.8129695121792,13261.677601812165
2009-11-25,29910.42483007478,812.1991109187443,13510.251271671339
2009-11-27,29416.111649593942,895.4607667279246,13628.099509246395
2009-11-30,29854.99396677975,515.5717720002837,13115.276915167362
2009-12-01,28625.982919941252,888.3694858777997,13153.89876645009
2009-12-02,30945.980458121037,747.619438488144,13700.703589455035
2009-12-03,30210.33721141569,860.5839786283916,13917.203678472262
2009-12-04,30484.631988608566,555.8479605531545,13428.81914550111
2009-12-07,29964.22777217922,804.6895550915727,13433.657801878244
2009-12-08,28632.811952775995,978.5403660382759,13557.213911196515
2009-12-09,27895.189650715696,780.2284394157759,12938.997534878563
2009-12-10,28667.974677456412,796.9037319775101,12947.687127046558
2009-12-11,28551.697868131578,699.4498012068298,13217.774334943899
2009-12-14,29326.718406514647,527.2228842462707,13337.361718805272
2009-12-15,29722.25530544072,1078.4357719147347,13808.298940904711
2009-12-16,29454.244029420974,688.1186660240618,13628.15319241191
2009-12-17,29346.295494737955,899.3461439329154,13616.789880646837
2009-12-18,27529.246239264812,960.6262601081651,13000.828808317425
2009-12-21,28780.219485362242,873.3680249397888,13351.540904351841
2009-12-22,28838.244381426288,832.8765317439846,13730.271369344786
2009-12-23,29993.709925058083,809.9947788577964,14087.611931729141
2009-12-24,28398.95456803637,638.1797872135861,12569.269284743543
2009-12-28,28203.627603455083,568.5728938039323,12710.831238691668
2009-12-29,29052.141781828068,584.7759015865929,12934.027100401296
2009-12-30,27974.382921168784,909.0278062872968,12650.088654820018
2009-12-31,28421.636977687092,791.1679523563033,12795.103053392395
2010-01-04,28139.39078288116,712.3179561550246,12658.403496365096
2010-01-05,29099.663201327694,692.0222323959803,13138.916930172625
2010-01-06,29079.337318816022,822.8517516827623,13122.990521102574
2010-01-07,29687.601024283776,904.3346052818885,13345.470522343594
2010-01-08,29717.453072653447,802.2373486224901,13466.401865995935
2010-01-11,30006.475362729856,691.0066082744247,13669.468852085627
2010-01-12,30941.38564615508,1019.4344575230045,14084.858628865466
2010-01-13,29141.319292226905,944.7469663975894,13515.676652088523
2010-01-14,29485.436775032682,831.6437350392852,13687.169792495924
2010-01-15,30205.637105180624,1047.0833446454926,13921.029801066514
2010-01-19,29053.20720422068,1088.8408162769363,13554.054900961002
2010-01-20,29618.88241212533,784.9123449273203,13828.084459950804
2010-01-21,29546.744805322312,875.8127353323798,13552.781951953724
2010-01-22,27163.136898855704,943.6471694791736,12688.858891826574
2010-01-25,26467.16165033925,593.9561429266355,11981.544559253472
2010-01-26,26099.69813246952,787.4401152310979,12101.334926540294
2010-01-27,25974.775688912316,859.265815224202,11793.463350704722
2010-01-28,26753.03584516883,499.7068260929229,12010.038052905064
2010-01-29,25610.67214660392,500.3950993295146,11607.810252015053
2010-02-01,25548.066139092178,318.75901385806014,11273.969853040142
2010-02-02,26455.3505086361,655.5630677366423,11771.364574159574
2010-02-03,26216.496647234544,892.7914908476664,12129.521291863666
2010-02-04,26670.479791311333,915.9419883179842,11949.977775428753
2010-02-05,24766.43245614261,564.0163503969519,11017.32410892666
2010-02-08,25385.923653311573,414.2799459100096,11133.45894522478
2010-02-09,27597.87219500866,489.2181231213289,12195.753382765695
2010-02-10,27814.87738084666,613.3520177464917,12568.150021852625
2010-02-11,27755.522545614298,443.94584803647,12492.49726777353
2010-02-12,29117.805065472727,620.9182242322363,12981.233421597517
2010-02-16,29051.835926183103,390.0331838103357,12934.510871902421
2010-02-17,29357.572870328004,407.1816796604965,13389.913499138325
2010-02-18,29692.78943381713,438.36220932779366,13388.494994463412
2010-02-19,30582.69975519249,649.3879958655398,13826.294056736499
2010-02-22,31581.89028556384,697.2596675557055,13900.45295072738
2010-02-23,30833.16055687093,535.2425320944087,13782.578766685809
2010-02-24,30069.211423436285,563.9340509751158,13509.461121388733
2010-02-25,30231.866246967955,691.7710773197297,13778.852748007777
2010-02-26,30917.319282730376,573.1975899604234,13835.442147958356
2010-03-01,31346.726485485942,695.1634779416598,14121.724056217688
2010-03-02,31785.344123761006,596.2296879617047,14400.798046519147
2010-03-03,32960.902394427394,423.09097148918204,14569.25692312091
2010-03-04,31791.965537546614,655.8236326124211,14718.118850564077
2010-03-05,31990.30564358277,596.8939098893661,14634.055642405245
2010-03-08,32964.97024412978,507.0872189118922,14936.472066158973
2010-03-09,32851.771955483506,520.9438292921317,14812.158950810455
2010-03-10,33570.99479960284,364.60275925145305,14866.917473618196
2010-03-11,33503.204668552724,385.39266224839844,14777.36958891096
2010-03-12,33779.918651016036,680.4856713691739,14974.014078155717
2010-03-15,33368.42298713572,546.116278879242,14892.016559381396
2010-03-16,33210.59811976908,483.71787810547613,14873.770895569987
2010-03-17,34298.786338871214,415.6406472915309,15072.563366284594
2010-03-18,35851.028793222446,265.8420794110245,15362.376333916729
2010-03-19,35166.20321640437,556.7439070533309,15059.607896337842
2010-03-22,34368.97106469742,189.6069570105105,15014.829013988105
2010-03-23,32816.85690068209,596.5668424114704,14836.444512913557
2010-03-24,28174.757366797796,1023.1237183156445,12757.148472563431
2010-03-25,26620.950774888694,889.5974680092904,12322.603493134488
2010-03-26,27495.684891021785,782.334933512703,12367.218060374626
2010-03-29,27080.73373806693,897.2951736438735,12492.994621252406
2010-03-30,27610.27566415113,811.9164223094831,12723.114192880417
2010-03-31,28026.68124612122,745.6215412056567,12829.700699709674
2010-04-01,27613.350268016555,598.5085265548278,12681.43374226943
2010-04-05,28065.212009361116,818.3162754958008,13078.990319613931
2010-04-06,29397.89603158032,751.9955929590795,13186.743555133246
2010-04-07,29861.878908120412,832.5714688139071,13466.376686635434
2010-04-08,28701.678446454833,995.3441554372185,13325.157349574854
2010-04-09,28758.78291954557,796.7195168957255,13309.33271564642
2010-04-12,29684.88464317335,966.6769267567767,13794.756001540818
2010-04-13,30146.998975341085,649.66942518195,13831.662400712112
2010-04-14,29732.046131246116,1137.8436823089212,13866.183168610332
2010-04-15,30863.189019664274,943.4669830803059,14329.225883762405
2010-04-16,31502.195493889067,868.4613438766601,14572.82215071541
2010-04-19,29597.620255539485,879.9855479531459,13519.610337928636
2010-04-20,30158.986701531736,759.0857561905862,13873.758063215828
2010-04-21,32074.72549310749,663.6888441994039,14429.991745307452
2010-04-22,30562.12684026465,895.0993435176149,14405.466497100828
2010-04-23,30858.75175455008,737.7126373124293,14451.105719204075
2010-04-26,31674.461358648627,1055.3698633488048,14771.370394961537
