,pnl_irs,pnl_straddle
2006-11-15,3766.317306912708,190.02658196180278
2006-11-16,4703.84818440504,209.6106388400365
2006-11-17,-4703.84818440504,-75.9008338347833
2006-11-20,-941.3092752960802,-23.447557579221012
2006-11-21,-1883.1586018113885,49.17619160393372
2006-11-22,-941.8494298052392,268.9744136365739
2006-11-24,-1884.2393757826649,-594.7066180535536
2006-11-27,-942.39004938578,-1251.3293129181698
2006-11-28,-2828.252215001965,41.33989584935449
2006-11-29,942.9311345716706,1052.1645052895856
2006-11-30,-5660.294823325123,-21.9859073923665
2006-12-01,-2832.5864930285898,-334.941809858023
2006-12-04,0.0,1088.513148279846
2006-12-05,1888.5717891289096,711.6063378596964
2006-12-06,2831.501989931945,-222.6802187024033
2006-12-07,943.4726858978102,-821.2644531135318
2006-12-08,6599.255772362521,230.01411390850367
2006-12-11,-3769.9209209674736,485.7800260413887
2006-12-12,-2829.3348513950477,-194.8251787541597
2006-12-13,8483.134786799026,170.18671979648659
2006-12-14,1883.1586018113885,1705.3711530708763
2006-12-15,0.0,-47.869341232399165
2006-12-18,0.0,135.45717817618197
2006-12-19,0.0,-220.73154581208598
2006-12-20,0.0,-134.3517160997152
2006-12-21,-4709.247407399293,-8.132542145446564
2006-12-22,7532.635440144775,379.87616827096815
2006-12-26,-1882.0787574494025,-232.08973537590794
2006-12-27,4703.84818440504,-314.53152719508637
2006-12-28,3759.843809517537,-5.493781100085471
2006-12-29,939.512112272263,105.12104838018388
2007-01-03,-3759.1255624306796,99.93107943707003
2007-01-04,-4702.949216714245,-377.68819167132506
2007-01-05,2822.3088075307605,313.73997057505676
2007-01-08,940.4100498243643,-335.7374296959392
2007-01-09,0.0,-153.65312918017082
2007-01-10,2820.1522126503405,-381.00268304249596
2007-01-11,4696.663652472576,-378.35882573244817
2007-01-12,2815.8464318641054,-131.14681185683708
2007-01-16,-1877.0517439837568,-59.02279379357367
2007-01-17,3753.386987635924,-188.20812265271059
2007-01-18,-3753.386987635924,-217.42314489162595
2007-01-19,2815.308902708319,-243.7599446698755
2007-01-22,-1876.6934425270592,-171.0648310640721
2007-01-23,4690.390680946002,-223.51642993936593
2007-01-24,0.0,366.84679079741755
2007-01-25,5622.5650165260595,-695.9119089890962
2007-01-26,936.468725181272,-282.65010736015483
2007-01-29,1872.4018152481876,-233.05610603546256
2007-01-30,-1872.4018152481876,-341.14278087218963
2007-01-31,-4684.130268518667,429.38716620287033
2007-02-01,937.1834844758268,-58.84495641410581
2007-02-02,-937.1834844758268,-178.3162055897236
2007-02-05,-1874.903473188664,157.54516158825993
2007-02-06,-3751.954397143505,-44.47379155176634
2007-02-07,-2815.8464318641054,-183.15796865482525
2007-02-08,-938.9739669194096,-107.00126837434709
2007-02-09,5631.155642435682,53.21735773000569
2007-02-12,937.899062392331,150.779711058874
2007-02-13,1875.2612621272856,-675.4301084977925
2007-02-14,-7505.342000035889,124.47319666954115
2007-02-15,-3756.97205560538,-37.420969012259775
2007-02-16,-939.6915968671965,-235.29639904940325
2007-02-20,-939.871132900269,121.40514712215378
2007-02-21,939.871132900269,-172.9573534300073
2007-02-22,3757.689685553167,-193.847164410748
2007-02-23,-4697.560818453436,-231.57838733806102
2007-02-26,-4702.050506705709,23.18119598024282
2007-02-27,-12246.389304393204,4231.823032489672
2007-02-28,5655.963655399828,-2005.2852932521148
2007-03-01,0.0,266.22640599438085
2007-03-02,-3769.9209209674736,2099.58719919582
2007-03-05,-942.9311345716706,1448.871412511547
2007-03-06,1885.681855647883,-3176.168480492937
2007-03-07,-2828.7934555085667,-36.11480683790802
2007-03-08,943.1115998606838,-1513.5618496010572
2007-03-09,7538.400396629557,-175.6628256029451
2007-03-12,-2825.5483410904126,-351.20827586513667
2007-03-13,-5655.963655399828,3653.8363530659426
2007-03-14,2828.7934555085667,-1422.0484547147603
2007-03-15,942.570359354082,-241.84171027923895
2007-03-16,942.39004938578,-24.839737374406923
2007-03-19,2826.088805587904,-818.0428621886477
2007-03-20,-1883.8790144365048,-375.31895737044607
2007-03-21,-2827.1701998912613,1266.1908108789887
2007-03-22,6594.207816139155,35.60910558087471
2007-03-23,1882.4386023459956,96.4840615767173
2007-03-26,-1882.4386023459956,-221.37171182264836
2007-03-27,1882.4386023459956,-319.93269314620676
2007-03-28,0.0,-412.64977580046036
