,VaR_full,VaR_no_drift,mu_deltaV,sigma_deltaV
2018-01-23,7863.96447230589,8334.78233224429,470.81785993839947,3582.775570777754
2018-01-24,7817.566441801427,8308.661394440789,491.094952639362,3571.547268211755
2018-01-25,7816.683265490989,8310.04748701409,493.36422152310104,3572.1430916433096
2018-01-26,7811.603164682683,8288.729562070135,477.1263973874521,3562.9794041390305
2018-01-29,7801.116985305051,8290.775519547757,489.6585342427062,3563.8588759929403
2018-01-30,7800.333370530652,8290.162418198022,489.8290476673703,3563.5953292738204
2018-01-31,7798.903903255087,8252.769663242207,453.86575998711913,3547.521742269455
2018-02-01,7797.315614860609,8245.744211976691,448.42859711608276,3544.501793557609
2018-02-02,7790.190822524684,8223.699898537137,433.50907601245297,3535.0258619114693
2018-02-05,7913.066550126746,8316.214411743482,403.14786161673567,3574.793995576555
2018-02-06,8252.313571154067,8614.795479051232,362.48190789716546,3703.1415529816813
2018-02-07,8254.710828947218,8644.158607950158,389.4477790029395,3715.76353838059
2018-02-08,8293.074048224255,8671.55864857858,378.48460035432583,3727.541673944137
2018-02-09,8539.374367337366,8880.577841123684,341.2034737863178,3817.3903138992787
2018-02-12,8477.749139215737,8803.618864489543,325.869725273805,3784.3088571262356
2018-02-13,8500.510414681889,8845.354512378834,344.84409769694554,3802.249272811701
2018-02-14,8480.622169163073,8833.50471835327,352.88254919019704,3797.155540202837
2018-02-15,8503.227717793012,8860.908191383824,357.6804735908112,3808.9351512130143
2018-02-16,8507.620008235708,8869.347077167187,361.72706893147983,3812.562676518894
2018-02-19,8508.441931891473,8873.342057912527,364.90012602105276,3814.2799522496302
2018-02-20,8507.517204608326,8872.870129044677,365.35292443635007,3814.077089697079
2018-02-21,8551.39920103615,8902.652023057408,351.25282202125726,3826.8790847662863
2018-02-22,8537.735972028047,8891.644885604497,353.90891357644966,3822.1475751001108
2018-02-23,8515.764230466102,8881.980873763674,366.21664329757175,3817.9934191595216
2018-02-26,8529.84324709987,8911.059095196908,381.21584809703774,3830.49293471251
2018-02-27,8533.436075866277,8917.34090945029,383.90483358401275,3833.193224864073
2018-02-28,8569.964995332472,8914.31839213572,344.3533968032484,3831.893970634601
