,VaR_EVT,VaR_EVT_raw,VaR_EVT_mle_raw,xi,xi_raw,xi_clamped,sigma_gpd,N_u,f_u_hat,threshold_u,ks_pvalue,fallback_type,ES_EVT,ES_EVT_raw,ES_EVT_mle_raw,ES_fallback_type
2009-07-08,32157.410825685834,32157.410825685834,32157.410825685834,0.07097108892369927,0.07097108892369927,False,7401.923960509247,50,0.9,13642.185998357305,0.9887751268193966,none,41539.21748881133,41539.21748881133,41539.21748881133,none
2009-07-09,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-10,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-13,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-14,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-15,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-16,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-17,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-20,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-21,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
