"date","VaR_95","VaR_99","realised_pnl","exception_95","exception_99","cop_engine","refit_used","refit_id"
2019-09-16,17190.3686937779,19627.8674118689,-1197.74355657245,FALSE,FALSE,"vine",FALSE,54
2019-09-17,15111.1734319537,17271.7191868316,664.602791132129,FALSE,FALSE,"vine",FALSE,54
2019-09-18,16243.2560770761,18062.9088920853,-3287.44020251635,FALSE,FALSE,"vine",FALSE,54
2019-09-19,16965.5152308106,19406.2680199149,720.061751844544,FALSE,FALSE,"vine",FALSE,54
2019-09-20,16932.0872990647,19010.9921300036,448.825390870583,FALSE,FALSE,"vine",FALSE,54
2019-09-23,14046.1201031345,16100.77416842,1116.16568575132,FALSE,FALSE,"vine",FALSE,54
2019-09-24,13927.4452513989,15901.6521539853,-11301.0509430033,FALSE,FALSE,"vine",FALSE,54
2019-09-25,9801.29041970763,11722.2647461634,-477.908843418272,FALSE,FALSE,"vine",FALSE,54
2019-09-26,13092.9257341321,15394.267398727,-6355.01118432567,FALSE,FALSE,"vine",FALSE,54
2019-09-27,11947.7157552588,13724.947548309,-11174.2161987847,FALSE,FALSE,"vine",FALSE,54
2019-09-30,8458.56319620407,10457.510920445,-5353.96358983053,FALSE,FALSE,"vine",FALSE,54
2019-10-01,11680.1752913426,13485.7504308859,-14195.5799987442,TRUE,TRUE,"vine",FALSE,54
2019-10-02,4111.27353774036,6081.4336495175,12586.4200118431,FALSE,FALSE,"vine",FALSE,54
2019-10-03,5429.72759181455,8200.31006789318,4273.49986995859,FALSE,FALSE,"vine",TRUE,55
2019-10-04,8669.57481308311,11969.720924856,7908.10469953826,FALSE,FALSE,"vine",FALSE,55
2019-10-07,10730.568668856,14553.0803292661,-6512.27749013998,FALSE,FALSE,"vine",FALSE,55
2019-10-08,9752.93516278675,13131.8503782387,-5960.89056797733,FALSE,FALSE,"vine",FALSE,55
2019-10-09,6359.86581211704,9927.77724977589,9158.14172837953,FALSE,FALSE,"vine",FALSE,55
2019-10-10,7910.0217900989,11141.7756499135,3723.40911641969,FALSE,FALSE,"vine",FALSE,55
2019-10-11,9481.90321383693,13382.4685464327,9652.20613357713,FALSE,FALSE,"vine",FALSE,55
2019-10-14,12270.3234472698,16805.784188843,1818.41084073777,FALSE,FALSE,"vine",FALSE,55
2019-10-15,11650.7273414137,15787.7192305211,3585.65846477105,FALSE,FALSE,"vine",FALSE,55
2019-10-16,16519.641663172,20309.0696525048,883.427447395488,FALSE,FALSE,"vine",FALSE,55
2019-10-17,14756.01696748,19211.7547936154,5775.29530647377,FALSE,FALSE,"vine",FALSE,55
2019-10-18,16502.8200369048,21137.7381748681,-4195.83625991805,FALSE,FALSE,"vine",FALSE,55
2019-10-21,13413.3767632754,18490.6622215132,6945.33470208664,FALSE,FALSE,"vine",FALSE,55
2019-10-22,17078.8366799804,21558.6411819934,-2840.89849012764,FALSE,FALSE,"vine",FALSE,55
2019-10-23,15708.2938152717,20153.2845793246,3207.0232435833,FALSE,FALSE,"vine",FALSE,55
2019-10-24,17246.1643213167,22240.478035801,6287.1270034812,FALSE,FALSE,"vine",FALSE,55
2019-10-25,18047.6667330673,22954.6031535122,7410.64332887414,FALSE,FALSE,"vine",FALSE,55
2019-10-28,20937.6627250097,26348.021781694,4077.40309207903,FALSE,FALSE,"vine",FALSE,55
2019-10-29,25221.0253922863,30699.377686063,-2557.72598172614,FALSE,FALSE,"vine",FALSE,55
2019-10-30,24170.8979034412,30210.603788926,4348.29511981278,FALSE,FALSE,"vine",FALSE,55
2019-10-31,27932.9952175262,34118.5233474209,-1780.33083884749,FALSE,FALSE,"vine",FALSE,55
2019-11-01,25297.8785131543,31070.6317993672,15888.5906401694,FALSE,FALSE,"vine",FALSE,55
2019-11-04,33352.5839680214,38356.283553599,7010.73096200005,FALSE,FALSE,"vine",FALSE,55
2019-11-05,37004.4366862741,43038.5668284462,-9018.34516913147,FALSE,FALSE,"vine",FALSE,55
2019-11-06,36280.0564223399,42390.0813419503,-1461.29832798651,FALSE,FALSE,"vine",FALSE,55
2019-11-07,36298.7790286277,41901.4419083331,1089.92443107854,FALSE,FALSE,"vine",FALSE,55
2019-11-08,39716.3998852789,46375.11976855,-617.161678805409,FALSE,FALSE,"vine",FALSE,55
2019-11-11,40923.8368153878,48602.2641614975,-3625.94169507008,FALSE,FALSE,"vine",FALSE,55
2019-11-12,39851.4559879554,47328.3316993997,3160.18063782891,FALSE,FALSE,"vine",FALSE,55
2019-11-13,42950.2386603646,50639.5510376085,-18152.772350414,FALSE,FALSE,"vine",FALSE,55
2019-11-14,43913.6800139996,51481.1797160864,384.862955472533,FALSE,FALSE,"vine",FALSE,55
2019-11-15,4133.33320555481,8791.78832375607,4676.81939516827,FALSE,FALSE,"vine",FALSE,55
2019-11-18,6192.97092461912,11235.776346937,1537.97286966359,FALSE,FALSE,"vine",FALSE,55
2019-11-19,6150.77677295681,10928.9216563998,-386.059951644278,FALSE,FALSE,"vine",FALSE,55
2019-11-20,6005.20852944814,11541.728432775,-7445.79765360697,TRUE,FALSE,"vine",FALSE,55
2019-11-21,4741.88560065346,10164.0904490164,-2249.66258869506,FALSE,FALSE,"vine",FALSE,55
2019-11-22,4374.83424702988,10013.0003724766,-1034.08122478173,FALSE,FALSE,"vine",FALSE,55
2019-11-25,4629.52845252831,10366.7134668457,1719.62908345613,FALSE,FALSE,"vine",FALSE,55
2019-11-26,6886.48899165531,11926.9265665965,3524.04099843583,FALSE,FALSE,"vine",FALSE,55
2019-11-27,8094.0104029192,13169.1044049927,3103.39790961571,FALSE,FALSE,"vine",FALSE,55
2019-11-29,9273.4006190307,14717.6931685451,1276.30671085932,FALSE,FALSE,"vine",FALSE,55
2019-12-02,8459.90214795188,13435.8244966642,-3356.24021831189,FALSE,FALSE,"vine",FALSE,55
2019-12-03,4901.70172475321,10154.0938675124,-4133.51188083923,FALSE,FALSE,"vine",FALSE,55
2019-12-04,4300.41595708924,9842.71064653834,5800.6926374311,FALSE,FALSE,"vine",FALSE,55
2019-12-05,4835.14874849604,10601.7117425626,2968.31738082172,FALSE,FALSE,"vine",FALSE,55
2019-12-06,5151.18769613794,10774.3309020941,4255.11789762243,FALSE,FALSE,"vine",FALSE,55
2019-12-09,8252.4524911403,13633.3496622205,-3525.93988401224,FALSE,FALSE,"vine",FALSE,55
2019-12-10,7443.46204705583,13118.3456574776,1429.01635796034,FALSE,FALSE,"vine",FALSE,55
2019-12-11,6426.90972878413,11686.1071644295,3058.26623222566,FALSE,FALSE,"vine",FALSE,55
2019-12-12,7422.3587933636,13012.9710923276,13909.6575299533,FALSE,FALSE,"vine",FALSE,55
2019-12-13,10199.474598994,14408.0735910266,-1224.56856787198,FALSE,FALSE,"vine",TRUE,56
2019-12-16,10494.5284593263,14827.6788603226,11613.1452863976,FALSE,FALSE,"vine",FALSE,56
2019-12-17,11496.215657572,17156.9741895502,276.802372907131,FALSE,FALSE,"vine",FALSE,56
2019-12-18,11035.3996965518,17070.9010385694,1839.6242636157,FALSE,FALSE,"vine",FALSE,56
2019-12-19,11211.4197270916,16383.4687311457,6835.19437921152,FALSE,FALSE,"vine",FALSE,56
2019-12-20,11342.326510737,16927.6192865168,6957.23945814063,FALSE,FALSE,"vine",FALSE,56
2019-12-23,11130.6458583722,16983.0825173403,3702.71162754762,FALSE,FALSE,"vine",FALSE,56
2019-12-24,10898.0160175339,16427.1621046189,4466.98344070108,FALSE,FALSE,"vine",FALSE,56
2019-12-26,10777.8662554253,15912.3969297881,13591.9977595252,FALSE,FALSE,"vine",FALSE,56
2019-12-27,11210.8018667861,16891.2825884157,-7827.89802723579,FALSE,FALSE,"vine",FALSE,56
2019-12-30,10756.4829949587,16173.9656512833,1856.48250586511,FALSE,FALSE,"vine",FALSE,56
2019-12-31,9020.80442293896,12258.8266648011,1839.29570835822,FALSE,FALSE,"vine",FALSE,56
2020-01-02,9076.85998637455,12393.9477232432,9299.90043840329,FALSE,FALSE,"vine",FALSE,56
2020-01-03,9636.38426294464,12942.5451119272,-1424.58260191289,FALSE,FALSE,"vine",FALSE,56
2020-01-06,9570.39396051728,13072.7964119779,10138.9418775895,FALSE,FALSE,"vine",FALSE,56
2020-01-07,9655.10808720541,12811.4459674785,1708.78853044234,FALSE,FALSE,"vine",FALSE,56
2020-01-08,9876.45586568388,13128.5830680063,480.612789672288,FALSE,FALSE,"vine",FALSE,56
2020-01-09,10072.7002975398,13638.5084636351,-1343.76934241443,FALSE,FALSE,"vine",FALSE,56
2020-01-10,10438.9244178442,14189.3878834767,-67.2879559305334,FALSE,FALSE,"vine",FALSE,56
2020-01-13,10362.8728762717,14427.4605111483,2805.32329978411,FALSE,FALSE,"vine",FALSE,56
2020-01-14,10919.7903760965,14924.7646685612,-4106.74365214173,FALSE,FALSE,"vine",FALSE,56
2020-01-15,10859.8510016143,15009.8775117541,4323.47924230429,FALSE,FALSE,"vine",FALSE,56
2020-01-16,10938.301069582,15266.3982452525,9528.41356803255,FALSE,FALSE,"vine",FALSE,56
2020-01-17,11727.9421842065,16541.7557252868,6838.09542785753,FALSE,FALSE,"vine",FALSE,56
2020-01-21,11762.1232057475,17015.8026958822,-5296.96682180225,FALSE,FALSE,"vine",FALSE,56
2020-01-22,11934.5753758661,16301.4622562047,-1057.75814805419,FALSE,FALSE,"vine",FALSE,56
2020-01-23,11851.4749673703,16225.695784473,1205.14301040383,FALSE,FALSE,"vine",FALSE,56
2020-01-24,11951.2423197865,16725.7734768439,-8947.69137520919,FALSE,FALSE,"vine",FALSE,56
2020-01-27,11911.719773953,17274.6179117733,-14885.8866526962,TRUE,FALSE,"vine",FALSE,56
2020-01-28,11773.576471431,16316.0871139994,3377.40133029001,FALSE,FALSE,"vine",FALSE,56
2020-01-29,12817.0236500276,17719.9744867553,-255.750402630563,FALSE,FALSE,"vine",FALSE,56
2020-01-30,12445.6253903682,17510.1092231166,-501.043694790964,FALSE,FALSE,"vine",FALSE,56
2020-01-31,12801.7169008745,17977.5915729389,-14975.6502849469,TRUE,FALSE,"vine",FALSE,56
2020-02-03,12401.7721300968,16225.3164821152,3917.50919492799,FALSE,FALSE,"vine",FALSE,56
2020-02-04,13325.135464395,18752.3022584967,8555.15296537104,FALSE,FALSE,"vine",FALSE,56
2020-02-05,15047.3788226446,21256.4878208723,17743.342945101,FALSE,FALSE,"vine",FALSE,56
2020-02-06,16969.5217846669,24388.0625754805,6709.09947702106,FALSE,FALSE,"vine",FALSE,56
2020-02-07,16970.9365943719,24511.7327001893,-10086.4653954224,FALSE,FALSE,"vine",FALSE,56
2020-02-10,16383.4787826782,24507.6784360699,9962.96448399103,FALSE,FALSE,"vine",FALSE,56
2020-02-11,16314.9184086784,25570.7681427043,4116.46570896496,FALSE,FALSE,"vine",FALSE,56
2020-02-12,15952.9424211426,23270.5327859762,4507.90622157811,FALSE,FALSE,"vine",FALSE,56
2020-02-13,12025.9526092174,16599.3362739747,1725.15055048111,FALSE,FALSE,"vine",FALSE,56
2020-02-14,12158.2238794104,16378.6953007015,1954.08631815144,FALSE,FALSE,"vine",FALSE,56
2020-02-18,12597.8096938227,16942.6746708713,4653.30455702836,FALSE,FALSE,"vine",FALSE,56
2020-02-19,12323.8924742732,16502.5973120333,7672.85499142751,FALSE,FALSE,"vine",FALSE,56
2020-02-20,12378.3981132426,17153.9497246972,-2056.99005723464,FALSE,FALSE,"vine",FALSE,56
2020-02-21,12446.3929115616,16704.6266324006,-1257.55135424239,FALSE,FALSE,"vine",FALSE,56
2020-02-24,12450.9345918976,16514.1032791198,-10758.598942997,FALSE,FALSE,"vine",FALSE,56
2020-02-25,12356.8392898522,17091.4679299995,-31131.1365524104,TRUE,TRUE,"vine",FALSE,56
2020-02-26,11595.7750640558,15671.7985672779,986.492911253752,FALSE,FALSE,"vine",FALSE,56
2020-02-27,10378.2379268533,13400.649584356,-11589.0932785688,TRUE,FALSE,"vine",TRUE,57
2020-02-28,11936.5923070654,15067.9274635872,-37539.7168289484,TRUE,TRUE,"vine",FALSE,57
2020-03-02,11153.7807357629,14445.2555387966,13738.4146604788,FALSE,FALSE,"vine",FALSE,57
2020-03-03,11301.4871429336,15097.0432032728,11169.0782015333,FALSE,FALSE,"vine",FALSE,57
2020-03-04,11141.237591591,14405.2082953781,14304.8007723431,FALSE,FALSE,"vine",FALSE,57
2020-03-05,10944.3846145275,14396.8048823697,-1454.03680905966,FALSE,FALSE,"vine",FALSE,57
2020-03-06,11409.3004915746,15338.7345096431,-17727.8943948317,TRUE,TRUE,"vine",FALSE,57
2020-03-09,11260.6983593215,14900.2478044081,-33847.7490419375,TRUE,TRUE,"vine",FALSE,57
2020-03-10,12542.6267289067,16335.5494972528,10632.9654308038,FALSE,FALSE,"vine",FALSE,57
2020-03-11,13136.6088658693,18018.7434178699,-15872.8281564073,TRUE,FALSE,"vine",FALSE,57
2020-03-12,13111.6892954304,17258.1088865746,-44650.7424377366,TRUE,TRUE,"vine",FALSE,57
2020-03-13,13190.0013408373,17762.1642786515,-3289.71303293351,FALSE,FALSE,"vine",FALSE,57
2020-03-16,14032.1325022668,19416.5815279024,-40804.4040780263,TRUE,TRUE,"vine",FALSE,57
2020-03-17,14318.5614856611,18579.3595712137,37029.2285432313,FALSE,FALSE,"vine",FALSE,57
2020-03-18,15311.3597053006,20718.6966066811,-17466.7973791351,TRUE,FALSE,"vine",FALSE,57
2020-03-19,14330.0481891162,18861.6591667806,-17764.1508014883,TRUE,FALSE,"vine",FALSE,57
2020-03-20,14044.9261888241,20041.2149488925,-12751.0572825205,FALSE,FALSE,"vine",FALSE,57
2020-03-23,14699.8648792967,19826.6315986254,14366.9033099484,FALSE,FALSE,"vine",FALSE,57
2020-03-24,14888.1355118764,19805.2495419091,55961.0487235085,FALSE,FALSE,"vine",FALSE,57
2020-03-25,15476.2528154307,21426.5742878794,-80983.9019259456,TRUE,TRUE,"vine",FALSE,57
2020-03-26,15272.9946058165,20909.2732457297,45055.7749780685,FALSE,FALSE,"vine",FALSE,57
2020-03-27,17671.8855002682,24988.081487604,-29090.8696755728,TRUE,TRUE,"vine",FALSE,57
2020-03-30,17214.1811531332,23548.7285710055,18203.6695534392,FALSE,FALSE,"vine",FALSE,57
2020-03-31,17040.2956975354,23401.0032889976,-41873.6837283542,TRUE,TRUE,"vine",FALSE,57
2020-04-01,16790.7804093977,22717.9184846983,-31333.1382623557,TRUE,TRUE,"vine",FALSE,57
2020-04-02,16564.623920973,22930.3848414435,19166.7797061179,FALSE,FALSE,"vine",FALSE,57
2020-04-03,16585.819545045,22696.1796360923,-15526.2381507375,FALSE,FALSE,"vine",FALSE,57
2020-04-06,16523.3677114813,22081.5026121299,71755.4436441263,FALSE,FALSE,"vine",FALSE,57
2020-04-07,17197.4679777304,24435.2684120054,3582.00461103163,FALSE,FALSE,"vine",FALSE,57
2020-04-08,16407.1263468776,22036.837778744,25546.6133078971,FALSE,FALSE,"vine",FALSE,57
2020-04-09,17694.401977405,24980.4667285929,29575.3052705878,FALSE,FALSE,"vine",FALSE,57
2020-04-13,17940.6022383736,25492.9587205417,3946.85817755119,FALSE,FALSE,"vine",FALSE,57
2020-04-14,16731.5904045586,23342.5494215489,37493.2279798382,FALSE,FALSE,"vine",FALSE,57
2020-04-15,17493.6752881698,26887.7539894662,-36150.2137980015,TRUE,TRUE,"vine",FALSE,57
2020-04-16,17804.4958807561,24718.0364465537,587.494451145834,FALSE,FALSE,"vine",FALSE,57
2020-04-17,17056.9943378887,23665.9001589092,18010.8566767066,FALSE,FALSE,"vine",FALSE,57
2020-04-20,18788.6357791254,27812.1714967165,-15492.7977775148,FALSE,FALSE,"vine",FALSE,57
2020-04-21,16995.2390850064,25043.5757784103,-44015.580802426,TRUE,TRUE,"vine",FALSE,57
2020-04-22,17115.6504867908,24444.7487312797,40945.9309023721,FALSE,FALSE,"vine",FALSE,57
2020-04-23,17428.3495968067,25443.8557371285,3964.1533795254,FALSE,FALSE,"vine",FALSE,57
2020-04-24,16909.7758822943,25976.4076701616,10629.301599797,FALSE,FALSE,"vine",FALSE,57
2020-04-27,17426.34333741,26163.4072082222,18487.928764509,FALSE,FALSE,"vine",FALSE,57
2020-04-28,17000.4685775747,27593.5712184338,-12437.2863841075,FALSE,FALSE,"vine",FALSE,57
2020-04-29,16615.002075055,26556.284340434,38637.3697208969,FALSE,FALSE,"vine",FALSE,57
2020-04-30,17997.3518544235,30357.0119308092,-25342.4655499879,TRUE,FALSE,"vine",FALSE,57
2020-05-01,18263.1732401182,30387.8563373238,-27626.3583624069,TRUE,FALSE,"vine",FALSE,57
2020-05-04,19852.1980423449,31270.9874364,6473.00968342864,FALSE,FALSE,"vine",FALSE,57
2020-05-05,18975.6627265443,30260.1857417797,15539.9538171628,FALSE,FALSE,"vine",FALSE,57
2020-05-06,17681.5831328339,28643.6584775,-15265.5509290513,FALSE,FALSE,"vine",FALSE,57
2020-05-07,18037.9455576737,28994.0183697511,-9981.94308672185,FALSE,FALSE,"vine",FALSE,57
2020-05-08,26001.3761846428,39923.8164869083,8825.26582488353,FALSE,FALSE,"vine",TRUE,58
2020-05-11,13328.8275873757,18445.608502458,-2901.46713780536,FALSE,FALSE,"vine",FALSE,58
2020-05-12,13092.9310791938,18097.3216584856,-9884.80507301013,FALSE,FALSE,"vine",FALSE,58
2020-05-13,9786.74304137482,14034.921939129,-7143.56642523187,FALSE,FALSE,"vine",FALSE,58
2020-05-14,7594.3165053113,11350.7267727408,10076.4807713305,FALSE,FALSE,"vine",FALSE,58
2020-05-15,7642.19288434727,11156.776428954,6345.30151921547,FALSE,FALSE,"vine",FALSE,58
2020-05-18,7454.84674542286,11885.3695555947,21868.8069132889,FALSE,FALSE,"vine",FALSE,58
2020-05-19,14630.3689441399,19570.2825688272,-912.604839864461,FALSE,FALSE,"vine",FALSE,58
2020-05-20,11608.8586367248,16027.3969419061,11587.4384567119,FALSE,FALSE,"vine",FALSE,58
2020-05-21,15112.0184239903,19480.5014295709,-15389.4906409612,TRUE,FALSE,"vine",FALSE,58
2020-05-22,12617.58124695,16275.3330283612,2118.28561569655,FALSE,FALSE,"vine",FALSE,58
2020-05-26,11975.1455380782,16528.9426881002,1910.64560266636,FALSE,FALSE,"vine",FALSE,58
2020-05-27,16306.1202216667,20838.1237306864,17060.505262841,FALSE,FALSE,"vine",FALSE,58
2020-05-28,21981.4549569912,25867.0468654954,2997.64774892552,FALSE,FALSE,"vine",FALSE,58
2020-05-29,21407.0284132843,25784.8242470458,6601.3016460441,FALSE,FALSE,"vine",FALSE,58
2020-06-01,23321.570002144,27612.0234789868,9730.36427098538,FALSE,FALSE,"vine",FALSE,58
2020-06-02,25278.2381959248,29282.6909200728,4952.0590804191,FALSE,FALSE,"vine",FALSE,58
2020-06-03,29769.9452206142,34107.0130993003,9745.29195626835,FALSE,FALSE,"vine",FALSE,58
